"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000167601";"AXL";"AXL receptor tyrosine kinase";19;87,9244003295898;"Yes"
"row_1";"ENSG00000149948";"HMGA2";"high mobility group AT-hook 2";24;83,5509414672852;"Yes"
"row_2";"ENSG00000179750";"APOBEC3B";"apolipoprotein B mRNA editing enzyme catalytic subunit 3B";64;64,1594161987305;"Yes"
"row_3";"ENSG00000135272";"MDFIC";"MyoD family inhibitor domain containing";143;48,637809753418;"Yes"
"row_4";"ENSG00000163565";"IFI16";"interferon gamma inducible protein 16";155;47,0019264221191;"Yes"
"row_5";"ENSG00000188313";"PLSCR1";"phospholipid scramblase 1";229;39,6574516296387;"Yes"
"row_6";"ENSG00000112343";"TRIM38";"tripartite motif containing 38";243;38,3383445739746;"Yes"
"row_7";"ENSG00000169429";"CXCL8";"C-X-C motif chemokine ligand 8";265;36,5673217773438;"Yes"
"row_8";"ENSG00000067066";"SP100";"SP100 nuclear antigen";425;27,2621383666992;"Yes"
"row_9";"ENSG00000111331";"OAS3";"2'-5'-oligoadenylate synthetase 3";525;23,180212020874;"Yes"
"row_10";"ENSG00000135828";"RNASEL";"ribonuclease L";705;18,0800857543945;"Yes"
"row_11";"ENSG00000080561";"MID2";"midline 2";758;16,8069458007812;"Yes"
"row_12";"ENSG00000148175";"STOM";"stomatin";798;16,1000633239746;"Yes"
"row_13";"ENSG00000132256";"TRIM5";"tripartite motif containing 5";919;13,8442440032959;"Yes"
"row_14";"ENSG00000166801";"FAM111A";"FAM111 trypsin like peptidase A";1161;10,2736406326294;"Yes"
"row_15";"ENSG00000142089";"IFITM3";"interferon induced transmembrane protein 3";1315;8,55801868438721;"Yes"
"row_16";"ENSG00000008517";"IL32";"interleukin 32";1445;7,6134672164917;"Yes"
"row_17";"ENSG00000148400";"NOTCH1";"notch receptor 1";1704;6,15985059738159;"Yes"
"row_18";"ENSG00000115267";"IFIH1";"interferon induced with helicase C domain 1";1755;5,73556709289551;"Yes"
"row_19";"ENSG00000187608";"ISG15";"ISG15 ubiquitin like modifier";1802;5,32876443862915;"Yes"
"row_20";"ENSG00000111335";"OAS2";"2'-5'-oligoadenylate synthetase 2";2032;3,99576282501221;"Yes"
"row_21";"ENSG00000135114";"OASL";"2'-5'-oligoadenylate synthetase like";2265;3,78844833374023;"Yes"
"row_22";"ENSG00000140564";"FURIN";"furin, paired basic amino acid cleaving enzyme";2313;3,58083128929138;"Yes"
"row_23";"ENSG00000130202";"NECTIN2";"nectin cell adhesion molecule 2";2330;3,51227927207947;"Yes"
"row_24";"ENSG00000244509";"APOBEC3C";"apolipoprotein B mRNA editing enzyme catalytic subunit 3C";2383;3,30619168281555;"Yes"
"row_25";"ENSG00000128383";"APOBEC3A";"apolipoprotein B mRNA editing enzyme catalytic subunit 3A";2457;2,98422050476074;"Yes"
"row_26";"ENSG00000078081";"LAMP3";"lysosomal associated membrane protein 3";2530;2,97430086135864;"Yes"
"row_27";"ENSG00000196126";"HLA-DRB1";"major histocompatibility complex, class II, DR beta 1";2544;2,9557933807373;"Yes"
"row_28";"ENSG00000124201";"ZNFX1";"zinc finger NFX1-type containing 1";2649;2,53475737571716;"Yes"
"row_29";"ENSG00000178562";"CD28";"CD28 molecule";2761;2,20298337936401;"Yes"
"row_30";"ENSG00000130303";"BST2";"bone marrow stromal cell antigen 2";2797;2,17974233627319;"Yes"
"row_31";"ENSG00000172183";"ISG20";"interferon stimulated exonuclease gene 20";3170;1,47531712055206;"No"
"row_32";"ENSG00000116833";"NR5A2";"nuclear receptor subfamily 5 group A member 2";3294;1,26901066303253;"No"
"row_33";"ENSG00000106785";"TRIM14";"tripartite motif containing 14";3370;1,16938960552216;"No"
"row_34";"ENSG00000132703";"APCS";"amyloid P component, serum";3502;1,0546783208847;"No"
"row_35";"ENSG00000132109";"TRIM21";"tripartite motif containing 21";4084;1,01297676563263;"No"
"row_36";"ENSG00000186834";"HEXIM1";"HEXIM P-TEFb complex subunit 1";4165;0,963108837604523;"No"
"row_37";"ENSG00000128394";"APOBEC3F";"apolipoprotein B mRNA editing enzyme catalytic subunit 3F";4274;0,877631604671478;"No"
"row_38";"ENSG00000185201";"IFITM2";"interferon induced transmembrane protein 2";4385;0,759198844432831;"No"
"row_39";"ENSG00000100097";"LGALS1";"galectin 1";4402;0,743167400360107;"No"
"row_40";"ENSG00000157601";"MX1";"MX dynamin like GTPase 1";4662;0,610087215900421;"No"
"row_41";"ENSG00000065243";"PKN2";"protein kinase N2";5345;0,341911017894745;"No"
"row_42";"ENSG00000185885";"IFITM1";"interferon induced transmembrane protein 1";5360;0,33898937702179;"No"
"row_43";"ENSG00000204435";"CSNK2B";"casein kinase 2 beta";5377;0,332847326993942;"No"
"row_44";"ENSG00000115415";"STAT1";"signal transducer and activator of transcription 1";5493;0,300827145576477;"No"
"row_45";"ENSG00000121060";"TRIM25";"tripartite motif containing 25";5594;0,268905311822891;"No"
"row_46";"ENSG00000182481";"KPNA2";"karyopherin subunit alpha 2";5660;0,252918004989624;"No"
"row_47";"ENSG00000092445";"TYRO3";"TYRO3 protein tyrosine kinase";5876;0,219644963741302;"No"
"row_48";"ENSG00000131747";"TOP2A";"DNA topoisomerase II alpha";5919;0,211617633700371;"No"
"row_49";"ENSG00000128016";"ZFP36";"ZFP36 ring finger protein";6542;0,114965923130512;"No"
"row_50";"ENSG00000057663";"ATG5";"autophagy related 5";6881;0,0979386940598488;"No"
"row_51";"ENSG00000124214";"STAU1";"staufen double-stranded RNA binding protein 1";6898;0,0959201529622078;"No"
"row_52";"ENSG00000185745";"IFIT1";"interferon induced protein with tetratricopeptide repeats 1";6976;0,090129129588604;"No"
"row_53";"ENSG00000070756";"PABPC1";"poly(A) binding protein cytoplasmic 1";7050;0,0836863964796066;"No"
"row_54";"ENSG00000025800";"KPNA6";"karyopherin subunit alpha 6";7263;0,066884882748127;"No"
"row_55";"ENSG00000185624";"P4HB";"prolyl 4-hydroxylase subunit beta";7450;0,0564118586480618;"No"
"row_56";"ENSG00000171960";"PPIH";"peptidylprolyl isomerase H";7731;0,0395782366394997;"No"
"row_57";"ENSG00000196262";"PPIA";"peptidylprolyl isomerase A";8046;0,0255962125957012;"No"
"row_58";"ENSG00000116525";"TRIM62";"tripartite motif containing 62";8110;0,0232108905911446;"No"
"row_59";"ENSG00000135250";"SRPK2";"SRSF protein kinase 2";8129;0,0224059652537107;"No"
"row_60";"ENSG00000152242";"ARK2N";"arkadia (RNF111) N-terminal like PKA signaling regulator 2N";8206;0,019347807392478;"No"
"row_61";"ENSG00000166311";"SMPD1";"sphingomyelin phosphodiesterase 1";8332;0,0158063676208258;"No"
"row_62";"ENSG00000102921";"N4BP1";"NEDD4 binding protein 1";8475;0,0111674685031176;"No"
"row_63";"ENSG00000175334";"BANF1";"barrier to autointegration nuclear assembly factor 1";8497;0,0105568356812;"No"
"row_64";"ENSG00000145901";"TNIP1";"TNFAIP3 interacting protein 1";8814;0,00424026511609554;"No"
