"NAME";"GS br  follow link to MSigDB";"GS DETAILS";"SIZE";"ES";"NES";"NOM p val";"FDR q val";"FWER p val";"RANK AT MAX";"LEADING EDGE"
"GLIAL_CELL_MIGRATION (GO:0008347)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_GLIAL_CELL_MIGRATION.html";"The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system. [GOC:jl, GOC:mtg_sensu]";58;0,88499945;1,6176671;0,0025445293;1;0,677;663;"tags=14%, list=3%, signal=14%"
"METALLOENDOPEPTIDASE_ACTIVITY (GO:0004222)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOMF_METALLOENDOPEPTIDASE_ACTIVITY.html";"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions. [GOC:mah, https://www.ebi.ac.uk/merops/about/glossary.shtml#CATTYPE, https://www.ebi.ac.uk/merops/about/glossary.shtml#ENDOPEPTIDASE]";103;0,8379574;1,6082157;0;0,8540342;0,772;703;"tags=13%, list=4%, signal=13%"
"REGULATION_OF_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY (GO:0040036)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_REGULATION_OF_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY.html";"Any process that modulates the frequency, rate or extent of fibroblast growth factor receptor signaling pathway activity. [GOC:go_curators]";34;0,9276388;1,5868372;0;1;0,942;386;"tags=18%, list=2%, signal=18%"
"POSITIVE_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION (GO:0071677)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_POSITIVE_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION.html";"Any process that increases the rate, frequency or extent of mononuclear cell migration. Mononuclear cell migration is the movement of a mononuclear cell within or between different tissues and organs of the body. [GOC:mah]";81;0,81614494;1,5651177;0,01875;1;0,994;980;"tags=14%, list=5%, signal=14%"
"METALLOPEPTIDASE_ACTIVITY (GO:0008237)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOMF_METALLOPEPTIDASE_ACTIVITY.html";"Catalysis of the hydrolysis of peptide bonds by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions. [GOC:mah, https://www.ebi.ac.uk/merops/about/glossary.shtml#CATTYPE]";177;0,75020975;1,5649958;0,01010101;1;0,994;703;"tags=8%, list=4%, signal=8%"
"REGULATION_OF_MYOTUBE_DIFFERENTIATION (GO:0010830)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_REGULATION_OF_MYOTUBE_DIFFERENTIATION.html";"Any process that modulates the frequency, rate or extent of myotube differentiation. Myotube differentiation is the process in which a relatively unspecialized cell acquires specialized features of a myotube cell. Myotubes are multinucleated cells that are formed when proliferating myoblasts exit the cell cycle, differentiate and fuse. [GOC:dph, GOC:tb]";36;0,91721463;1,5559467;0,0024875621;1;1;680;"tags=14%, list=3%, signal=14%"
"EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT (GO:0005201)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT.html";"The action of a molecule that contributes to the structural integrity of the extracellular matrix. [GOC:mah]";151;0,7606171;1,5545673;0,0062111802;1;1;594;"tags=24%, list=3%, signal=24%"
"DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOEND_JOINING (GO:0006303)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING.html";"The repair of a double-strand break in DNA in which the two broken ends are rejoined with little or no sequence complementarity. Information at the DNA ends may be lost due to the modification of broken DNA ends. This term covers instances of separate pathways, called classical (or canonical) and alternative nonhomologous end joining (C-NHEJ and A-NHEJ). These in turn may further branch into sub-pathways, but evidence is still unclear. [GOC:rph, PMID:10827453, PMID:24837021]";75;0,8297049;1,5488443;0,008086253;1;1;1897;"tags=17%, list=10%, signal=19%"
"INNER_EAR_MORPHOGENESIS (GO:0042472)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_INNER_EAR_MORPHOGENESIS.html";"The process in which the anatomical structures of the inner ear are generated and organized. The inner ear is the structure in vertebrates that contains the organs of balance and hearing. It consists of soft hollow sensory structures (the membranous labyrinth) containing fluid (endolymph) surrounded by fluid (perilymph) and encased in a bony cavity (the bony labyrinth). It consists of two chambers, the sacculus and utriculus, from which arise the cochlea and semicircular canals respectively. [GOC:jl, ISBN:0192801023]";101;0,7907485;1,5428647;0,008982036;1;1;691;"tags=10%, list=4%, signal=10%"
"CEREBRAL_CORTEX_CELL_MIGRATION (GO:0021795)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_CEREBRAL_CORTEX_CELL_MIGRATION.html";"The orderly movement of cells from one site to another in the cerebral cortex. [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid]";47;0,87801915;1,5413601;0,0026737968;1;1;552;"tags=17%, list=3%, signal=17%"
"CEREBRAL_CORTEX_RADIALLY_ORIENTED_CELL_MIGRATION (GO:0021799)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_CEREBRAL_CORTEX_RADIALLY_ORIENTED_CELL_MIGRATION.html";"The migration of cells in the developing cerebral cortex in which cells move from the ventricular and/or subventricular zone toward the surface of the brain. [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, PMID:12626695]";36;0,88072133;1,5317677;0,017811704;1;1;552;"tags=17%, list=3%, signal=17%"
"FIBROBLAST_GROWTH_FACTOR_RECEPTOR_BINDING (GO:0005104)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOMF_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_BINDING.html";"Binding to a fibroblast growth factor receptor (FGFR). [GOC:ceb]";19;0,9719935;1,5248259;0;1;1;354;"tags=21%, list=2%, signal=21%"
"PROTEIN_PHOSPHATASE_ACTIVATOR_ACTIVITY (GO:0072542)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOMF_PROTEIN_PHOSPHATASE_ACTIVATOR_ACTIVITY.html";"Binds to and increases the activity of a protein phosphatase. [GOC:mah]";22;0,9473008;1,5238043;0,009259259;1;1;8;"tags=5%, list=0%, signal=5%"
