"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000169282";"KCNAB1";"potassium voltage-gated channel subfamily A regulatory beta subunit 1";2513;7,11010837554932;"No"
"row_1";"ENSG00000196616";"ADH1B";"alcohol dehydrogenase 1B (class I), beta polypeptide";2992;4,85804748535156;"No"
"row_2";"ENSG00000162482";"AKR7A3";"aldo-keto reductase family 7 member A3";4046;2,31498146057129;"No"
"row_3";"ENSG00000100867";"DHRS2";"dehydrogenase/reductase 2";4367;1,83127629756927;"No"
"row_4";"ENSG00000197894";"ADH5";"alcohol dehydrogenase 5 (class III), chi polypeptide";8151;0,0740133970975876;"No"
"row_5";"ENSG00000170426";"SDR9C7";"short chain dehydrogenase/reductase family 9C member 7";8311;0,0669815540313721;"No"
"row_6";"ENSG00000025423";"HSD17B6";"hydroxysteroid 17-beta dehydrogenase 6";10894;-0,0285761002451181;"No"
"row_7";"ENSG00000157379";"DHRS1";"dehydrogenase/reductase 1";11243;-0,0638987496495247;"No"
"row_8";"ENSG00000169738";"DCXR";"dicarbonyl and L-xylulose reductase";11317;-0,0739236027002335;"No"
"row_9";"ENSG00000053371";"AKR7A2";"aldo-keto reductase family 7 member A2";11523;-0,103205733001232;"No"
"row_10";"ENSG00000170509";"HSD17B13";"hydroxysteroid 17-beta dehydrogenase 13";11708;-0,135895520448685;"No"
"row_11";"ENSG00000140263";"SORD";"sorbitol dehydrogenase";12378;-0,289113849401474;"No"
"row_12";"ENSG00000170049";"KCNAB3";"potassium voltage-gated channel subfamily A regulatory beta subunit 3";12891;-0,481900334358215;"No"
"row_13";"ENSG00000073737";"DHRS9";"dehydrogenase/reductase 9";13041;-0,513298451900482;"No"
"row_14";"ENSG00000147576";"ADHFE1";"alcohol dehydrogenase iron containing 1";13051;-0,516873717308044;"No"
"row_15";"ENSG00000139547";"RDH16";"retinol dehydrogenase 16";14596;-1,32947897911072;"No"
"row_16";"ENSG00000211454";"AKR7L";"aldo-keto reductase family 7 like (gene/pseudogene)";15470;-2,55395221710205;"No"
"row_17";"ENSG00000100612";"DHRS7";"dehydrogenase/reductase 7";15625;-2,84480428695679;"No"
"row_18";"ENSG00000160439";"RDH13";"retinol dehydrogenase 13";15641;-2,87386417388916;"No"
"row_19";"ENSG00000225766";"DHRS4L1";"dehydrogenase/reductase 4 like 1 (pseudogene)";16464;-5,21981620788574;"No"
"row_20";"ENSG00000157326";"DHRS4";"dehydrogenase/reductase 4";16507;-5,44797134399414;"No"
"row_21";"ENSG00000248144";"ADH1C";"alcohol dehydrogenase 1C (class I), gamma polypeptide";16784;-6,7068977355957;"No"
"row_22";"ENSG00000121039";"RDH10";"retinol dehydrogenase 10";17041;-8,33003902435303;"No"
"row_23";"ENSG00000187630";"DHRS4L2";"dehydrogenase/reductase 4 like 2";17045;-8,38243389129639;"No"
"row_24";"ENSG00000117448";"AKR1A1";"aldo-keto reductase family 1 member A1";17090;-8,64334583282471;"No"
"row_25";"ENSG00000198610";"AKR1C4";"aldo-keto reductase family 1 member C4";17528;-12,9023094177246;"No"
"row_26";"ENSG00000170786";"SDR16C5";"short chain dehydrogenase/reductase family 16C member 5";17645;-14,6050071716309;"No"
"row_27";"ENSG00000116096";"SPR";"sepiapterin reductase";18731;-58,8152809143066;"Yes"
"row_28";"ENSG00000151632";"AKR1C2";"aldo-keto reductase family 1 member C2";18791;-65,6042404174805;"Yes"
"row_29";"ENSG00000069424";"KCNAB2";"potassium voltage-gated channel subfamily A regulatory beta subunit 2";18874;-74,9450302124023;"Yes"
"row_30";"ENSG00000227471";"AKR1B15";"aldo-keto reductase family 1 member B15";19224;-171,101058959961;"Yes"
"row_31";"ENSG00000198074";"AKR1B10";"aldo-keto reductase family 1 member B10";19348;-259,9609375;"Yes"
"row_32";"ENSG00000165568";"AKR1E2";"aldo-keto reductase family 1 member E2";19362;-278,54736328125;"Yes"
"row_33";"ENSG00000187134";"AKR1C1";"aldo-keto reductase family 1 member C1";19446;-395,692840576172;"Yes"
"row_34";"ENSG00000085662";"AKR1B1";"aldo-keto reductase family 1 member B";19559;-1017,52447509766;"Yes"
"row_35";"ENSG00000108602";"ALDH3A1";"aldehyde dehydrogenase 3 family member A1";19564;-1071,71838378906;"Yes"
"row_36";"ENSG00000162496";"DHRS3";"dehydrogenase/reductase 3";19571;-1170,98132324219;"Yes"
"row_37";"ENSG00000196139";"AKR1C3";"aldo-keto reductase family 1 member C3";19600;-2708,09643554688;"Yes"
