"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000117533";"VAMP4";"vesicle associated membrane protein 4";949;39,1520729064941;"No"
"row_1";"ENSG00000134243";"SORT1";"sortilin 1";999;36,3056755065918;"No"
"row_2";"ENSG00000047932";"GOPC";"golgi associated PDZ and coiled-coil motif containing";1046;33,8083190917969;"No"
"row_3";"ENSG00000164506";"STXBP5";"syntaxin binding protein 5";1339;23,281270980835;"No"
"row_4";"ENSG00000162511";"LAPTM5";"lysosomal protein transmembrane 5";1376;22,3441429138184;"No"
"row_5";"ENSG00000168461";"RAB31";"RAB31, member RAS oncogene family";1535;18,4596176147461;"No"
"row_6";"ENSG00000117475";"BLZF1";"basic leucine zipper nuclear factor 1";1844;13,0251531600952;"No"
"row_7";"ENSG00000143952";"VPS54";"VPS54 subunit of GARP complex";2008;10,9777984619141;"No"
"row_8";"ENSG00000144674";"GOLGA4";"golgin A4";2023;10,8303651809692;"No"
"row_9";"ENSG00000125633";"CCDC93";"CCC complex scaffolding subunit CCDC93";2539;6,94768762588501;"No"
"row_10";"ENSG00000116903";"EXOC8";"exocyst complex component 8";2767;5,80256271362305;"No"
"row_11";"ENSG00000162852";"CNST";"consortin, connexin sorting protein";2793;5,69353199005127;"No"
"row_12";"ENSG00000185896";"LAMP1";"lysosomal associated membrane protein 1";2794;5,68990612030029;"No"
"row_13";"ENSG00000092531";"SNAP23";"synaptosome associated protein 23";2852;5,43017530441284;"No"
"row_14";"ENSG00000178950";"GAK";"cyclin G associated kinase";2887;5,27621936798096;"No"
"row_15";"ENSG00000142197";"DOP1B";"DOP1 leucine zipper like protein B";2928;5,09651947021484;"No"
"row_16";"ENSG00000085832";"EPS15";"epidermal growth factor receptor pathway substrate 15";2975;4,92271852493286;"No"
"row_17";"ENSG00000177879";"AP3S1";"adaptor related protein complex 3 subunit sigma 1";2985;4,894615650177;"No"
"row_18";"ENSG00000137177";"KIF13A";"kinesin family member 13A";3373;3,72178745269775;"No"
"row_19";"ENSG00000083097";"DOP1A";"DOP1 leucine zipper like protein A";3643;3,10853385925293;"No"
"row_20";"ENSG00000127603";"MACF1";"microtubule actin crosslinking factor 1";3677;3,03304171562195;"No"
"row_21";"ENSG00000076321";"KLHL20";"kelch like family member 20";3771;2,81487345695496;"No"
"row_22";"ENSG00000090989";"EXOC1";"exocyst complex component 1";4119;2,22057008743286;"No"
"row_23";"ENSG00000092108";"SCFD1";"sec1 family domain containing 1";4147;2,14560770988464;"No"
"row_24";"ENSG00000029725";"RABEP1";"rabaptin, RAB GTPase binding effector protein 1";4485;1,69930148124695;"No"
"row_25";"ENSG00000070367";"EXOC5";"exocyst complex component 5";5026;1,1545045375824;"No"
"row_26";"ENSG00000197969";"VPS13A";"vacuolar protein sorting 13 homolog A";5125;1,05986082553864;"No"
"row_27";"ENSG00000113384";"GOLPH3";"golgi phosphoprotein 3";5513;0,83071368932724;"No"
"row_28";"ENSG00000197535";"MYO5A";"myosin VA";5582;0,788747906684875;"No"
"row_29";"ENSG00000204628";"RACK1";"receptor for activated C kinase 1";5634;0,764331340789795;"No"
"row_30";"ENSG00000151532";"VTI1A";"vesicle transport through interaction with t-SNAREs 1A";5652;0,745429158210754;"No"
"row_31";"ENSG00000017260";"ATP2C1";"ATPase secretory pathway Ca2+ transporting 1";6018;0,592522799968719;"No"
"row_32";"ENSG00000173163";"COMMD1";"copper metabolism domain containing 1";6176;0,513333976268768;"No"
"row_33";"ENSG00000107862";"GBF1";"golgi brefeldin A resistant guanine nucleotide exchange factor 1";6560;0,377720803022385;"No"
"row_34";"ENSG00000145087";"STXBP5L";"syntaxin binding protein 5L";6585;0,36791130900383;"No"
"row_35";"ENSG00000123240";"OPTN";"optineurin";6641;0,346660286188126;"No"
"row_36";"ENSG00000131899";"LLGL1";"LLGL scribble cell polarity complex component 1";7028;0,309438019990921;"No"
"row_37";"ENSG00000116521";"SCAMP3";"secretory carrier membrane protein 3";7050;0,302138775587082;"No"
"row_38";"ENSG00000138660";"AP1AR";"adaptor related protein complex 1 associated regulatory protein";7303;0,257739394903183;"No"
"row_39";"ENSG00000112685";"EXOC2";"exocyst complex component 2";7696;0,163004353642464;"No"
"row_40";"ENSG00000220205";"VAMP2";"vesicle associated membrane protein 2";7832;0,132271617650986;"No"
"row_41";"ENSG00000065000";"AP3D1";"adaptor related protein complex 3 subunit delta 1";7858;0,126256942749023;"No"
"row_42";"ENSG00000119396";"RAB14";"RAB14, member RAS oncogene family";8928;0,0457570888102055;"No"
"row_43";"ENSG00000079805";"DNM2";"dynamin 2";8980;0,0416752956807613;"No"
"row_44";"ENSG00000143545";"RAB13";"RAB13, member RAS oncogene family";9237;0,0213397350162268;"No"
"row_45";"ENSG00000049245";"VAMP3";"vesicle associated membrane protein 3";9272;0,018398143351078;"No"
"row_46";"ENSG00000215695";"RSC1A1";"regulator of solute carriers 1";9358;0,0134103577584028;"No"
"row_47";"ENSG00000131381";"RBSN";"rabenosyn, RAB effector";9424;0,0097799776121974;"No"
"row_48";"ENSG00000131558";"EXOC4";"exocyst complex component 4";9858;0,000888770038727671;"No"
"row_49";"ENSG00000101246";"ARFRP1";"ARF related protein 1";10113;-0,000330161128658801;"No"
"row_50";"ENSG00000085365";"SCAMP1";"secretory carrier membrane protein 1";10339;-0,00439289398491383;"No"
"row_51";"ENSG00000127328";"RAB3IP";"RAB3A interacting protein";10600;-0,0153362546116114;"No"
"row_52";"ENSG00000183155";"RABIF";"RAB interacting factor";11123;-0,0488700307905674;"No"
"row_53";"ENSG00000120992";"LYPLA1";"lysophospholipase 1";11590;-0,11297270655632;"No"
"row_54";"ENSG00000140497";"SCAMP2";"secretory carrier membrane protein 2";11671;-0,127821996808052;"No"
"row_55";"ENSG00000138078";"PREPL";"prolyl endopeptidase like";11694;-0,133400812745094;"No"
"row_56";"ENSG00000103653";"CSK";"C-terminal Src kinase";12018;-0,197642624378204;"No"
"row_57";"ENSG00000102218";"RP2";"RP2 activator of ARL3 GTPase";12428;-0,303815960884094;"No"
"row_58";"ENSG00000100083";"GGA1";"golgi associated, gamma adaptin ear containing, ARF binding protein 1";12608;-0,37352666258812;"No"
"row_59";"ENSG00000108018";"SORCS1";"sortilin related VPS10 domain containing receptor 1";12635;-0,385934799909592;"No"
"row_60";"ENSG00000103769";"RAB11A";"RAB11A, member RAS oncogene family";13014;-0,494524449110031;"No"
"row_61";"ENSG00000223501";"VPS52";"VPS52 subunit of GARP complex";13400;-0,646526277065277;"No"
"row_62";"ENSG00000168899";"VAMP5";"vesicle associated membrane protein 5";13527;-0,730109035968781;"No"
"row_63";"ENSG00000013016";"EHD3";"EH domain containing 3";13604;-0,785665214061737;"No"
"row_64";"ENSG00000151150";"ANK3";"ankyrin 3";13760;-0,896771430969238;"No"
