"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000050165";"DKK3";"dickkopf WNT signaling pathway inhibitor 3";91;346,033081054688;"No"
"row_1";"ENSG00000186684";"CYP27C1";"cytochrome P450 family 27 subfamily C member 1";1825;13,2786264419556;"No"
"row_2";"ENSG00000114859";"CLCN2";"chloride voltage-gated channel 2";2300;8,4965295791626;"No"
"row_3";"ENSG00000196616";"ADH1B";"alcohol dehydrogenase 1B (class I), beta polypeptide";2992;4,85804748535156;"No"
"row_4";"ENSG00000112175";"BMP5";"bone morphogenetic protein 5";3015;4,78039121627808;"No"
"row_5";"ENSG00000175535";"PNLIP";"pancreatic lipase";3077;4,59975528717041;"No"
"row_6";"ENSG00000007350";"TKTL1";"transketolase like 1";3926;2,52383255958557;"No"
"row_7";"ENSG00000101323";"HAO1";"hydroxyacid oxidase 1";3998;2,37523508071899;"No"
"row_8";"ENSG00000116745";"RPE65";"retinoid isomerohydrolase RPE65";4926;1,23910570144653;"No"
"row_9";"ENSG00000153071";"DAB2";"DAB adaptor protein 2";5000;1,17509245872498;"No"
"row_10";"ENSG00000108242";"CYP2C18";"cytochrome P450 family 2 subfamily C member 18";5097;1,09031665325165;"No"
"row_11";"ENSG00000125845";"BMP2";"bone morphogenetic protein 2";5188;1,00147044658661;"No"
"row_12";"ENSG00000062282";"DGAT2";"diacylglycerol O-acyltransferase 2";5241;0,969100534915924;"No"
"row_13";"ENSG00000136160";"EDNRB";"endothelin receptor type B";5251;0,960942387580872;"No"
"row_14";"ENSG00000128918";"ALDH1A2";"aldehyde dehydrogenase 1 family member A2";5959;0,609229028224945;"No"
"row_15";"ENSG00000017427";"IGF1";"insulin like growth factor 1";6079;0,561249434947968;"No"
"row_16";"ENSG00000163803";"PLB1";"phospholipase B1";8057;0,0886993184685707;"No"
"row_17";"ENSG00000121207";"LRAT";"lecithin retinol acyltransferase";8231;0,0669815540313721;"No"
"row_18";"ENSG00000170426";"SDR9C7";"short chain dehydrogenase/reductase family 9C member 7";8311;0,0669815540313721;"No"
"row_19";"ENSG00000102886";"GDPD3";"glycerophosphodiester phosphodiesterase domain containing 3";8772;0,0619517117738724;"No"
"row_20";"ENSG00000161048";"NAPEPLD";"N-acyl phosphatidylethanolamine phospholipase D";8973;0,0420923493802547;"No"
"row_21";"ENSG00000084093";"REST";"RE1 silencing transcription factor";9186;0,0242015086114407;"No"
"row_22";"ENSG00000140459";"CYP11A1";"cytochrome P450 family 11 subfamily A member 1";9406;0,0106848599389195;"No"
"row_23";"ENSG00000153162";"BMP6";"bone morphogenetic protein 6";9778;0,00206307368353009;"No"
"row_24";"ENSG00000116288";"PARK7";"Parkinsonism associated deglycase";9958;0,000178808797500096;"No"
"row_25";"ENSG00000160868";"CYP3A4";"cytochrome P450 family 3 subfamily A member 4";10190;-0,0011818737257272;"No"
"row_26";"ENSG00000025423";"HSD17B6";"hydroxysteroid 17-beta dehydrogenase 6";10894;-0,0285761002451181;"No"
"row_27";"ENSG00000185000";"DGAT1";"diacylglycerol O-acyltransferase 1";11179;-0,0561215616762638;"No"
"row_28";"ENSG00000168447";"SCNN1B";"sodium channel epithelial 1 subunit beta";11301;-0,0718687698245049;"No"
"row_29";"ENSG00000053371";"AKR7A2";"aldo-keto reductase family 7 member A2";11523;-0,103205733001232;"No"
"row_30";"ENSG00000100197";"CYP2D6";"cytochrome P450 family 2 subfamily D member 6 (gene/pseudogene)";11919;-0,18343348801136;"No"
"row_31";"ENSG00000145439";"CBR4";"carbonyl reductase 4";11994;-0,191204532980919;"No"
"row_32";"ENSG00000196511";"TPK1";"thiamin pyrophosphokinase 1";12090;-0,213352590799332;"No"
"row_33";"ENSG00000170835";"CEL";"carboxyl ester lipase";12288;-0,25503021478653;"No"
"row_34";"ENSG00000014257";"ACP3";"acid phosphatase 3";12478;-0,324274212121964;"No"
"row_35";"ENSG00000073737";"DHRS9";"dehydrogenase/reductase 9";13041;-0,513298451900482;"No"
"row_36";"ENSG00000162552";"WNT4";"Wnt family member 4";13445;-0,674308300018311;"No"
"row_37";"ENSG00000177666";"PNPLA2";"patatin like domain 2, triacylglycerol lipase";13449;-0,679694831371307;"No"
"row_38";"ENSG00000197165";"SULT1A2";"sulfotransferase family 1A member 2";14316;-1,14155387878418;"No"
"row_39";"ENSG00000145214";"DGKQ";"diacylglycerol kinase theta";14561;-1,28893911838531;"No"
"row_40";"ENSG00000139547";"RDH16";"retinol dehydrogenase 16";14596;-1,32947897911072;"No"
"row_41";"ENSG00000131069";"ACSS2";"acyl-CoA synthetase short chain family member 2";15046;-1,89368069171906;"No"
"row_42";"ENSG00000105398";"SULT2A1";"sulfotransferase family 2A member 1";15070;-1,93359684944153;"No"
"row_43";"ENSG00000198075";"SULT1C4";"sulfotransferase family 1C member 4";15434;-2,52013468742371;"No"
"row_44";"ENSG00000132746";"ALDH3B2";"aldehyde dehydrogenase 3 family member B2";15589;-2,80231618881226;"No"
"row_45";"ENSG00000100612";"DHRS7";"dehydrogenase/reductase 7";15625;-2,84480428695679;"No"
"row_46";"ENSG00000160439";"RDH13";"retinol dehydrogenase 13";15641;-2,87386417388916;"No"
"row_47";"ENSG00000137124";"ALDH1B1";"aldehyde dehydrogenase 1 family member B1";16150;-4,0898232460022;"No"
"row_48";"ENSG00000115425";"PECR";"peroxisomal trans-2-enoyl-CoA reductase";16306;-4,7206449508667;"No"
"row_49";"ENSG00000042445";"RETSAT";"retinol saturase";16398;-4,98293685913086;"No"
"row_50";"ENSG00000157326";"DHRS4";"dehydrogenase/reductase 4";16507;-5,44797134399414;"No"
"row_51";"ENSG00000138207";"RBP4";"retinol binding protein 4";16557;-5,72355318069458;"No"
"row_52";"ENSG00000153982";"GDPD1";"glycerophosphodiester phosphodiesterase domain containing 1";16743;-6,46802139282227;"No"
"row_53";"ENSG00000248144";"ADH1C";"alcohol dehydrogenase 1C (class I), gamma polypeptide";16784;-6,7068977355957;"No"
"row_54";"ENSG00000121039";"RDH10";"retinol dehydrogenase 10";17041;-8,33003902435303;"No"
"row_55";"ENSG00000117448";"AKR1A1";"aldo-keto reductase family 1 member A1";17090;-8,64334583282471;"No"
"row_56";"ENSG00000184254";"ALDH1A3";"aldehyde dehydrogenase 1 family member A3";17445;-11,9730548858643;"No"
"row_57";"ENSG00000198610";"AKR1C4";"aldo-keto reductase family 1 member C4";17528;-12,9023094177246;"No"
"row_58";"ENSG00000006007";"GDE1";"glycerophosphodiester phosphodiesterase 1";17538;-12,9800004959106;"No"
"row_59";"ENSG00000176387";"HSD11B2";"hydroxysteroid 11-beta dehydrogenase 2";17568;-13,4812250137329;"No"
"row_60";"ENSG00000170786";"SDR16C5";"short chain dehydrogenase/reductase family 16C member 5";17645;-14,6050071716309;"No"
