"NAME";"ORIGINAL SIZE";"AFTER RESTRICTING TO DATASET";"STATUS"
"10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS (GO:0009256)";6;NA;"Rejected!"
"2FE_2S_CLUSTER_ASSEMBLY (GO:0044571)";11;NA;"Rejected!"
"2_OXOGLUTARATE_METABOLIC_PROCESS (GO:0006103)";18;17;""
"3_UTR_MEDIATED_MRNA_DESTABILIZATION (GO:0061158)";19;18;""
"3_UTR_MEDIATED_MRNA_STABILIZATION (GO:0070935)";29;26;""
"4FE_4S_CLUSTER_ASSEMBLY (GO:0044572)";5;NA;"Rejected!"
"4_HYDROXYPROLINE_METABOLIC_PROCESS (GO:0019471)";6;NA;"Rejected!"
"5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III (GO:0042791)";6;NA;"Rejected!"
"5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS (GO:0046391)";5;NA;"Rejected!"
"7_METHYLGUANOSINE_CAP_HYPERMETHYLATION (GO:0036261)";8;NA;"Rejected!"
"7_METHYLGUANOSINE_RNA_CAPPING (GO:0009452)";8;NA;"Rejected!"
"ACETATE_ESTER_METABOLIC_PROCESS (GO:1900619)";7;NA;"Rejected!"
"ACETATE_ESTER_TRANSPORT (GO:1901374)";9;NA;"Rejected!"
"ACETYLCHOLINE_SECRETION (GO:0061526)";5;NA;"Rejected!"
"ACETYL_COA_BIOSYNTHETIC_PROCESS (GO:0006085)";21;19;""
"ACETYL_COA_METABOLIC_PROCESS (GO:0006084)";37;35;""
"ACIDIC_AMINO_ACID_TRANSPORT (GO:0015800)";73;63;""
"ACID_SECRETION (GO:0046717)";42;31;""
"ACINAR_CELL_DIFFERENTIATION (GO:0090425)";5;NA;"Rejected!"
"ACROSOMAL_VESICLE_EXOCYTOSIS (GO:0060478)";9;NA;"Rejected!"
"ACROSOME_ASSEMBLY (GO:0001675)";38;25;""
"ACROSOME_REACTION (GO:0007340)";43;31;""
"ACTIN_CROSSLINK_FORMATION (GO:0051764)";14;NA;"Rejected!"
"ACTIN_FILAMENT_BASED_MOVEMENT (GO:0030048)";146;124;""
"ACTIN_FILAMENT_BASED_PROCESS (GO:0030029)";842;NA;"Rejected!"
"ACTIN_FILAMENT_BASED_TRANSPORT (GO:0099515)";8;NA;"Rejected!"
"ACTIN_FILAMENT_BUNDLE_ORGANIZATION (GO:0061572)";174;162;""
"ACTIN_FILAMENT_DEPOLYMERIZATION (GO:0030042)";60;55;""
"ACTIN_FILAMENT_NETWORK_FORMATION (GO:0051639)";9;NA;"Rejected!"
"ACTIN_FILAMENT_ORGANIZATION (GO:0007015)";467;429;""
"ACTIN_FILAMENT_POLYMERIZATION (GO:0030041)";157;143;""
"ACTIN_FILAMENT_SEVERING (GO:0051014)";17;17;""
"ACTIN_MEDIATED_CELL_CONTRACTION (GO:0070252)";123;101;""
"ACTIN_MYOSIN_FILAMENT_SLIDING (GO:0033275)";19;NA;"Rejected!"
"ACTIN_NUCLEATION (GO:0045010)";58;54;""
"ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY (GO:0070358)";7;NA;"Rejected!"
"ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION (GO:0008154)";187;170;""
"ACTION_POTENTIAL (GO:0001508)";179;143;""
"ACTION_POTENTIAL_PROPAGATION (GO:0098870)";12;NA;"Rejected!"
"ACTIVATED_T_CELL_PROLIFERATION (GO:0050798)";51;40;""
"ACTIVATION_INDUCED_CELL_DEATH_OF_T_CELLS (GO:0006924)";10;NA;"Rejected!"
"ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY (GO:0007190)";15;NA;"Rejected!"
"ACTIVATION_OF_GTPASE_ACTIVITY (GO:0090630)";24;23;""
"ACTIVATION_OF_IMMUNE_RESPONSE (GO:0002253)";621;500;""
"ACTIVATION_OF_INNATE_IMMUNE_RESPONSE (GO:0002218)";341;287;""
"ACTIVATION_OF_MEIOSIS (GO:0090427)";6;NA;"Rejected!"
"ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY (GO:0007250)";10;NA;"Rejected!"
"ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY (GO:0032147)";41;37;""
"ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY (GO:0032148)";8;NA;"Rejected!"
"ACTIVATION_OF_STORE_OPERATED_CALCIUM_CHANNEL_ACTIVITY (GO:0032237)";5;NA;"Rejected!"
"ACTIVIN_RECEPTOR_SIGNALING_PATHWAY (GO:0032924)";54;47;""
"ACTOMYOSIN_CONTRACTILE_RING_ORGANIZATION (GO:0044837)";10;NA;"Rejected!"
"ACTOMYOSIN_STRUCTURE_ORGANIZATION (GO:0031032)";216;203;""
"ACUTE_INFLAMMATORY_RESPONSE (GO:0002526)";112;83;""
"ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS (GO:0002438)";32;20;""
"ACUTE_PHASE_RESPONSE (GO:0006953)";47;35;""
"ACYLGLYCEROL_HOMEOSTASIS (GO:0055090)";48;34;""
"ACYLGLYCEROL_TRANSPORT (GO:0034196)";8;NA;"Rejected!"
"ACYL_COA_METABOLIC_PROCESS (GO:0006637)";100;88;""
"ADAPTIVE_IMMUNE_MEMORY_RESPONSE (GO:0090716)";7;NA;"Rejected!"
"ADAPTIVE_IMMUNE_RESPONSE (GO:0002250)";765;385;""
"ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS (GO:0002460)";390;272;""
"ADAPTIVE_THERMOGENESIS (GO:1990845)";169;153;""
"ADENINE_TRANSPORT (GO:0015853)";6;NA;"Rejected!"
"ADENOHYPOPHYSIS_DEVELOPMENT (GO:0021984)";16;NA;"Rejected!"
"ADENOSINE_METABOLIC_PROCESS (GO:0046085)";11;NA;"Rejected!"
"ADENOSINE_TO_INOSINE_EDITING (GO:0006382)";6;NA;"Rejected!"
"ADENOSINE_TRANSPORT (GO:0032238)";5;NA;"Rejected!"
"ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY (GO:0071880)";20;16;""
"ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY (GO:0007191)";11;NA;"Rejected!"
"ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY (GO:0007189)";190;141;""
"ADENYLATE_CYCLASE_ACTIVATING_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY (GO:0007192)";5;NA;"Rejected!"
"ADENYLATE_CYCLASE_INHIBITING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY (GO:0007195)";6;NA;"Rejected!"
"ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY (GO:0007197)";8;NA;"Rejected!"
"ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY (GO:0007196)";9;NA;"Rejected!"
"ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY (GO:0007193)";87;58;""
"ADENYLATE_CYCLASE_INHIBITING_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY (GO:0007198)";10;NA;"Rejected!"
"ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY (GO:0007188)";279;201;""
"ADHERENS_JUNCTION_ASSEMBLY (GO:0034333)";15;NA;"Rejected!"
"ADHERENS_JUNCTION_MAINTENANCE (GO:0034334)";7;NA;"Rejected!"
"ADHERENS_JUNCTION_ORGANIZATION (GO:0034332)";59;57;""
"ADHESION_OF_SYMBIONT_TO_HOST (GO:0044406)";15;NA;"Rejected!"
