"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000142156";"COL6A1";"collagen type VI alpha 1 chain";26;1357,99938964844;"Yes"
"row_1";"ENSG00000154277";"UCHL1";"ubiquitin C-terminal hydrolase L1";85;611,852172851562;"Yes"
"row_2";"ENSG00000110090";"CPT1A";"carnitine palmitoyltransferase 1A";94;562,500549316406;"Yes"
"row_3";"ENSG00000109255";"NMU";"neuromedin U";380;170,432662963867;"Yes"
"row_4";"ENSG00000151353";"TMEM18";"transmembrane protein 18";1689;21,3353385925293;"No"
"row_5";"ENSG00000178966";"RMI1";"RecQ mediated genome instability 1";2012;14,8252058029175;"No"
"row_6";"ENSG00000168610";"STAT3";"signal transducer and activator of transcription 3";2295;11,3549289703369;"No"
"row_7";"ENSG00000174697";"LEP";"leptin";2943;6,33336210250854;"No"
"row_8";"ENSG00000214413";"BBIP1";"BBSome interacting protein 1";3007;6,00560092926025;"No"
"row_9";"ENSG00000187258";"NPSR1";"neuropeptide S receptor 1";4345;2,14021873474121;"No"
"row_10";"ENSG00000132932";"ATP8A2";"ATPase phospholipid transporting 8A2";4726;1,62737059593201;"No"
"row_11";"ENSG00000116329";"OPRD1";"opioid receptor delta 1";6515;0,417131036520004;"No"
"row_12";"ENSG00000121853";"GHSR";"growth hormone secretagogue receptor";6877;0,349096208810806;"No"
"row_13";"ENSG00000161048";"NAPEPLD";"N-acyl phosphatidylethanolamine phospholipase D";7106;0,289730429649353;"No"
"row_14";"ENSG00000123607";"TTC21B";"tetratricopeptide repeat domain 21B";7201;0,254818916320801;"No"
"row_15";"ENSG00000161610";"HCRT";"hypocretin neuropeptide precursor";7968;0,0978367626667023;"No"
"row_16";"ENSG00000166603";"MC4R";"melanocortin 4 receptor";7985;0,0978367626667023;"No"
"row_17";"ENSG00000170893";"TRH";"thyrotropin releasing hormone";9192;0,0164625886827707;"No"
"row_18";"ENSG00000180176";"TH";"tyrosine hydroxylase";10039;-0,000648690038360655;"No"
"row_19";"ENSG00000181004";"BBS12";"Bardet-Biedl syndrome 12";10959;-0,0476871319115162;"No"
"row_20";"ENSG00000184144";"CNTN2";"contactin 2";11148;-0,0715570151805878;"No"
"row_21";"ENSG00000187871";"GFRAL";"GDNF family receptor alpha like";12801;-0,477354854345322;"No"
"row_22";"ENSG00000130513";"GDF15";"growth differentiation factor 15";13048;-0,56272029876709;"No"
"row_23";"ENSG00000082556";"OPRK1";"opioid receptor kappa 1";14930;-1,8165682554245;"No"
"row_24";"ENSG00000140090";"SLC24A4";"solute carrier family 24 member 4";14932;-1,8165682554245;"No"
"row_25";"ENSG00000115353";"TACR1";"tachykinin receptor 1";16719;-6,66743850708008;"No"
"row_26";"ENSG00000169860";"P2RY1";"purinergic receptor P2Y1";17790;-16,9551792144775;"No"
"row_27";"ENSG00000044012";"GUCA2B";"guanylate cyclase activator 2B";18135;-23,4940891265869;"No"
"row_28";"ENSG00000132911";"NMUR2";"neuromedin U receptor 2";18635;-41,7081985473633;"No"
