"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000038427";"VCAN";"versican";4;1859,08178710938;"Yes"
"row_1";"ENSG00000026508";"CD44";"CD44 molecule (IN blood group)";9;1713,79956054688;"Yes"
"row_2";"ENSG00000204381";"LAYN";"layilin";295;218,326522827148;"Yes"
"row_3";"ENSG00000173705";"SUSD5";"sushi domain containing 5";653;97,1743316650391;"Yes"
"row_4";"ENSG00000081148";"IMPG2";"interphotoreceptor matrix proteoglycan 2";3190;5,24719858169556;"No"
"row_5";"ENSG00000123610";"TNFAIP6";"TNF alpha induced protein 6";3462;4,21490001678467;"No"
"row_6";"ENSG00000108561";"C1QBP";"complement C1q binding protein";5252;1,10207152366638;"No"
"row_7";"ENSG00000136011";"STAB2";"stabilin 2";6167;0,567929446697235;"No"
"row_8";"ENSG00000112706";"IMPG1";"interphotoreceptor matrix proteoglycan 1";6712;0,416491746902466;"No"
"row_9";"ENSG00000010327";"STAB1";"stabilin 1";8685;0,0560441315174103;"No"
"row_10";"ENSG00000145681";"HAPLN1";"hyaluronan and proteoglycan link protein 1";8828;0,0417301468551159;"No"
"row_11";"ENSG00000103888";"CEMIP";"cell migration inducing hyaluronidase 1";9463;0,00737032946199179;"No"
"row_12";"ENSG00000068001";"HYAL2";"hyaluronidase 2";9925;-8,93982178240549e-06;"No"
"row_13";"ENSG00000132702";"HAPLN2";"hyaluronan and proteoglycan link protein 2";10447;-0,0105585195124149;"No"
"row_14";"ENSG00000072571";"HMMR";"hyaluronan mediated motility receptor";11014;-0,0545225217938423;"No"
"row_15";"ENSG00000130287";"NCAN";"neurocan";11411;-0,111468635499477;"No"
"row_16";"ENSG00000157766";"ACAN";"aggrecan";13514;-0,8573397397995;"No"
"row_17";"ENSG00000154645";"CHODL";"chondrolectin";14292;-1,16649794578552;"No"
"row_18";"ENSG00000055957";"ITIH1";"inter-alpha-trypsin inhibitor heavy chain 1";15558;-2,82501697540283;"No"
"row_19";"ENSG00000187664";"HAPLN4";"hyaluronan and proteoglycan link protein 4";16185;-4,38547372817993;"No"
"row_20";"ENSG00000151655";"ITIH2";"inter-alpha-trypsin inhibitor heavy chain 2";16854;-7,51453542709351;"No"
"row_21";"ENSG00000140511";"HAPLN3";"hyaluronan and proteoglycan link protein 3";18605;-39,8381805419922;"No"
