"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000163297";"ANTXR2";"ANTXR cell adhesion molecule 2";16;1594,8037109375;"Yes"
"row_1";"ENSG00000142156";"COL6A1";"collagen type VI alpha 1 chain";26;1357,99938964844;"Yes"
"row_2";"ENSG00000153132";"CLGN";"calmegin";48;902,331359863281;"Yes"
"row_3";"ENSG00000169083";"AR";"androgen receptor";293;218,745071411133;"Yes"
"row_4";"ENSG00000044459";"CNTLN";"centlein";433;150,891082763672;"Yes"
"row_5";"ENSG00000109738";"GLRB";"glycine receptor beta";449;144,229629516602;"Yes"
"row_6";"ENSG00000128710";"HOXD10";"homeobox D10";480;133,906753540039;"Yes"
"row_7";"ENSG00000136854";"STXBP1";"syntaxin binding protein 1";492;132,005493164062;"Yes"
"row_8";"ENSG00000100345";"MYH9";"myosin heavy chain 9";777;76,0889282226562;"Yes"
"row_9";"ENSG00000130270";"ATP8B3";"ATPase phospholipid transporting 8B3";819;71,4630355834961;"Yes"
"row_10";"ENSG00000128709";"HOXD9";"homeobox D9";1009;52,0032539367676;"Yes"
"row_11";"ENSG00000182310";"SPACA6";"sperm acrosome associated 6";1064;47,5443725585938;"Yes"
"row_12";"ENSG00000166352";"IFTAP";"intraflagellar transport associated protein";1078;46,596736907959;"Yes"
"row_13";"ENSG00000138741";"TRPC3";"transient receptor potential cation channel subfamily C member 3";1184;39,6289482116699;"Yes"
"row_14";"ENSG00000104368";"PLAT";"plasminogen activator, tissue type";1253;36,107738494873;"Yes"
"row_15";"ENSG00000005448";"WDR54";"WD repeat domain 54";1358;31,9346828460693;"Yes"
"row_16";"ENSG00000140526";"ABHD2";"abhydrolase domain containing 2, acylglycerol lipase";1387;31,140323638916;"Yes"
"row_17";"ENSG00000128294";"TPST2";"tyrosylprotein sulfotransferase 2";1509;26,9800758361816;"No"
"row_18";"ENSG00000114062";"UBE3A";"ubiquitin protein ligase E3A";1625;23,1547756195068;"No"
"row_19";"ENSG00000139985";"ADAM21";"ADAM metallopeptidase domain 21";1857;17,4695816040039;"No"
"row_20";"ENSG00000079841";"RIMS1";"regulating synaptic membrane exocytosis 1";1870;17,3199653625488;"No"
"row_21";"ENSG00000145685";"LHFPL2";"LHFPL tetraspan subfamily member 2";1872;17,3037452697754;"No"
"row_22";"ENSG00000132475";"H3-3B";"H3.3 histone B";1942;15,9990739822388;"No"
"row_23";"ENSG00000111450";"STX2";"syntaxin 2";2065;14,054705619812;"No"
"row_24";"ENSG00000128596";"CCDC136";"coiled-coil domain containing 136";2132;13,1770782470703;"No"
"row_25";"ENSG00000197140";"ADAM32";"ADAM metallopeptidase domain 32";2236;12,0272703170776;"No"
"row_26";"ENSG00000139151";"PLCZ1";"phospholipase C zeta 1";2366;10,7336778640747;"No"
"row_27";"ENSG00000132842";"AP3B1";"adaptor related protein complex 3 subunit beta 1";2500;9,45149612426758;"No"
"row_28";"ENSG00000141646";"SMAD4";"SMAD family member 4";2969;6,1671142578125;"No"
"row_29";"ENSG00000104450";"SPAG1";"sperm associated antigen 1";3344;4,6622576713562;"No"
"row_30";"ENSG00000150995";"ITPR1";"inositol 1,4,5-trisphosphate receptor type 1";3514;4,05946397781372;"No"
"row_31";"ENSG00000163041";"H3-3A";"H3.3 histone A";3586;3,80539512634277;"No"
"row_32";"ENSG00000116539";"ASH1L";"ASH1 like histone lysine methyltransferase";3708;3,50395321846008;"No"
"row_33";"ENSG00000049860";"HEXB";"hexosaminidase subunit beta";3794;3,28201103210449;"No"
"row_34";"ENSG00000064199";"SPA17";"sperm autoantigenic protein 17";4015;2,79970121383667;"No"
"row_35";"ENSG00000005073";"HOXA11";"homeobox A11";4605;1,74889206886292;"No"
"row_36";"ENSG00000183401";"CCDC159";"coiled-coil domain containing 159";4969;1,35722720623016;"No"
"row_37";"ENSG00000196118";"CFAP119";"cilia and flagella associated protein 119";5022;1,30023717880249;"No"
"row_38";"ENSG00000104691";"UBXN8";"UBX domain protein 8";5073;1,24793219566345;"No"
"row_39";"ENSG00000057757";"PITHD1";"PITH domain containing 1";5608;0,858482778072357;"No"
"row_40";"ENSG00000103599";"IQCH";"IQ motif containing H";5846;0,730943620204926;"No"
"row_41";"ENSG00000173389";"IQCF1";"IQ motif containing F1";5897;0,707888901233673;"No"
"row_42";"ENSG00000117335";"CD46";"CD46 molecule";5913;0,70047390460968;"No"
"row_43";"ENSG00000114742";"WDR48";"WD repeat domain 48";6038;0,619401693344116;"No"
"row_44";"ENSG00000160886";"LY6K";"lymphocyte antigen 6 family member K";6076;0,60070925951004;"No"
"row_45";"ENSG00000152503";"TRIM36";"tripartite motif containing 36";6362;0,473130792379379;"No"
"row_46";"ENSG00000042813";"ZPBP";"zona pellucida binding protein";6487;0,417131036520004;"No"
"row_47";"ENSG00000122133";"PAEP";"progestagen associated endometrial protein";6516;0,417131036520004;"No"
"row_48";"ENSG00000085465";"OVGP1";"oviductal glycoprotein 1";6855;0,355181187391281;"No"
"row_49";"ENSG00000135205";"CCDC146";"coiled-coil domain containing 146";7013;0,327278673648834;"No"
"row_50";"ENSG00000105649";"RAB3A";"RAB3A, member RAS oncogene family";7031;0,321527451276779;"No"
"row_51";"ENSG00000183066";"WBP2NL";"WBP2 N-terminal like";7063;0,304889857769012;"No"
"row_52";"ENSG00000116288";"PARK7";"Parkinsonism associated deglycase";7180;0,261035531759262;"No"
"row_53";"ENSG00000149506";"ZP1";"zona pellucida glycoprotein 1";7496;0,185662299394608;"No"
"row_54";"ENSG00000120438";"TCP1";"t-complex 1";7728;0,12923276424408;"No"
"row_55";"ENSG00000138031";"ADCY3";"adenylate cyclase 3";7837;0,108939908444881;"No"
"row_56";"ENSG00000137098";"SPAG8";"sperm associated antigen 8";7848;0,10633173584938;"No"
"row_57";"ENSG00000090512";"FETUB";"fetuin B";7913;0,0978367626667023;"No"
"row_58";"ENSG00000143297";"FCRL5";"Fc receptor like 5";7950;0,0978367626667023;"No"
"row_59";"ENSG00000182896";"TMEM95";"transmembrane protein 95";8017;0,0978367626667023;"No"
"row_60";"ENSG00000186452";"TMPRSS12";"transmembrane serine protease 12";8026;0,0978367626667023;"No"
"row_61";"ENSG00000117139";"KDM5B";"lysine demethylase 5B";8569;0,070450484752655;"No"
"row_62";"ENSG00000164037";"SLC9B1";"solute carrier family 9 member B1";8619;0,0635919496417046;"No"
"row_63";"ENSG00000135248";"GARIN1B";"golgi associated RAB2 interactor 1B";8639;0,0600693263113499;"No"
"row_64";"ENSG00000198722";"UNC13B";"unc-13 homolog B";8804;0,0442694537341595;"No"
"row_65";"ENSG00000165076";"PRSS37";"serine protease 37";8830;0,0417301468551159;"No"
"row_66";"ENSG00000119636";"BBOF1";"basal body orientation factor 1";8940;0,0332518629729748;"No"
"row_67";"ENSG00000171722";"SPATA46";"spermatogenesis associated 46";9054;0,0240169782191515;"No"
"row_68";"ENSG00000069764";"PLA2G10";"phospholipase A2 group X";9179;0,0164625886827707;"No"
"row_69";"ENSG00000118308";"IRAG2";"inositol 1,4,5-triphosphate receptor associated 2";9295;0,0152464229613543;"No"
"row_70";"ENSG00000139323";"POC1B";"POC1 centriolar protein B";9825;0,000212218423257582;"No"
"row_71";"ENSG00000234776";"FREY1";"Frey regulator of sperm-oocyte fusion 1";9853;0,000112065812572837;"No"
"row_72";"ENSG00000143569";"UBAP2L";"ubiquitin associated protein 2 like";9861;7,11368702468462e-05;"No"
"row_73";"ENSG00000163468";"CCT3";"chaperonin containing TCP1 subunit 3";10133;-0,00198938557878137;"No"
"row_74";"ENSG00000126216";"TUBGCP3";"tubulin gamma complex component 3";10308;-0,00524451769888401;"No"
"row_75";"ENSG00000174529";"TMEM81";"transmembrane protein 81";10395;-0,0089053213596344;"No"
"row_76";"ENSG00000130943";"PKDREJ";"polycystin family receptor for egg jelly";10444;-0,0103247007355094;"No"
"row_77";"ENSG00000170312";"CDK1";"cyclin dependent kinase 1";10482;-0,0118073336780071;"No"
"row_78";"ENSG00000150753";"CCT5";"chaperonin containing TCP1 subunit 5";10500;-0,013046913780272;"No"
"row_79";"ENSG00000122986";"HVCN1";"hydrogen voltage gated channel 1";10921;-0,0439819358289242;"No"
"row_80";"ENSG00000131126";"TEX101";"testis expressed 101";11211;-0,0820509642362595;"No"
"row_81";"ENSG00000149925";"ALDOA";"aldolase, fructose-bisphosphate A";11316;-0,0925843268632889;"No"
"row_82";"ENSG00000111254";"AKAP3";"A-kinase anchoring protein 3";11377;-0,105869606137276;"No"
"row_83";"ENSG00000004809";"SLC22A16";"solute carrier family 22 member 16";11403;-0,111468635499477;"No"
"row_84";"ENSG00000152669";"CCNO";"cyclin O";11770;-0,174577057361603;"No"
"row_85";"ENSG00000183770";"FOXL2";"forkhead box L2";11868;-0,199944272637367;"No"
"row_86";"ENSG00000227868";"TEX46";"testis expressed 46";11876;-0,199944272637367;"No"
"row_87";"ENSG00000134007";"ADAM20";"ADAM metallopeptidase domain 20";11933;-0,214718163013458;"No"
"row_88";"ENSG00000165637";"VDAC2";"voltage dependent anion channel 2";12432;-0,380521506071091;"No"
"row_89";"ENSG00000162771";"GARIN4";"golgi associated RAB2 interactor family member 4";12494;-0,400439292192459;"No"
"row_90";"ENSG00000188334";"BSPH1";"binder of sperm protein homolog 1";12510;-0,400439292192459;"No"
"row_91";"ENSG00000106336";"FBXO24";"F-box protein 24";12612;-0,409288823604584;"No"
"row_92";"ENSG00000145888";"GLRA1";"glycine receptor alpha 1";12633;-0,415650427341461;"No"
"row_93";"ENSG00000104755";"ADAM2";"ADAM metallopeptidase domain 2";12774;-0,477354854345322;"No"
"row_94";"ENSG00000086062";"B4GALT1";"beta-1,4-galactosyltransferase 1";12904;-0,486136257648468;"No"
"row_95";"ENSG00000198003";"ODAD3";"outer dynein arm docking complex subunit 3";13080;-0,583344757556915;"No"
"row_96";"ENSG00000163357";"DCST1";"DC-STAMP domain containing 1";13239;-0,696405291557312;"No"
"row_97";"ENSG00000196557";"CACNA1H";"calcium voltage-gated channel subunit alpha1 H";13473;-0,856758534908295;"No"
"row_98";"ENSG00000147081";"AKAP4";"A-kinase anchoring protein 4";13509;-0,8573397397995;"No"
"row_99";"ENSG00000165457";"FOLR2";"folate receptor beta";13524;-0,8573397397995;"No"
"row_100";"ENSG00000171864";"PRND";"prion like protein doppel";13541;-0,8573397397995;"No"
