"NAME";"GS br  follow link to MSigDB";"GS DETAILS";"SIZE";"ES";"NES";"NOM p val";"FDR q val";"FWER p val";"RANK AT MAX";"LEADING EDGE"
"APICAL_JUNCTION_COMPLEX (GO:0043296)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOCC_APICAL_JUNCTION_COMPLEX.html";"A functional unit located near the cell apex at the points of contact between epithelial cells, which in vertebrates is composed of the tight junction, the zonula adherens, and desmosomes and in some invertebrates, such as Drosophila, is composed of the subapical complex (SAC), the zonula adherens and the septate junction. Functions in the regulation of cell polarity, tissue integrity and intercellular adhesion and permeability. [GOC:go_curators, GOC:kmv, PMID:12525486, PMID:15196556]";145;-0,85411465;-1,5737455;0;0,108041495;0,104;951;"tags=23%, list=5%, signal=24%"
"OXIDOREDUCTASE_ACTIVITY_ACTING_ON_CH_OH_GROUP_OF_DONORS (GO:0016614)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_CH_OH_GROUP_OF_DONORS.html";"Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group act as a hydrogen or electron donor and reduces a hydrogen or electron acceptor. [GOC:ai]";116;-0,873721;-1,567388;0;0,0721717;0,137;1322;"tags=18%, list=7%, signal=19%"
"VITAMIN_METABOLIC_PROCESS (GO:0006766)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_VITAMIN_METABOLIC_PROCESS.html";"The chemical reactions and pathways involving vitamins. Vitamin is a general term for a number of unrelated organic substances that occur in many foods in small amounts and that are necessary in trace amounts for the normal metabolic functioning of the body. Vitamins may be water-soluble or fat-soluble and usually serve as components of coenzyme systems. [GOC:ai]";104;-0,8736823;-1,55024;0;0,13006909;0,342;937;"tags=15%, list=5%, signal=16%"
"OXIDOREDUCTASE_COMPLEX (GO:1990204)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOCC_OXIDOREDUCTASE_COMPLEX.html";"Any protein complex that possesses oxidoreductase activity. [GOC:bhm, PMID:18982432]";146;-0,8372139;-1,5301179;0,0015600624;0,24793844;0,656;1580;"tags=10%, list=8%, signal=11%"
"VITAMIN_TRANSPORT (GO:0051180)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_VITAMIN_TRANSPORT.html";"The directed movement of vitamins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. A vitamin is one of a number of unrelated organic substances that occur in many foods in small amounts and that are necessary in trace amounts for the normal metabolic functioning of the body. [GOC:ai]";56;-0,90950227;-1,5204177;0,0016583748;0,29571545;0,785;832;"tags=27%, list=4%, signal=28%"
"EMBRYONIC_PLACENTA_DEVELOPMENT (GO:0001892)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_EMBRYONIC_PLACENTA_DEVELOPMENT.html";"The embryonically driven process whose specific outcome is the progression of the placenta over time, from its formation to the mature structure. The placenta is an organ of metabolic interchange between fetus and mother, partly of embryonic origin and partly of maternal origin. [GOC:add, ISBN:068340007X]";86;-0,8665229;-1,4986475;0;0,57811207;0,971;233;"tags=9%, list=1%, signal=9%"
"LABYRINTHINE_LAYER_DEVELOPMENT (GO:0060711)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_LABYRINTHINE_LAYER_DEVELOPMENT.html";"The process in which the labyrinthine layer of the placenta progresses, from its formation to its mature state. [GOC:dph]";46;-0,9171798;-1,4924332;0,0016778524;0,61582;0,992;175;"tags=13%, list=1%, signal=13%"
"EPITHELIAL_CELL_APOPTOTIC_PROCESS (GO:1904019)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_EPITHELIAL_CELL_APOPTOTIC_PROCESS.html";"Any apoptotic process in an epithelial cell. [GO_REF:0000085, GOC:TermGenie, PMID:19137015]";73;-0,85760474;-1,4869342;0,008169935;0,6597477;0,995;598;"tags=8%, list=3%, signal=8%"
"INTESTINAL_ABSORPTION (GO:0050892)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_INTESTINAL_ABSORPTION.html";"A process in which nutrients are taken up from the contents of the intestine. [GOC:ai, GOC:dph]";41;-0,9266799;-1,4768199;0;0,83438826;1;842;"tags=29%, list=4%, signal=30%"
"ELECTRON_TRANSFER_ACTIVITY (GO:0009055)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOMF_ELECTRON_TRANSFER_ACTIVITY.html";"A molecular function representing the directed movement of electrons from one molecular entity to another, typically mediated by electron carriers or acceptors, resulting in the transfer of energy and/or the reduction-oxidation (redox) transformation of chemical species. This activity is fundamental to various biological processes, including cellular respiration and photosynthesis, as well as numerous enzymatic reactions involved in metabolic pathways. [Wikipedia:Electron_transfer]";110;-0,8170947;-1,4755807;0,0062402496;0,7857283;1;1591;"tags=15%, list=8%, signal=16%"
