"Category";"GO_ID";"Description";"Gene_Ratio";"Bg_Ratio";"pvalue";"padj";"gene_ID";"gene_name";"count"
"BP";"GO:0006066";"alcohol metabolic process";"108/2713";"367/18496";2,03140855577672e-13;1,23631524704571e-09;"8813/1080/1595/8228/55/29881/6307/84649/3422/6720/949/2222/4036/338/80271/6820/9517/3705/4923/6713/6822/51477/346606/8029/2584/6783/8821/6309/116519/337/4598/1594/217/10162/3157/3156/1181/55825/335/2053/157506/6718/650/348/341/55902/2643/51478/222/3158/53630/1910/2230/5950/3417/5593/27163/1543/3613/10682/26007/7108/1601/84532/336/4047/112724/5745/2232/4041/8613/9249/2672/151056/134429/216/3990/5092/10449/4597/8435/207063/255738/5028/5031/1798/55304/1717/11163/3291/440672/23236/283871/120227/56624/8644/442038/6817/27010/165679/6799/5336/27233/1066/6721/57540/3931/1050";"DPM1/CFTR/CYP51A1/PNPLA4/ACPP/NPC1L1/MSMO1/DGAT2/IDI1/SREBF1/SCARB1/FDFT1/LRP2/APOB/ITPKC/SULT2B1/SPTLC2/ITPK1/NTSR1/SQLE/SULT2A1/ISYNA1/MOGAT3/CUBN/GALK1/SULT1E1/INPP4B/SC5D/APOA5/APOA4/MVK/CYP27B1/ALDH2/LPCAT3/HMGCS1/HMGCR/CLCN2/PECR/APOA1/EPHX2/RDH10/AKR1D1/BMP2/APOE/APOC1/ACSS2/GCH1/HSD17B7/ALDH3B2/HMGCS2/BCO1/EDNRB/FDX1/RBP4/IDH1/PRKG2/NAAA/CYP1A1/IMPA2/EBP/TKFC/TM7SF2/DAB2/ACSS1/APOA2/LSS/RDH13/PTH1R/FDXR/LRP5/PLPP3/DHRS3/GFI1/PLB1/STARD4/ALDH1A1/LIPC/PCBD1/ACAA2/MVD/SOAT2/DHRSX/PCSK9/P2RY1/P2RY6/DPAGT1/SPTLC3/DHCR7/NUDT4/HSD11B2/NUDT4B/PLCB1/PGP/CYP2R1/ASAH2/AKR1C3/SULT1C3/SULT1A1/TPK1/SPTSSB/SULT1A2/PLCG2/SULT1C4/CES1/SREBF2/DISP3/LCAT/CEBPA";108
"BP";"GO:0016042";"lipid catabolic process";"96/2713";"350/18496";3,27907069984841e-10;7,19646740981547e-07;"8228/11313/1800/1591/2581/949/32/8527/338/4258/51171/11332/80339/63874/9388/412/55512/23417/1891/2109/6822/6783/116519/337/345/1594/2822/1962/5096/84812/3938/2166/5825/8074/5826/79887/6718/35/7067/1892/5338/348/341/375775/27293/5538/222/64900/53630/55627/6653/5330/1588/84647/3417/27163/9746/5830/11001/283927/9651/5140/55289/336/10825/8613/134/151056/200879/3248/158584/3990/10449/254552/1632/255189/5095/11145/2517/201164/339221/23236/140701/8398/5407/5333/123745/56624/8644/2760/27198/5336/51170/1066/4758/26063";"PNPLA4/LYPLA2/DPEP1/CYP24A1/GALC/SCARB1/ACACB/DGKD/APOB/MGST2/HSD17B14/ACOT7/PNPLA3/ABHD4/LIPG/STS/SMPD3/MLYCD/ECH1/ETFB/SULT2A1/SULT1E1/APOA5/APOA4/APOC3/CYP27B1/GPLD1/EHHADH/PCCB/PLCD4/LCT/FAAH/ABCD3/FGF23/ABCD4/PLBD1/AKR1D1/ACADS/THRA/ECHS1/PLD2/APOE/APOC1/PNPLA7/SMPDL3B/PPT1/ALDH3B2/LPIN3/BCO1/SMPD4/SORL1/PLCB2/CYP19A1/PLA2G12B/IDH1/NAAA/CLSTN3/PEX5/SLC27A2/NUDT7/PLCH2/PDE3B/ACOXL/APOA2/NEU3/PLPP3/ADORA1/PLB1/LIPH/HPGD/FAAH2/LIPC/ACAA2/NUDT8/ECI1/PLA2G4F/PCCA/PLA2G16/FUCA1/PLD6/ENPP7/PLCB1/ABHD16B/PLA2G6/PNLIPRP1/PLCD1/PLA2G4E/ASAH2/AKR1C3/GM2A/HCAR1/PLCG2/HSD17B11/CES1/NEU1/DECR2";96
"BP";"GO:0015711";"organic anion transport";"119/2713";"466/18496";3,54738781292251e-10;7,19646740981547e-07;"1080/6542/4843/9058/6556/11136/1244/6515/6558/3993/5743/113235/32/1906/6507/51006/5663/4036/5243/368/23428/6576/23539/4923/63910/113278/7355/9057/8140/23516/6505/81855/5608/9368/56606/2348/6506/6539/116369/222642/117247/83697/5997/6513/10560/5825/9429/57864/5826/10237/206358/51000/10257/79085/348/11046/5468/56923/80763/5025/29988/11309/2542/6519/84647/4547/83758/55089/283375/11001/94015/8792/6518/25874/55811/1382/10861/6581/55630/123/9536/8501/1813/9056/1836/1636/54020/116362/134/6514/54716/256987/9075/1381/146167/124935/6520/55867/9122/255189/293/151258/9121/9963/144195/201232/7351/284129/388323/18/123264/10991/4763/57181/51703/4828/1066/51054/440044";"CFTR/SLC7A2/NOS2/SLC13A2/SLC11A1/SLC7A9/ABCC2/SLC2A3/SLC12A2/LLGL2/PTGS2/SLC46A1/ACACB/EDN1/SLC1A3/SLC35C2/PSEN1/LRP2/ABCB1/ABCC6/SLC7A8/SLC25A1/SLC16A8/NTSR1/SLC17A9/SLC52A3/SLC35A2/SLC7A6/SLC7A5/SLC39A14/SLC1A1/SFXN3/MAP2K6/SLC9A3R1/SLC2A9/FOLR1/SLC1A2/SLC6A12/SLC26A8/TSPO2/SLC16A10/SLC4A9/RGS2/SLC2A1/SLC19A2/ABCD3/ABCG2/SLC46A2/ABCD4/SLC35B1/SLC36A1/SLC35B3/ABCC4/SLC25A23/APOE/SLC35D2/PPARG/NMUR2/SPX/P2RX4/SLC2A8/SLCO2B1/SLC37A4/SLC3A1/PLA2G12B/MTTP/RBP5/SLC38A4/SLC39A5/SLC27A2/TTYH2/TNFRSF11A/SLC2A5/MPC2/ADCY10/CRABP2/SLC26A1/SLC22A3/SLC39A4/PLIN2/PTGES/SLC43A1/DRD2/SLC7A7/SLC26A2/ACE/SLC37A1/RBP7/ADORA1/SLC2A2/SLC6A20/SERINC5/CLDN2/CRABP1/SLC38A8/SLC43A2/SLC3A2/SLC22A11/SLC16A4/PLA2G4F/SLC25A6/SLC38A11/SLC16A5/SLC23A1/SLC2A14/SLC16A13/UCP2/SLC26A11/GLTPD2/ABAT/SLC51B/SLC38A3/NF1/SLC39A10/ACSL5/NMB/CES1/PLEKHA8P1/SLC22A20P";119
"BP";"GO:0044282";"small molecule catabolic process";"99/2713";"370/18496";7,59323279927423e-10;1,15531037040957e-06;"4843/1800/1591/5214/949/32/57103/9942/11332/51733/5625/2954/4923/23417/23475/27294/1891/2109/6822/587/5446/2584/2027/6783/1594/217/7915/1962/3081/5096/8942/2166/5825/8074/9615/5826/4329/6718/35/5208/4835/1892/4357/7263/348/55902/64087/10247/222/64900/27165/2752/5830/113675/11001/1543/283927/55811/130589/55258/2746/89944/26007/4143/55289/84532/8659/875/10841/80150/4041/4846/84706/197257/10449/254552/1632/132158/64080/5053/2523/5095/2524/6470/2731/18/8644/2526/6817/100/6799/9583/27233/26275/2592/60489/112817/26063/27350";"NOS2/DPEP1/CYP24A1/PFKP/SCARB1/ACACB/TIGAR/XYLB/ACOT7/UPB1/PRODH/GSTZ1/NTSR1/MLYCD/QPRT/DHDH/ECH1/ETFB/SULT2A1/BCAT2/PON3/GALK1/ENO3/SULT1E1/CYP27B1/ALDH2/ALDH5A1/EHHADH/HGD/PCCB/KYNU/FAAH/ABCD3/FGF23/GDA/ABCD4/ALDH6A1/AKR1D1/ACADS/PFKFB2/NQO2/ECHS1/MPST/TST/APOE/ACSS2/MCCC2/RIDA/ALDH3B2/LPIN3/GLS2/GLUL/PEX5/SDSL/SLC27A2/CYP1A1/NUDT7/ADCY10/GALM/THNSL2/GLUD1/GLB1L2/TKFC/MAT1A/ACOXL/ACSS1/ALDH4A1/CBS/FTCD/ASRGL1/LRP5/NOS3/GPT2/LDHD/ACAA2/NUDT8/ECI1/GLYCTK/RBKS/PAH/FUT1/PCCA/FUT2/SHMT1/GLDC/ABAT/AKR1C3/FUT4/SULT1A1/ADA/SULT1A2/ENTPD4/SULT1C4/HIBCH/GALT/APOBEC3G/HOGA1/DECR2/APOBEC3C";99
"BP";"GO:0008202";"steroid metabolic process";"91/2713";"335/18496";1,61168250933645e-09;1,96173995036432e-06;"1080/1595/114881/29881/1591/6307/3422/51083/6720/949/2222/174/4036/338/3294/51171/6820/5641/10202/412/6713/6822/8029/6783/6309/116519/337/4598/1594/10162/3157/3156/1181/2494/5825/335/8074/2053/6718/84650/6615/650/348/341/9885/51478/11161/3158/5156/1910/570/2230/1588/11001/1543/10682/133/7108/1601/336/4047/2264/2232/4041/2672/134429/6469/3990/10449/4597/8435/255738/10826/7364/1717/3291/93517/120227/8644/442038/6817/6799/1555/51170/1066/6721/3283/57540/340895/3931/1050";"CFTR/CYP51A1/OSBPL7/NPC1L1/CYP24A1/MSMO1/IDI1/GAL/SREBF1/SCARB1/FDFT1/AFP/LRP2/APOB/HSD17B2/HSD17B14/SULT2B1/LGMN/DHRS2/STS/SQLE/SULT2A1/CUBN/SULT1E1/SC5D/APOA5/APOA4/MVK/CYP27B1/LPCAT3/HMGCS1/HMGCR/CLCN2/NR5A2/ABCD3/APOA1/FGF23/EPHX2/AKR1D1/EBPL/SNAI1/BMP2/APOE/APOC1/OSBPL2/HSD17B7/ERG28/HMGCS2/PDGFRA/EDNRB/BAAT/FDX1/CYP19A1/SLC27A2/CYP1A1/EBP/ADM/TM7SF2/DAB2/APOA2/LSS/FGFR4/FDXR/LRP5/GFI1/STARD4/SHH/LIPC/ACAA2/MVD/SOAT2/PCSK9/FAXDC2/UGT2B7/DHCR7/HSD11B2/SDR42E1/CYP2R1/AKR1C3/SULT1C3/SULT1A1/SULT1A2/CYP2B6/HSD17B11/CES1/SREBF2/HSD3B1/DISP3/MALRD1/LCAT/CEBPA";91
"BP";"GO:0060562";"epithelial tube morphogenesis";"91/2713";"337/18496";2,23119556409231e-09;2,2631760338443e-06;"30812/2263/2736/9620/5076/1906/5663/4036/79977/7481/84678/51676/51098/6789/57167/655/1522/284217/65009/80004/1512/2138/54922/23242/9355/2625/374/2348/4192/64065/7475/2043/4488/157506/7852/6385/7471/652/650/58495/54567/3169/3911/3845/4613/183/10253/2626/8549/80000/151449/2719/133/6768/9653/123872/4838/388591/4041/57216/55083/3549/10370/57057/6469/6692/8642/388389/10653/255743/153572/10736/9788/5314/5499/5916/79812/4524/9500/56963/5613/9968/7490/5727/23654/6714/441478/6262/6046/131405/6928";"SOX8/FGFR2/GLI2/CELSR1/PAX2/EDN1/PSEN1/LRP2/GRHL2/WNT11/KDM2B/ASB2/IFT52/STK4/SALL4/BMP7/CTSZ/LAMA1/NDRG4/ESRP2/CTSH/EYA1/RASIP1/COBL/LHX2/GATA3/AREG/FOLR1/MDK/PERP/WNT6/EPHA4/MSX2/RDH10/CXCR4/SDC4/WNT1/BMP4/BMP2/OVOL2/DLL4/FOXA1/LAMA5/KRAS/MYCN/AGT/SPRY2/GATA4/LGR5/GREB1L/GDF7/GPC3/ADM/ST14/HS2ST1/DNAAF1/NODAL/RNF207/LRP5/VANGL2/KIF26B/IHH/CITED2/TBX20/SHH/SPINT1/DCHS1/CCDC103/SPINT2/NPNT/IRX2/SIX2/MTSS1/PKHD1/PPP1CA/RARG/MMRN2/MTHFR/MAGED1/RGMA/PRKX/MED12/WT1/PTCH1/PLXNB2/SRC/NRARP/RYR2/BRD2/TRIM71/HNF1B";91
"BP";"GO:0051180";"vitamin transport";"26/2713";"56/18496";1,39109870823065e-08;1,20946096261311e-05;"29881/6515/949/113235/173/4036/113278/8029/56606/2348/6513/10560/335/9429/5826/80704/29988/64220/84925/6518/6514/81693/9963/144195/6948/56918";"NPC1L1/SLC2A3/SCARB1/SLC46A1/AFM/LRP2/SLC52A3/CUBN/SLC2A9/FOLR1/SLC2A1/SLC19A2/APOA1/ABCG2/ABCD4/SLC19A3/SLC2A8/STRA6/DIRC2/SLC2A5/SLC2A2/AMN/SLC23A1/SLC2A14/TCN2/C2orf83";26
"BP";"GO:0061138";"morphogenesis of a branching epithelium";"58/2713";"191/18496";2,16314335224261e-08;1,64561130521856e-05;"30812/2263/2736/59277/9620/5076/1906/79977/6789/655/1522/284217/80004/1512/2138/54922/3209/374/4192/5361/7475/4488/157506/7471/652/650/54567/3169/3911/3845/4613/183/10253/8521/80000/151449/2719/133/6768/4041/7855/3549/57057/6469/6692/8642/10653/255743/10736/5314/5499/9500/7490/5727/6714/441478/7052/6928";"SOX8/FGFR2/GLI2/NTN4/CELSR1/PAX2/EDN1/GRHL2/STK4/BMP7/CTSZ/LAMA1/ESRP2/CTSH/EYA1/RASIP1/HOXA13/AREG/MDK/PLXNA1/WNT6/MSX2/RDH10/WNT1/BMP4/BMP2/DLL4/FOXA1/LAMA5/KRAS/MYCN/AGT/SPRY2/GCM1/GREB1L/GDF7/GPC3/ADM/ST14/LRP5/FZD5/IHH/TBX20/SHH/SPINT1/DCHS1/SPINT2/NPNT/SIX2/PKHD1/PPP1CA/MAGED1/WT1/PTCH1/SRC/NRARP/TGM2/HNF1B";58
"BP";"GO:0015849";"organic acid transport";"92/2713";"358/18496";2,55093666531551e-08;1,7250000605678e-05;"6542/4843/9058/6556/11136/1244/6558/3993/5743/113235/32/1906/6507/5663/4036/5243/368/23428/6576/23539/4923/9057/8140/6505/81855/5608/9368/2348/6506/6539/116369/222642/117247/5997/6513/10560/5825/9429/5826/206358/10257/348/11046/5468/56923/80763/5025/11309/6519/84647/83758/55089/11001/94015/8792/25874/1382/10861/6581/123/9536/8501/1813/9056/1836/1636/116362/134/54716/256987/222962/9075/1381/146167/124935/6520/55867/9122/255189/151258/9121/9963/201232/7351/284129/18/123264/10991/4763/51703/4828/1066";"SLC7A2/NOS2/SLC13A2/SLC11A1/SLC7A9/ABCC2/SLC12A2/LLGL2/PTGS2/SLC46A1/ACACB/EDN1/SLC1A3/PSEN1/LRP2/ABCB1/ABCC6/SLC7A8/SLC25A1/SLC16A8/NTSR1/SLC7A6/SLC7A5/SLC1A1/SFXN3/MAP2K6/SLC9A3R1/FOLR1/SLC1A2/SLC6A12/SLC26A8/TSPO2/SLC16A10/RGS2/SLC2A1/SLC19A2/ABCD3/ABCG2/ABCD4/SLC36A1/ABCC4/APOE/SLC35D2/PPARG/NMUR2/SPX/P2RX4/SLCO2B1/SLC3A1/PLA2G12B/RBP5/SLC38A4/SLC27A2/TTYH2/TNFRSF11A/MPC2/CRABP2/SLC26A1/SLC22A3/PLIN2/PTGES/SLC43A1/DRD2/SLC7A7/SLC26A2/ACE/RBP7/ADORA1/SLC6A20/SERINC5/SLC29A4/CLDN2/CRABP1/SLC38A8/SLC43A2/SLC3A2/SLC22A11/SLC16A4/PLA2G4F/SLC38A11/SLC16A5/SLC23A1/SLC16A13/UCP2/SLC26A11/ABAT/SLC51B/SLC38A3/NF1/ACSL5/NMB/CES1";92
"BP";"GO:0016125";"sterol metabolic process";"51/2713";"161/18496";3,29828439510253e-08;2,0073358828594e-05;"1080/1595/29881/6307/3422/6720/949/2222/338/6820/6713/6822/8029/6309/116519/337/4598/10162/3157/3156/335/2053/6718/84650/348/341/51478/11161/3158/2230/1588/10682/7108/336/4047/2232/4041/134429/3990/10449/4597/8435/255738/10826/1717/442038/1066/6721/57540/3931/1050";"CFTR/CYP51A1/NPC1L1/MSMO1/IDI1/SREBF1/SCARB1/FDFT1/APOB/SULT2B1/SQLE/SULT2A1/CUBN/SC5D/APOA5/APOA4/MVK/LPCAT3/HMGCS1/HMGCR/APOA1/EPHX2/AKR1D1/EBPL/APOE/APOC1/HSD17B7/ERG28/HMGCS2/FDX1/CYP19A1/EBP/TM7SF2/APOA2/LSS/FDXR/LRP5/STARD4/LIPC/ACAA2/MVD/SOAT2/PCSK9/FAXDC2/DHCR7/SULT1C3/CES1/SREBF2/DISP3/LCAT/CEBPA";51
