"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000142156";"COL6A1";"collagen type VI alpha 1 chain";4;2342,35571289062;"Yes"
"row_1";"ENSG00000137801";"THBS1";"thrombospondin 1";9;1954,79736328125;"Yes"
"row_2";"ENSG00000142173";"COL6A2";"collagen type VI alpha 2 chain";12;1766,33837890625;"Yes"
"row_3";"ENSG00000120708";"TGFBI";"transforming growth factor beta induced";31;1231,76586914062;"Yes"
"row_4";"ENSG00000115414";"FN1";"fibronectin 1";46;976,906005859375;"Yes"
"row_5";"ENSG00000152377";"SPOCK1";"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1";153;452,867523193359;"Yes"
"row_6";"ENSG00000113140";"SPARC";"secreted protein acidic and cysteine rich";154;442,223785400391;"Yes"
"row_7";"ENSG00000162733";"DDR2";"discoidin domain receptor tyrosine kinase 2";155;436,722595214844;"Yes"
"row_8";"ENSG00000005884";"ITGA3";"integrin subunit alpha 3";191;368,107818603516;"Yes"
"row_9";"ENSG00000116962";"NID1";"nidogen 1";210;346,370941162109;"Yes"
"row_10";"ENSG00000150093";"ITGB1";"integrin subunit beta 1";249;303,041351318359;"Yes"
"row_11";"ENSG00000026508";"CD44";"CD44 molecule (IN blood group)";283;277,276824951172;"Yes"
"row_12";"ENSG00000149269";"PAK1";"p21 (RAC1) activated kinase 1";337;234,610366821289;"Yes"
"row_13";"ENSG00000149084";"HSD17B12";"hydroxysteroid 17-beta dehydrogenase 12";529;150,765914916992;"Yes"
"row_14";"ENSG00000011028";"MRC2";"mannose receptor C-type 2";548;141,993148803711;"Yes"
"row_15";"ENSG00000117385";"P3H1";"prolyl 3-hydroxylase 1";610;125,692344665527;"Yes"
"row_16";"ENSG00000169604";"ANTXR1";"ANTXR cell adhesion molecule 1";661;115,677421569824;"Yes"
"row_17";"ENSG00000168615";"ADAM9";"ADAM metallopeptidase domain 9";698;109,075080871582;"Yes"
"row_18";"ENSG00000187955";"COL14A1";"collagen type XIV alpha 1 chain";824;88,4757766723633;"Yes"
"row_19";"ENSG00000113083";"LOX";"lysyl oxidase";860;83,0622100830078;"Yes"
"row_20";"ENSG00000101665";"SMAD7";"SMAD family member 7";963;72,6773529052734;"Yes"
"row_21";"ENSG00000173918";"C1QTNF1";"C1q and TNF related 1";1162;56,8141136169434;"No"
"row_22";"ENSG00000170275";"CRTAP";"cartilage associated protein";1214;53,1838417053223;"No"
"row_23";"ENSG00000164733";"CTSB";"cathepsin B";1252;51,1981620788574;"No"
"row_24";"ENSG00000213949";"ITGA1";"integrin subunit alpha 1";1346;45,0509300231934;"No"
"row_25";"ENSG00000163131";"CTSS";"cathepsin S";1644;32,0529518127441;"No"
"row_26";"ENSG00000141646";"SMAD4";"SMAD family member 4";2493;14,1150903701782;"No"
"row_27";"ENSG00000139329";"LUM";"lumican";2816;10,8081150054932;"No"
"row_28";"ENSG00000166794";"PPIB";"peptidylprolyl isomerase B";3939;4,61756324768066;"No"
"row_29";"ENSG00000163710";"PCOLCE2";"procollagen C-endopeptidase enhancer 2";4558;2,86177968978882;"No"
"row_30";"ENSG00000164620";"RELL2";"RELT like 2";4666;2,68061757087708;"No"
"row_31";"ENSG00000087303";"NID2";"nidogen 2";5354;1,53859567642212;"No"
"row_32";"ENSG00000042781";"USH2A";"usherin";5397;1,43138241767883;"No"
"row_33";"ENSG00000262406";"MMP12";"matrix metallopeptidase 12";5510;1,34923589229584;"No"
"row_34";"ENSG00000205336";"ADGRG1";"adhesion G protein-coupled receptor G1";5579;1,27898395061493;"No"
"row_35";"ENSG00000166949";"SMAD3";"SMAD family member 3";5861;1,0424553155899;"No"
