"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000163359";"COL6A3";"collagen type VI alpha 3 chain";1;2617,30249023438;"Yes"
"row_1";"ENSG00000142156";"COL6A1";"collagen type VI alpha 1 chain";4;2342,35571289062;"Yes"
"row_2";"ENSG00000134871";"COL4A2";"collagen type IV alpha 2 chain";5;2252,70043945312;"Yes"
"row_3";"ENSG00000111799";"COL12A1";"collagen type XII alpha 1 chain";7;2071,9814453125;"Yes"
"row_4";"ENSG00000137801";"THBS1";"thrombospondin 1";9;1954,79736328125;"Yes"
"row_5";"ENSG00000142173";"COL6A2";"collagen type VI alpha 2 chain";12;1766,33837890625;"Yes"
"row_6";"ENSG00000166147";"FBN1";"fibrillin 1";16;1568,57690429688;"Yes"
"row_7";"ENSG00000011422";"PLAUR";"plasminogen activator, urokinase receptor";20;1472,3251953125;"Yes"
"row_8";"ENSG00000187498";"COL4A1";"collagen type IV alpha 1 chain";24;1443,0234375;"Yes"
"row_9";"ENSG00000170558";"CDH2";"cadherin 2";30;1277,04663085938;"Yes"
"row_10";"ENSG00000115414";"FN1";"fibronectin 1";46;976,906005859375;"Yes"
"row_11";"ENSG00000145431";"PDGFC";"platelet derived growth factor C";52;925,315795898438;"Yes"
"row_12";"ENSG00000111186";"WNT5B";"Wnt family member 5B";56;879,875427246094;"Yes"
"row_13";"ENSG00000130635";"COL5A1";"collagen type V alpha 1 chain";62;815,938171386719;"Yes"
"row_14";"ENSG00000109861";"CTSC";"cathepsin C";78;713,003845214844;"Yes"
"row_15";"ENSG00000204262";"COL5A2";"collagen type V alpha 2 chain";79;709,15771484375;"Yes"
"row_16";"ENSG00000197467";"COL13A1";"collagen type XIII alpha 1 chain";118;538,351989746094;"Yes"
"row_17";"ENSG00000180801";"ARSJ";"arylsulfatase family member J";129;500,117401123047;"Yes"
"row_18";"ENSG00000178031";"ADAMTSL1";"ADAMTS like 1";148;457,707916259766;"Yes"
"row_19";"ENSG00000168785";"TSPAN5";"tetraspanin 5";152;454,207275390625;"Yes"
"row_20";"ENSG00000146674";"IGFBP3";"insulin like growth factor binding protein 3";159;426,454711914062;"Yes"
"row_21";"ENSG00000038427";"VCAN";"versican";174;400,714813232422;"Yes"
"row_22";"ENSG00000198756";"COLGALT2";"collagen beta(1-O)galactosyltransferase 2";175;396,893585205078;"Yes"
"row_23";"ENSG00000144810";"COL8A1";"collagen type VIII alpha 1 chain";183;375,642333984375;"Yes"
"row_24";"ENSG00000164692";"COL1A2";"collagen type I alpha 2 chain";204;355,654113769531;"Yes"
"row_25";"ENSG00000183087";"GAS6";"growth arrest specific 6";216;336,421661376953;"Yes"
"row_26";"ENSG00000114251";"WNT5A";"Wnt family member 5A";221;334,549682617188;"Yes"
"row_27";"ENSG00000142871";"CCN1";"cellular communication network factor 1";232;322,731842041016;"Yes"
"row_28";"ENSG00000128595";"CALU";"calumenin";240;316,819732666016;"Yes"
"row_29";"ENSG00000184371";"CSF1";"colony stimulating factor 1";255;296,720458984375;"Yes"
"row_30";"ENSG00000114270";"COL7A1";"collagen type VII alpha 1 chain";352;223,327117919922;"Yes"
"row_31";"ENSG00000136026";"CKAP4";"cytoskeleton associated protein 4";384;206,15592956543;"Yes"
"row_32";"ENSG00000163453";"IGFBP7";"insulin like growth factor binding protein 7";390;203,031173706055;"Yes"
"row_33";"ENSG00000169439";"SDC2";"syndecan 2";426;187,61555480957;"Yes"
"row_34";"ENSG00000196739";"COL27A1";"collagen type XXVII alpha 1 chain";441;181,994018554688;"Yes"
"row_35";"ENSG00000178202";"POGLUT3";"protein O-glucosyltransferase 3";452;175,974548339844;"Yes"
"row_36";"ENSG00000060718";"COL11A1";"collagen type XI alpha 1 chain";469;168,610366821289;"Yes"
"row_37";"ENSG00000115363";"EVA1A";"eva-1 homolog A, regulator of programmed cell death";489;163,809814453125;"Yes"
"row_38";"ENSG00000091136";"LAMB1";"laminin subunit beta 1";564;137,821441650391;"Yes"
"row_39";"ENSG00000041982";"TNC";"tenascin C";605;127,128158569336;"Yes"
"row_40";"ENSG00000117385";"P3H1";"prolyl 3-hydroxylase 1";610;125,692344665527;"Yes"
"row_41";"ENSG00000101938";"CHRDL1";"chordin like 1";636;120,296020507812;"Yes"
"row_42";"ENSG00000116260";"QSOX1";"quiescin sulfhydryl oxidase 1";673;113,646957397461;"Yes"
"row_43";"ENSG00000163430";"FSTL1";"follistatin like 1";680;111,836158752441;"Yes"
"row_44";"ENSG00000065618";"COL17A1";"collagen type XVII alpha 1 chain";722;105,465690612793;"Yes"
"row_45";"ENSG00000078401";"EDN1";"endothelin 1";747;100,404983520508;"Yes"
"row_46";"ENSG00000154305";"MIA3";"MIA SH3 domain ER export factor 3";805;90,7740325927734;"Yes"
"row_47";"ENSG00000187955";"COL14A1";"collagen type XIV alpha 1 chain";824;88,4757766723633;"Yes"
"row_48";"ENSG00000090530";"P3H2";"prolyl 3-hydroxylase 2";844;85,0577163696289;"Yes"
"row_49";"ENSG00000152291";"TGOLN2";"trans-golgi network protein 2";882;80,5996932983398;"Yes"
"row_50";"ENSG00000089199";"CHGB";"chromogranin B";891;79,9925842285156;"Yes"
"row_51";"ENSG00000114200";"BCHE";"butyrylcholinesterase";901;78,9547729492188;"Yes"
"row_52";"ENSG00000154736";"ADAMTS5";"ADAM metallopeptidase with thrombospondin type 1 motif 5";903;78,9333877563477;"Yes"
"row_53";"ENSG00000135862";"LAMC1";"laminin subunit gamma 1";919;76,9064407348633;"Yes"
"row_54";"ENSG00000049449";"RCN1";"reticulocalbin 1";1026;66,74609375;"Yes"
"row_55";"ENSG00000117906";"RCN2";"reticulocalbin 2";1027;66,7377395629883;"Yes"
"row_56";"ENSG00000183291";"SELENOF";"selenoprotein F";1055;64,4174575805664;"Yes"
"row_57";"ENSG00000130309";"COLGALT1";"collagen beta(1-O)galactosyltransferase 1";1060;64,2737045288086;"Yes"
"row_58";"ENSG00000157399";"ARSL";"arylsulfatase L";1141;58,7458457946777;"No"
"row_59";"ENSG00000198363";"ASPH";"aspartate beta-hydroxylase";1182;55,537670135498;"No"
"row_60";"ENSG00000170275";"CRTAP";"cartilage associated protein";1214;53,1838417053223;"No"
"row_61";"ENSG00000171951";"SCG2";"secretogranin II";1219;52,8825492858887;"No"
"row_62";"ENSG00000137845";"ADAM10";"ADAM metallopeptidase domain 10";1367;43,7553672790527;"No"
"row_63";"ENSG00000081051";"AFP";"alpha fetoprotein";1449;40,0231781005859;"No"
