"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000163359";"COL6A3";"collagen type VI alpha 3 chain";1;2617,30249023438;"Yes"
"row_1";"ENSG00000142156";"COL6A1";"collagen type VI alpha 1 chain";4;2342,35571289062;"Yes"
"row_2";"ENSG00000134871";"COL4A2";"collagen type IV alpha 2 chain";5;2252,70043945312;"Yes"
"row_3";"ENSG00000111799";"COL12A1";"collagen type XII alpha 1 chain";7;2071,9814453125;"Yes"
"row_4";"ENSG00000142173";"COL6A2";"collagen type VI alpha 2 chain";12;1766,33837890625;"Yes"
"row_5";"ENSG00000187498";"COL4A1";"collagen type IV alpha 1 chain";24;1443,0234375;"Yes"
"row_6";"ENSG00000130635";"COL5A1";"collagen type V alpha 1 chain";62;815,938171386719;"Yes"
"row_7";"ENSG00000204262";"COL5A2";"collagen type V alpha 2 chain";79;709,15771484375;"Yes"
"row_8";"ENSG00000197467";"COL13A1";"collagen type XIII alpha 1 chain";118;538,351989746094;"Yes"
"row_9";"ENSG00000144810";"COL8A1";"collagen type VIII alpha 1 chain";183;375,642333984375;"Yes"
"row_10";"ENSG00000164692";"COL1A2";"collagen type I alpha 2 chain";204;355,654113769531;"Yes"
"row_11";"ENSG00000114270";"COL7A1";"collagen type VII alpha 1 chain";352;223,327117919922;"Yes"
"row_12";"ENSG00000196739";"COL27A1";"collagen type XXVII alpha 1 chain";441;181,994018554688;"Yes"
"row_13";"ENSG00000060718";"COL11A1";"collagen type XI alpha 1 chain";469;168,610366821289;"Yes"
"row_14";"ENSG00000065618";"COL17A1";"collagen type XVII alpha 1 chain";722;105,465690612793;"No"
"row_15";"ENSG00000187955";"COL14A1";"collagen type XIV alpha 1 chain";824;88,4757766723633;"No"
"row_16";"ENSG00000204291";"COL15A1";"collagen type XV alpha 1 chain";1964;22,9375400543213;"No"
"row_17";"ENSG00000084636";"COL16A1";"collagen type XVI alpha 1 chain";2114;19,8064308166504;"No"
"row_18";"ENSG00000168542";"COL3A1";"collagen type III alpha 1 chain";2541;13,5657796859741;"No"
"row_19";"ENSG00000206561";"COLQ";"collagen like tail subunit of asymmetric acetylcholinesterase";3002;9,37136936187744;"No"
"row_20";"ENSG00000188517";"COL25A1";"collagen type XXV alpha 1 chain";3469;6,4203200340271;"No"
"row_21";"ENSG00000172752";"COL6A5";"collagen type VI alpha 5 chain";3724;5,36460018157959;"No"
"row_22";"ENSG00000171812";"COL8A2";"collagen type VIII alpha 2 chain";3941;4,61384677886963;"No"
"row_23";"ENSG00000188153";"COL4A5";"collagen type IV alpha 5 chain";4388;3,29435873031616;"No"
"row_24";"ENSG00000169436";"COL22A1";"collagen type XXII alpha 1 chain";5167;1,82392549514771;"No"
"row_25";"ENSG00000108821";"COL1A1";"collagen type I alpha 1 chain";5964;0,944815695285797;"No"
"row_26";"ENSG00000092758";"COL9A3";"collagen type IX alpha 3 chain";6625;0,566532909870148;"No"
"row_27";"ENSG00000081052";"COL4A4";"collagen type IV alpha 4 chain";7826;0,209318235516548;"No"
"row_28";"ENSG00000124749";"COL21A1";"collagen type XXI alpha 1 chain";9106;0,0512667149305344;"No"
"row_29";"ENSG00000182871";"COL18A1";"collagen type XVIII alpha 1 chain";9120;0,050809383392334;"No"
"row_30";"ENSG00000197565";"COL4A6";"collagen type IV alpha 6 chain";9888;0,00247893761843443;"No"
"row_31";"ENSG00000206384";"COL6A6";"collagen type VI alpha 6 chain";11596;-0,158782452344894;"No"
"row_32";"ENSG00000169031";"COL4A3";"collagen type IV alpha 3 chain";12500;-0,412495940923691;"No"
"row_33";"ENSG00000171502";"COL24A1";"collagen type XXIV alpha 1 chain";13382;-0,748942732810974;"No"
"row_34";"ENSG00000139219";"COL2A1";"collagen type II alpha 1 chain";13433;-0,786044597625732;"No"
"row_35";"ENSG00000082293";"COL19A1";"collagen type XIX alpha 1 chain";13487;-0,824995160102844;"No"
"row_36";"ENSG00000080573";"COL5A3";"collagen type V alpha 3 chain";16800;-8,82300758361816;"No"
"row_37";"ENSG00000204248";"COL11A2";"collagen type XI alpha 2 chain";17425;-14,255108833313;"No"
"row_38";"ENSG00000049089";"COL9A2";"collagen type IX alpha 2 chain";17477;-14,9748344421387;"No"
"row_39";"ENSG00000215018";"COL28A1";"collagen type XXVIII alpha 1 chain";17491;-15,0904741287231;"No"
"row_40";"ENSG00000050767";"COL23A1";"collagen type XXIII alpha 1 chain";18021;-24,1553726196289;"No"
