"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000157227";"MMP14";"matrix metallopeptidase 14";2;2617,0888671875;"Yes"
"row_1";"ENSG00000137801";"THBS1";"thrombospondin 1";9;1954,79736328125;"Yes"
"row_2";"ENSG00000011422";"PLAUR";"plasminogen activator, urokinase receptor";20;1472,3251953125;"Yes"
"row_3";"ENSG00000106366";"SERPINE1";"serpin family E member 1";27;1377,18762207031;"Yes"
"row_4";"ENSG00000182718";"ANXA2";"annexin A2";109;553,283569335938;"Yes"
"row_5";"ENSG00000135919";"SERPINE2";"serpin family E member 2";164;415,638214111328;"Yes"
"row_6";"ENSG00000164099";"PRSS12";"serine protease 12";380;207,919189453125;"Yes"
"row_7";"ENSG00000104368";"PLAT";"plasminogen activator, tissue type";590;130,857498168945;"Yes"
"row_8";"ENSG00000159216";"RUNX1";"RUNX family transcription factor 1";638;120,105613708496;"Yes"
"row_9";"ENSG00000139178";"C1RL";"complement C1r subcomponent like";1529;36,5535850524902;"No"
"row_10";"ENSG00000140564";"FURIN";"furin, paired basic amino acid cleaving enzyme";1573;35,0428047180176;"No"
"row_11";"ENSG00000107020";"PLGRKT";"plasminogen receptor with a C-terminal lysine";1591;34,1524276733398;"No"
"row_12";"ENSG00000074800";"ENO1";"enolase 1";2414;15,1558609008789;"No"
"row_13";"ENSG00000159403";"C1R";"complement C1r";3991;4,47358322143555;"No"
"row_14";"ENSG00000163975";"MELTF";"melanotransferrin";4807;2,36690998077393;"No"
"row_15";"ENSG00000122861";"PLAU";"plasminogen activator, urokinase";5478;1,34923589229584;"No"
"row_16";"ENSG00000171557";"FGG";"fibrinogen gamma chain";5860;1,04248106479645;"No"
"row_17";"ENSG00000088926";"F11";"coagulation factor XI";6191;0,820558309555054;"No"
"row_18";"ENSG00000116133";"DHCR24";"24-dehydrocholesterol reductase";6542;0,607026875019073;"No"
"row_19";"ENSG00000164344";"KLKB1";"kallikrein B1";8018;0,160681918263435;"No"
"row_20";"ENSG00000171560";"FGA";"fibrinogen alpha chain";8810;0,0937706381082535;"No"
"row_21";"ENSG00000101160";"CTSZ";"cathepsin Z";9458;0,0239699054509401;"No"
"row_22";"ENSG00000100031";"GGT1";"gamma-glutamyltransferase 1";9708;0,00824480038136244;"No"
"row_23";"ENSG00000163815";"CLEC3B";"C-type lectin domain family 3 member B";9911;0,00179676420520991;"No"
"row_24";"ENSG00000135047";"CTSL";"cathepsin L";10371;-0,00351247470825911;"No"
"row_25";"ENSG00000167748";"KLK1";"kallikrein 1";10666;-0,015631303191185;"No"
"row_26";"ENSG00000162600";"OMA1";"OMA1 zinc metallopeptidase";11518;-0,136848717927933;"No"
"row_27";"ENSG00000167711";"SERPINF2";"serpin family F member 2";11743;-0,187502607703209;"No"
"row_28";"ENSG00000102144";"PGK1";"phosphoglycerate kinase 1";11875;-0,222163483500481;"No"
"row_29";"ENSG00000091583";"APOH";"apolipoprotein H";13099;-0,697506606578827;"No"
"row_30";"ENSG00000105707";"HPN";"hepsin";13107;-0,697506606578827;"No"
"row_31";"ENSG00000109758";"HGFAC";"HGF activator";14493;-1,60959446430206;"No"
"row_32";"ENSG00000010438";"PRSS3";"serine protease 3";15466;-3,29449319839478;"No"
"row_33";"ENSG00000171564";"FGB";"fibrinogen beta chain";16428;-6,72432231903076;"No"
"row_34";"ENSG00000197747";"S100A10";"S100 calcium binding protein A10";16783;-8,74022197723389;"No"
"row_35";"ENSG00000103811";"CTSH";"cathepsin H";17508;-15,3219184875488;"No"
"row_36";"ENSG00000178726";"THBD";"thrombomodulin";17955;-22,6497268676758;"No"
