"NAME";"GS br  follow link to MSigDB";"GS DETAILS";"SIZE";"ES";"NES";"NOM p val";"FDR q val";"FWER p val";"RANK AT MAX";"LEADING EDGE"
"NUCLEAR_RECEPTOR_BINDING (GO:0016922)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOMF_NUCLEAR_RECEPTOR_BINDING.html";"Binding to a nuclear receptor protein. Nuclear receptor proteins are DNA-binding transcription factors which are regulated by binding to a ligand. [PMID:7776974]";131;-0,8509429;-1,6529325;0;0,034210753;0,036;333;"tags=7%, list=2%, signal=7%"
"KERATINIZATION (GO:0031424)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_KERATINIZATION.html";"The process in which the cytoplasm of the outermost cells of the vertebrate epidermis is replaced by keratin. Keratinization occurs in the stratum corneum, feathers, hair, claws, nails, hooves, and horns. [GOC:dph, GOC:ebc, GOC:sdb_2009, GOC:tb]";38;-0,9250612;-1,5680945;0;0,5552881;0,705;1131;"tags=21%, list=6%, signal=22%"
"POSITIVE_REGULATION_OF_REGULATED_SECRETORY_PATHWAY (GO:1903307)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_POSITIVE_REGULATION_OF_REGULATED_SECRETORY_PATHWAY.html";"Any process that activates or increases the frequency, rate or extent of regulated secretory pathway. [GO_REF:0000058, GOC:pad, GOC:PARL, GOC:TermGenie, PMID:12526776]";45;-0,9301564;-1,5628256;0;0,4518606;0,775;456;"tags=20%, list=2%, signal=20%"
"POLYOL_METABOLIC_PROCESS (GO:0019751)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_POLYOL_METABOLIC_PROCESS.html";"The chemical reactions and pathways involving a polyol, any alcohol containing three or more hydroxyl groups attached to saturated carbon atoms. [PMID:30240188]";97;-0,8189758;-1,5452406;0,003787879;0,6485213;0,94;1240;"tags=15%, list=6%, signal=16%"
"INTERMEDIATE_FILAMENT_BASED_PROCESS (GO:0045103)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_INTERMEDIATE_FILAMENT_BASED_PROCESS.html";"Any cellular process that depends upon or alters the intermediate filament cytoskeleton, that part of the cytoskeleton comprising intermediate filaments and their associated proteins. [GOC:ai]";66;-0,85642284;-1,540612;0,0018416207;0,6071644;0,962;901;"tags=15%, list=5%, signal=16%"
"KERATIN_FILAMENT (GO:0045095)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOCC_KERATIN_FILAMENT.html";"A filament composed of acidic and basic keratins (types I and II), typically expressed in epithelial cells. The keratins are the most diverse classes of IF proteins, with a large number of keratin isoforms being expressed. Each type of epithelium always expresses a characteristic combination of type I and type II keratins. [ISBN:0716731363]";27;-0,94085443;-1,5185518;0;1;0,999;184;"tags=15%, list=1%, signal=15%"
"APICAL_JUNCTION_COMPLEX (GO:0043296)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOCC_APICAL_JUNCTION_COMPLEX.html";"A functional unit located near the cell apex at the points of contact between epithelial cells, which in vertebrates is composed of the tight junction, the zonula adherens, and desmosomes and in some invertebrates, such as Drosophila, is composed of the subapical complex (SAC), the zonula adherens and the septate junction. Functions in the regulation of cell polarity, tissue integrity and intercellular adhesion and permeability. [GOC:go_curators, GOC:kmv, PMID:12525486, PMID:15196556]";142;-0,7728361;-1,5091733;0,0037105752;1;1;857;"tags=18%, list=4%, signal=18%"
"EMBRYONIC_PLACENTA_DEVELOPMENT (GO:0001892)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_EMBRYONIC_PLACENTA_DEVELOPMENT.html";"The embryonically driven process whose specific outcome is the progression of the placenta over time, from its formation to the mature structure. The placenta is an organ of metabolic interchange between fetus and mother, partly of embryonic origin and partly of maternal origin. [GOC:add, ISBN:068340007X]";86;-0,8065121;-1,5082293;0,013011153;1;1;1289;"tags=21%, list=6%, signal=22%"
"RESPONSE_TO_INTERLEUKIN_4 (GO:0070670)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_RESPONSE_TO_INTERLEUKIN_4.html";"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interleukin-4 stimulus. [GOC:mah]";35;-0,89302814;-1,4985;0,005964215;1;1;1172;"tags=20%, list=6%, signal=21%"
"VESICLE_TARGETING (GO:0006903)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_VESICLE_TARGETING.html";"The process in which vesicles are directed to specific destination membranes. Targeting involves coordinated interactions among cytoskeletal elements (microtubules or actin filaments), motor proteins, molecules at the vesicle membrane and target membrane surfaces, and vesicle cargo. [GOC:mah, PMID:17335816]";63;-0,82611716;-1,4951394;0,01814516;1;1;857;"tags=11%, list=4%, signal=12%"
