"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000140682";"TGFB1I1";"transforming growth factor beta 1 induced transcript 1";269;287,645446777344;"No"
"row_1";"ENSG00000012817";"KDM5D";"lysine demethylase 5D";539;145,621200561523;"No"
"row_2";"ENSG00000138795";"LEF1";"lymphoid enhancer binding factor 1";802;91,5481491088867;"No"
"row_3";"ENSG00000125686";"MED1";"mediator complex subunit 1";807;90,6939697265625;"No"
"row_4";"ENSG00000117707";"PROX1";"prospero homeobox 1";983;70,7829742431641;"No"
"row_5";"ENSG00000109819";"PPARGC1A";"PPARG coactivator 1 alpha";1036;65,8603897094727;"No"
"row_6";"ENSG00000137309";"HMGA1";"high mobility group AT-hook 1";1235;52,0616493225098;"No"
"row_7";"ENSG00000143799";"PARP1";"poly(ADP-ribose) polymerase 1";1279;49,4923095703125;"No"
"row_8";"ENSG00000014824";"SLC30A9";"solute carrier family 30 member 9";1389;42,8982543945312;"No"
"row_9";"ENSG00000157557";"ETS2";"ETS proto-oncogene 2, transcription factor";1589;34,2772560119629;"No"
"row_10";"ENSG00000171456";"ASXL1";"ASXL transcriptional regulator 1";1635;32,473560333252;"No"
"row_11";"ENSG00000196498";"NCOR2";"nuclear receptor corepressor 2";1821;26,4538383483887;"No"
"row_12";"ENSG00000171988";"JMJD1C";"jumonji domain containing 1C";1922;23,9817409515381;"No"
"row_13";"ENSG00000132646";"PCNA";"proliferating cell nuclear antigen";1995;22,2874603271484;"No"
"row_14";"ENSG00000077092";"RARB";"retinoic acid receptor beta";2002;22,0975704193115;"No"
"row_15";"ENSG00000073584";"SMARCE1";"SWI/SNF related BAF chromatin remodeling complex subunit E1";2262;17,5032444000244;"No"
"row_16";"ENSG00000137947";"GTF2B";"general transcription factor IIB";2269;17,3904438018799;"No"
"row_17";"ENSG00000054118";"THRAP3";"thyroid hormone receptor associated protein 3";2628;12,5367736816406;"No"
"row_18";"ENSG00000168036";"CTNNB1";"catenin beta 1";2690;11,9133052825928;"No"
"row_19";"ENSG00000115808";"STRN";"striatin";2875;10,3182229995728;"No"
"row_20";"ENSG00000115548";"KDM3A";"lysine demethylase 3A";3314;7,28175783157349;"No"
"row_21";"ENSG00000145041";"DCAF1";"DDB1 and CUL4 associated factor 1";3447;6,55650043487549;"No"
"row_22";"ENSG00000042429";"MED17";"mediator complex subunit 17";3643;5,65235567092896;"No"
"row_23";"ENSG00000196233";"LCOR";"ligand dependent nuclear receptor corepressor";3783;5,12636661529541;"No"
"row_24";"ENSG00000100393";"EP300";"E1A binding protein p300";3885;4,75767469406128;"No"
"row_25";"ENSG00000172216";"CEBPB";"CCAAT enhancer binding protein beta";3936;4,62370014190674;"No"
"row_26";"ENSG00000164758";"MED30";"mediator complex subunit 30";3967;4,537024974823;"No"
"row_27";"ENSG00000131023";"LATS1";"large tumor suppressor kinase 1";4175;3,93747639656067;"No"
"row_28";"ENSG00000196843";"ARID5A";"AT-rich interaction domain 5A";4265;3,66970825195312;"No"
"row_29";"ENSG00000123143";"PKN1";"protein kinase N1";4394;3,26246809959412;"No"
"row_30";"ENSG00000141027";"NCOR1";"nuclear receptor corepressor 1";4396;3,25858116149902;"No"
"row_31";"ENSG00000197223";"C1D";"C1D nuclear receptor corepressor";4550;2,87797617912292;"No"
"row_32";"ENSG00000013561";"RNF14";"ring finger protein 14";4623;2,7596263885498;"No"
"row_33";"ENSG00000178951";"ZBTB7A";"zinc finger and BTB domain containing 7A";4677;2,6491219997406;"No"
"row_34";"ENSG00000118418";"HMGN3";"high mobility group nucleosomal binding domain 3";4737;2,49925923347473;"No"
"row_35";"ENSG00000256061";"DNAAF4";"dynein axonemal assembly factor 4";4814;2,35803079605103;"No"
"row_36";"ENSG00000096717";"SIRT1";"sirtuin 1";5083;1,9232372045517;"No"
"row_37";"ENSG00000130402";"ACTN4";"actinin alpha 4";5160;1,83224213123322;"No"
"row_38";"ENSG00000012504";"NR1H4";"nuclear receptor subfamily 1 group H member 4";5169;1,8189080953598;"No"
"row_39";"ENSG00000112983";"BRD8";"bromodomain containing 8";5208;1,74607765674591;"No"
"row_40";"ENSG00000100644";"HIF1A";"hypoxia inducible factor 1 subunit alpha";5223;1,73149967193604;"No"
"row_41";"ENSG00000125107";"CNOT1";"CCR4-NOT transcription complex subunit 1";5241;1,699986577034;"No"
"row_42";"ENSG00000136146";"MED4";"mediator complex subunit 4";5361;1,51770675182343;"No"
"row_43";"ENSG00000128245";"YWHAH";"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta";5393;1,44612014293671;"No"
"row_44";"ENSG00000110768";"GTF2H1";"general transcription factor IIH subunit 1";5437;1,39873516559601;"No"
"row_45";"ENSG00000215021";"PHB2";"prohibitin 2";5456;1,37106657028198;"No"
"row_46";"ENSG00000147526";"TACC1";"transforming acidic coiled-coil containing protein 1";5527;1,33662128448486;"No"
"row_47";"ENSG00000166949";"SMAD3";"SMAD family member 3";5861;1,0424553155899;"No"
"row_48";"ENSG00000117713";"ARID1A";"AT-rich interaction domain 1A";6098;0,886490225791931;"No"
"row_49";"ENSG00000127870";"RNF6";"ring finger protein 6";6139;0,842903017997742;"No"
"row_50";"ENSG00000167333";"TRIM68";"tripartite motif containing 68";6226;0,806470036506653;"No"
"row_51";"ENSG00000273611";"ZNHIT3";"zinc finger HIT-type containing 3";6334;0,723324477672577;"No"
"row_52";"ENSG00000144747";"TMF1";"TATA element modulatory factor 1";6335;0,72298264503479;"No"
"row_53";"ENSG00000168610";"STAT3";"signal transducer and activator of transcription 3";6465;0,657717227935791;"No"
"row_54";"ENSG00000173757";"STAT5B";"signal transducer and activator of transcription 5B";6504;0,630499601364136;"No"
"row_55";"ENSG00000171497";"PPID";"peptidylprolyl isomerase D";6519;0,62192702293396;"No"
"row_56";"ENSG00000198646";"NCOA6";"nuclear receptor coactivator 6";6573;0,589228868484497;"No"
"row_57";"ENSG00000008838";"MED24";"mediator complex subunit 24";6686;0,528200328350067;"No"
"row_58";"ENSG00000016082";"ISL1";"ISL LIM homeobox 1";6747;0,50067663192749;"No"
"row_59";"ENSG00000105392";"CRX";"cone-rod homeobox";6770;0,50067663192749;"No"
"row_60";"ENSG00000008405";"CRY1";"cryptochrome circadian regulator 1";7106;0,453403681516647;"No"
"row_61";"ENSG00000103671";"TRIP4";"thyroid hormone receptor interactor 4";7268;0,421513289213181;"No"
"row_62";"ENSG00000121931";"LRIF1";"ligand dependent nuclear receptor interacting factor 1";7312;0,403841555118561;"No"
"row_63";"ENSG00000131408";"NR1H2";"nuclear receptor subfamily 1 group H member 2";7742;0,235424667596817;"No"
"row_64";"ENSG00000180182";"MED14";"mediator complex subunit 14";7770;0,226145535707474;"No"
"row_65";"ENSG00000178913";"TAF7";"TATA-box binding protein associated factor 7";7903;0,187335550785065;"No"
"row_66";"ENSG00000114861";"FOXP1";"forkhead box P1";8071;0,154704242944717;"No"
"row_67";"ENSG00000183770";"FOXL2";"forkhead box L2";8262;0,137407884001732;"No"
"row_68";"ENSG00000153827";"TRIP12";"thyroid hormone receptor interactor 12";8543;0,13435210287571;"No"
"row_69";"ENSG00000144852";"NR1I2";"nuclear receptor subfamily 1 group I member 2";8553;0,133595824241638;"No"
"row_70";"ENSG00000004487";"KDM1A";"lysine demethylase 1A";8906;0,07742078602314;"No"
"row_71";"ENSG00000111424";"VDR";"vitamin D receptor";9400;0,0292057804763317;"No"
"row_72";"ENSG00000111912";"NCOA7";"nuclear receptor coactivator 7";9783;0,00565639138221741;"No"
"row_73";"ENSG00000166501";"PRKCB";"protein kinase C beta";9858;0,00283099128864706;"No"
"row_74";"ENSG00000104973";"MED25";"mediator complex subunit 25";9875;0,00267980596981943;"No"
"row_75";"ENSG00000116288";"PARK7";"Parkinsonism associated deglycase";9956;0,00109904957935214;"No"
"row_76";"ENSG00000164934";"DCAF13";"DDB1 and CUL4 associated factor 13";9987;0,000706343969795853;"No"
"row_77";"ENSG00000130783";"CCDC62";"coiled-coil domain containing 62";10354;-0,00300888158380985;"No"
