"Category";"GO_ID";"Description";"Gene_Ratio";"Bg_Ratio";"pvalue";"padj";"gene_ID";"gene_name";"count"
"BP";"GO:0044282";"small molecule catabolic process";"89/2842";"370/18496";6,89751809897888e-06;0,0378223773810412;"572/1800/1591/10858/3028/32/5625/55586/2954/4923/10005/23417/23475/10295/1666/10994/2109/587/4521/2584/1374/7915/5191/1962/5096/8942/3155/2166/55268/35/1757/5208/4835/25953/1892/79644/7263/2527/55902/64087/10247/222/64900/27165/3033/113675/51380/11001/1543/283927/7157/5211/207/55258/89944/26007/55289/1376/3242/8659/875/10841/51/51005/80150/4041/51084/84706/197257/10999/10449/2875/254552/1632/51181/64080/57834/10690/2523/197322/122970/89874/18/123688/6817/100/6799/2592/26063";"BAD/DPEP1/CYP24A1/CYP46A1/HSD17B10/ACACB/PRODH/MIOX/GSTZ1/NTSR1/ACOT8/MLYCD/QPRT/BCKDK/DECR1/ILVBL/ETFB/BCAT2/NUDT1/GALK1/CPT1A/ALDH5A1/PEX7/EHHADH/PCCB/KYNU/HMGCL/FAAH/ECHDC2/ACADS/SARDH/PFKFB2/NQO2/PNKD/ECHS1/SRD5A3/TST/FUT5/ACSS2/MCCC2/RIDA/ALDH3B2/LPIN3/GLS2/HADH/SDSL/CSAD/SLC27A2/CYP1A1/NUDT7/TP53/PFKL/AKT1/THNSL2/GLB1L2/TKFC/ACOXL/CPT2/HPD/ALDH4A1/CBS/FTCD/ACOX1/AMDHD2/ASRGL1/LRP5/CRYL1/GPT2/LDHD/SLC27A4/ACAA2/GPT/NUDT8/ECI1/DCXR/RBKS/CYP4F11/FUT9/FUT1/ACSF3/ACOT4/SLC25A21/ABAT/HYKK/SULT1A1/ADA/SULT1A2/GALT/DECR2";89
"BP";"GO:0006066";"alcohol metabolic process";"86/2842";"367/18496";2,77974179273249e-05;0,0378223773810412;"1595/51573/8228/29881/114879/10858/9563/6307/3422/6720/80271/6820/55586/9517/3705/4923/79153/6713/51477/20/2584/8821/4598/10162/3157/6697/2053/1621/79644/55902/2643/222/53630/1545/1558/27163/8608/1543/8720/3613/84310/10682/26007/7108/23461/10901/9619/2539/112724/2232/4041/8613/9249/54361/2672/171546/5092/10449/4597/123099/6338/5724/5031/1798/1717/22845/3291/340485/54344/3418/25987/283871/55911/27124/3638/56624/55190/6817/27010/165679/8912/6799/5336/6721/57540/1050";"CYP51A1/GDE1/PNPLA4/NPC1L1/OSBPL5/CYP46A1/H6PD/MSMO1/IDI1/SREBF1/ITPKC/SULT2B1/MIOX/SPTLC2/ITPK1/NTSR1/GDPD3/SQLE/ISYNA1/ABCA2/GALK1/INPP4B/MVK/LPCAT3/HMGCS1/SPR/EPHX2/DBH/SRD5A3/ACSS2/GCH1/ALDH3B2/BCO1/CYP1B1/CYP2C8/NAAA/RDH16/CYP1A1/MBTPS1/IMPA2/C7orf50/EBP/TKFC/TM7SF2/ABCA5/DHRS4/ABCG1/G6PD/RDH13/FDXR/LRP5/PLPP3/DHRS3/WNT4/GFI1/SPTSSA/PCBD1/ACAA2/MVD/DEGS2/SCNN1B/PTAFR/P2RY6/DPAGT1/DHCR7/DOLK/HSD11B2/ACER2/DPM3/IDH2/TSKU/PGP/APOBR/INPP5J/INSIG1/ASAH2/NUDT11/SULT1A1/TPK1/SPTSSB/CACNA1H/SULT1A2/PLCG2/SREBF2/DISP3/CEBPA";86
"BP";"GO:0048013";"ephrin receptor signaling pathway";"28/2842";"85/18496";4,14298467629569e-05;0,0378223773810412;"2324/25791/2263/2261/1947/1943/4318/2051/1949/2043/3480/2064/1944/10461/7074/8997/2264/4486/5979/4920/1942/2066/2049/284656/2050/26037/780/1945";"FLT4/NGEF/FGFR2/FGFR3/EFNB1/EFNA2/MMP9/EPHB6/EFNB3/EPHA4/IGF1R/ERBB2/EFNA3/MERTK/TIAM1/KALRN/FGFR4/MST1R/RET/ROR2/EFNA1/ERBB4/EPHB3/EPHA10/EPHB4/SIPA1L1/DDR1/EFNA4";28
"BP";"GO:0016054";"organic acid catabolic process";"61/2842";"242/18496";4,36225175624644e-05;0,0378223773810412;"1800/3028/32/5625/2954/10005/23417/23475/10295/1666/10994/2109/587/1374/7915/5191/1962/5096/8942/3155/2166/55268/35/1757/1892/7263/64087/10247/64900/27165/3033/113675/51380/11001/283927/207/55258/55289/1376/3242/8659/875/10841/51/51005/80150/51084/84706/197257/10999/10449/2875/254552/1632/51181/197322/122970/89874/18/123688/26063";"DPEP1/HSD17B10/ACACB/PRODH/GSTZ1/ACOT8/MLYCD/QPRT/BCKDK/DECR1/ILVBL/ETFB/BCAT2/CPT1A/ALDH5A1/PEX7/EHHADH/PCCB/KYNU/HMGCL/FAAH/ECHDC2/ACADS/SARDH/ECHS1/TST/MCCC2/RIDA/LPIN3/GLS2/HADH/SDSL/CSAD/SLC27A2/NUDT7/AKT1/THNSL2/ACOXL/CPT2/HPD/ALDH4A1/CBS/FTCD/ACOX1/AMDHD2/ASRGL1/CRYL1/GPT2/LDHD/SLC27A4/ACAA2/GPT/NUDT8/ECI1/DCXR/ACSF3/ACOT4/SLC25A21/ABAT/HYKK/DECR2";61
"BP";"GO:0046395";"carboxylic acid catabolic process";"61/2842";"242/18496";4,36225175624644e-05;0,0378223773810412;"1800/3028/32/5625/2954/10005/23417/23475/10295/1666/10994/2109/587/1374/7915/5191/1962/5096/8942/3155/2166/55268/35/1757/1892/7263/64087/10247/64900/27165/3033/113675/51380/11001/283927/207/55258/55289/1376/3242/8659/875/10841/51/51005/80150/51084/84706/197257/10999/10449/2875/254552/1632/51181/197322/122970/89874/18/123688/26063";"DPEP1/HSD17B10/ACACB/PRODH/GSTZ1/ACOT8/MLYCD/QPRT/BCKDK/DECR1/ILVBL/ETFB/BCAT2/CPT1A/ALDH5A1/PEX7/EHHADH/PCCB/KYNU/HMGCL/FAAH/ECHDC2/ACADS/SARDH/ECHS1/TST/MCCC2/RIDA/LPIN3/GLS2/HADH/SDSL/CSAD/SLC27A2/NUDT7/AKT1/THNSL2/ACOXL/CPT2/HPD/ALDH4A1/CBS/FTCD/ACOX1/AMDHD2/ASRGL1/CRYL1/GPT2/LDHD/SLC27A4/ACAA2/GPT/NUDT8/ECI1/DCXR/ACSF3/ACOT4/SLC25A21/ABAT/HYKK/DECR2";61
"BP";"GO:0007264";"small GTPase-mediated signal transduction";"107/2842";"486/18496";5,30826544430276e-05;0,0378223773810412;"9912/55200/440193/7454/50619/65078/7984/5662/8625/9170/25791/10235/55160/9620/5909/10411/51291/393/10044/23616/10633/27352/7249/171177/22898/54922/81704/10900/51195/8153/8437/6242/1796/58480/51209/9367/57580/23096/23550/10045/23263/26030/89846/57572/54869/23647/10451/9649/408/5962/153020/121512/54509/7157/2064/7409/128272/5899/9922/84249/255426/79930/8473/80728/1029/4851/10435/84033/116442/7074/50848/201176/8997/5900/10603/5364/2150/2203/94134/148170/5881/283455/10287/85442/27289/29984/64787/23526/6478/221178/202243/257106/116985/613/10507/25894/9901/4763/8831/50861/26037/221002/4893/6494/27040/398/157285";"ARHGAP44/PLEKHG6/CCDC88C/WAS/DEF6/RTN4R/ARHGEF5/PSD/RFXANK/LPAR2/NGEF/RASGRP2/ARHGEF10L/CELSR1/RAP1GAP/RAPGEF3/GMIP/ARHGAP4/SH2D3C/SH3BP1/RASL10A/SGSM3/TSC2/RHOV/DENND3/RASIP1/DOCK8/RUNDC3A/RAPGEFL1/RND2/RASAL1/RTKN/DOK1/RHOU/RAB9B/RAB9A/PREX1/IQSEC2/PSD4/SH2D3A/MCF2L/PLEKHG3/FGD3/DOCK6/EPS8L1/ARFIP2/VAV3/RALGPS1/ARRB1/RDX/RASGEF1B/FGD4/RHOF/TP53/ERBB2/VAV1/ARHGEF19/RALB/IQSEC1/PSD2/RASGEF1C/DOK3/OGT/ARHGAP39/CDKN2A/NOTCH1/CDC42EP2/OBSCN/RAB39B/TIAM1/F11R/ARHGAP27/KALRN/RALGDS/SH2B2/PLXNB1/F2RL1/FBP1/ARHGAP12/CDC42EP5/RAC3/KSR2/RGS19/KNDC1/RND1/RHOD/EPS8L2/ARHGAP45/SIAH2/SPATA13/CCDC125/ARHGAP30/ARAP1/BCR/SEMA4D/PLEKHG4/SRGAP3/NF1/SYNGAP1/STMN3/SIPA1L1/RASGEF1A/NRAS/SIPA1/LAT/ARHGDIG/PRAG1";107
"BP";"GO:0045197";"establishment or maintenance of epithelial cell apical/basal polarity";"19/2842";"49/18496";5,86799889769379e-05;0,0378223773810412;"286/5590/2011/3993/57662/1741/7481/23616/50855/9355/9368/84612/92359/10207/286204/1740/84552/23513/163183";"ANK1/PRKCZ/MARK2/LLGL2/CAMSAP3/DLG3/WNT11/SH3BP1/PARD6A/LHX2/SLC9A3R1/PARD6B/CRB3/PATJ/CRB2/DLG2/PARD6G/SCRIB/SYNE4";19
"BP";"GO:0035088";"establishment or maintenance of apical/basal cell polarity";"20/2842";"53/18496";5,95868286528918e-05;0,0378223773810412;"286/5590/2011/3993/57662/1741/7481/23616/50855/9355/9368/84612/92359/10207/286204/1740/84552/23513/163183/441161";"ANK1/PRKCZ/MARK2/LLGL2/CAMSAP3/DLG3/WNT11/SH3BP1/PARD6A/LHX2/SLC9A3R1/PARD6B/CRB3/PATJ/CRB2/DLG2/PARD6G/SCRIB/SYNE4/OOEP";20
"BP";"GO:0061245";"establishment or maintenance of bipolar cell polarity";"20/2842";"53/18496";5,95868286528918e-05;0,0378223773810412;"286/5590/2011/3993/57662/1741/7481/23616/50855/9355/9368/84612/92359/10207/286204/1740/84552/23513/163183/441161";"ANK1/PRKCZ/MARK2/LLGL2/CAMSAP3/DLG3/WNT11/SH3BP1/PARD6A/LHX2/SLC9A3R1/PARD6B/CRB3/PATJ/CRB2/DLG2/PARD6G/SCRIB/SYNE4/OOEP";20
"BP";"GO:0046165";"alcohol biosynthetic process";"42/2842";"151/18496";6,2115909642045e-05;0,0378223773810412;"1595/29881/9563/6307/3422/6720/80271/9517/4923/51477/20/4598/10162/3157/6697/1621/79644/2643/8720/3613/84310/10682/7108/9619/2539/54361/2672/171546/5092/10449/4597/5724/5031/1717/340485/283871/3638/56624/165679/8912/5336/6721";"CYP51A1/NPC1L1/H6PD/MSMO1/IDI1/SREBF1/ITPKC/SPTLC2/NTSR1/ISYNA1/ABCA2/MVK/LPCAT3/HMGCS1/SPR/DBH/SRD5A3/GCH1/MBTPS1/IMPA2/C7orf50/EBP/TM7SF2/ABCG1/G6PD/WNT4/GFI1/SPTSSA/PCBD1/ACAA2/MVD/PTAFR/P2RY6/DHCR7/ACER2/PGP/INSIG1/ASAH2/SPTSSB/CACNA1H/PLCG2/SREBF2";42
