"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000167767";"KRT80";"keratin 80";0;127,0947265625;"Yes"
"row_1";"ENSG00000170454";"KRT75";"keratin 75";24;82,6486053466797;"Yes"
"row_2";"ENSG00000128422";"KRT17";"keratin 17";166;41,0872383117676;"Yes"
"row_3";"ENSG00000170442";"KRT86";"keratin 86";303;30,9366149902344;"Yes"
"row_4";"ENSG00000135480";"KRT7";"keratin 7";419;24,1488780975342;"Yes"
"row_5";"ENSG00000197915";"HRNR";"hornerin";423;24,1488780975342;"Yes"
"row_6";"ENSG00000185479";"KRT6B";"keratin 6B";491;21,6654872894287;"Yes"
"row_7";"ENSG00000205420";"KRT6A";"keratin 6A";587;18,1560554504395;"Yes"
"row_8";"ENSG00000175793";"SFN";"stratifin";593;17,8528938293457;"Yes"
"row_9";"ENSG00000186081";"KRT5";"keratin 5";761;14,1521730422974;"Yes"
"row_10";"ENSG00000170523";"KRT83";"keratin 83";1099;9,20632648468018;"Yes"
"row_11";"ENSG00000186832";"KRT16";"keratin 16";1353;7,11122179031372;"Yes"
"row_12";"ENSG00000159450";"TCHH";"trichohyalin";1499;5,79909372329712;"Yes"
"row_13";"ENSG00000135443";"KRT85";"keratin 85";1926;3,98490023612976;"Yes"
"row_14";"ENSG00000003137";"CYP26B1";"cytochrome P450 family 26 subfamily B member 1";2019;3,70550465583801;"Yes"
"row_15";"ENSG00000163216";"SPRR2D";"small proline rich protein 2D";2233;3,02874088287354;"Yes"
"row_16";"ENSG00000167754";"KLK5";"kallikrein related peptidase 5";2240;3,02874088287354;"Yes"
"row_17";"ENSG00000170423";"KRT78";"keratin 78";2246;3,02874088287354;"Yes"
"row_18";"ENSG00000203782";"LORICRIN";"loricrin cornified envelope precursor protein";2298;3,02874088287354;"Yes"
"row_19";"ENSG00000170477";"KRT4";"keratin 4";3783;0,979648113250732;"No"
"row_20";"ENSG00000092295";"TGM1";"transglutaminase 1";5389;0,406556516885757;"No"
"row_21";"ENSG00000189337";"KAZN";"kazrin, periplakin interacting protein";6780;0,127497941255569;"No"
"row_22";"ENSG00000179526";"SHARPIN";"SHANK associated RH domain interactor";7369;0,0795322209596634;"No"
"row_23";"ENSG00000134283";"PPHLN1";"periphilin 1";9203;0,00213148654438555;"No"
"row_24";"ENSG00000105141";"CASP14";"caspase 14";9847;0;"No"
"row_25";"ENSG00000125780";"TGM3";"transglutaminase 3";10202;0;"No"
"row_26";"ENSG00000139648";"KRT71";"keratin 71";10481;0;"No"
"row_27";"ENSG00000159455";"LCE2B";"late cornified envelope 2B";10810;0;"No"
"row_28";"ENSG00000159516";"SPRR2G";"small proline rich protein 2G";10812;0;"No"
"row_29";"ENSG00000161850";"KRT82";"keratin 82";10857;0;"No"
"row_30";"ENSG00000163202";"LCE3D";"late cornified envelope 3D";10914;0;"No"
"row_31";"ENSG00000163207";"IVL";"involucrin";10916;0;"No"
"row_32";"ENSG00000163209";"SPRR3";"small proline rich protein 3";10917;0;"No"
"row_33";"ENSG00000167768";"KRT1";"keratin 1";11110;0;"No"
"row_34";"ENSG00000167880";"EVPL";"envoplakin";11119;0;"No"
"row_35";"ENSG00000169469";"SPRR1B";"small proline rich protein 1B";11187;0;"No"
"row_36";"ENSG00000169474";"SPRR1A";"small proline rich protein 1A";11188;0;"No"
"row_37";"ENSG00000170465";"KRT6C";"keratin 6C";11234;0;"No"
"row_38";"ENSG00000170484";"KRT74";"keratin 74";11237;0;"No"
"row_39";"ENSG00000170486";"KRT72";"keratin 72";11238;0;"No"
"row_40";"ENSG00000172155";"LCE1D";"late cornified envelope 1D";11328;0;"No"
"row_41";"ENSG00000172867";"KRT2";"keratin 2";11377;0;"No"
"row_42";"ENSG00000173239";"LIPM";"lipase family member M";11388;0;"No"
"row_43";"ENSG00000184148";"SPRR4";"small proline rich protein 4";11963;0;"No"
"row_44";"ENSG00000184724";"KRTAP6-1";"keratin associated protein 6-1";11997;0;"No"
"row_45";"ENSG00000185069";"KRT76";"keratin 76";12023;0;"No"
"row_46";"ENSG00000185640";"KRT79";"keratin 79";12053;0;"No"
"row_47";"ENSG00000185962";"LCE3A";"late cornified envelope 3A";12077;0;"No"
"row_48";"ENSG00000185966";"LCE3E";"late cornified envelope 3E";12078;0;"No"
"row_49";"ENSG00000186049";"KRT73";"keratin 73";12083;0;"No"
"row_50";"ENSG00000186207";"LCE5A";"late cornified envelope 5A";12101;0;"No"
"row_51";"ENSG00000186226";"LCE1E";"late cornified envelope 1E";12102;0;"No"
"row_52";"ENSG00000186442";"KRT3";"keratin 3";12117;0;"No"
"row_53";"ENSG00000186844";"LCE1A";"late cornified envelope 1A";12150;0;"No"
"row_54";"ENSG00000186930";"KRTAP6-2";"keratin associated protein 6-2";12159;0;"No"
"row_55";"ENSG00000187170";"LCE4A";"late cornified envelope 4A";12179;0;"No"
"row_56";"ENSG00000187173";"LCE2A";"late cornified envelope 2A";12180;0;"No"
"row_57";"ENSG00000187180";"LCE2C";"late cornified envelope 2C";12182;0;"No"
"row_58";"ENSG00000187223";"LCE2D";"late cornified envelope 2D";12184;0;"No"
"row_59";"ENSG00000187238";"LCE3B";"late cornified envelope 3B";12185;0;"No"
"row_60";"ENSG00000189182";"KRT77";"keratin 77";12329;0;"No"
"row_61";"ENSG00000196734";"LCE1B";"late cornified envelope 1B";12402;0;"No"
"row_62";"ENSG00000196805";"SPRR2B";"small proline rich protein 2B";12410;0;"No"
"row_63";"ENSG00000197084";"LCE1C";"late cornified envelope 1C";12426;0;"No"
"row_64";"ENSG00000203785";"SPRR2E";"small proline rich protein 2E";13574;0;"No"
