"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000074047";"GLI2";"GLI family zinc finger 2";30;83,4407958984375;"Yes"
"row_1";"ENSG00000149294";"NCAM1";"neural cell adhesion molecule 1";31;82,519416809082;"Yes"
"row_2";"ENSG00000106571";"GLI3";"GLI family zinc finger 3";40;78,6346130371094;"Yes"
"row_3";"ENSG00000170381";"SEMA3E";"semaphorin 3E";85;65,9974975585938;"Yes"
"row_4";"ENSG00000183691";"NOG";"noggin";86;65,8936309814453;"Yes"
"row_5";"ENSG00000011201";"ANOS1";"anosmin 1";98;63,6127777099609;"Yes"
"row_6";"ENSG00000185070";"FLRT2";"fibronectin leucine rich transmembrane protein 2";136;57,7379379272461;"Yes"
"row_7";"ENSG00000018236";"CNTN1";"contactin 1";138;57,6186141967773;"Yes"
"row_8";"ENSG00000092969";"TGFB2";"transforming growth factor beta 2";157;55,8351211547852;"Yes"
"row_9";"ENSG00000145242";"EPHA5";"EPH receptor A5";195;52,2467422485352;"Yes"
"row_10";"ENSG00000104967";"NOVA2";"NOVA alternative splicing regulator 2";214;50,7574272155762;"Yes"
"row_11";"ENSG00000251493";"FOXD1";"forkhead box D1";248;48,2241897583008;"Yes"
"row_12";"ENSG00000182168";"UNC5C";"unc-5 netrin receptor C";250;48,1476745605469;"Yes"
"row_13";"ENSG00000133216";"EPHB2";"EPH receptor B2";263;47,4686279296875;"Yes"
"row_14";"ENSG00000184349";"EFNA5";"ephrin A5";269;46,7703170776367;"Yes"
"row_15";"ENSG00000163531";"NFASC";"neurofascin";295;45,2666816711426;"Yes"
"row_16";"ENSG00000170571";"EMB";"embigin";297;45,1055946350098;"Yes"
"row_17";"ENSG00000127152";"BCL11B";"BCL11 transcription factor B";326;43,383674621582;"Yes"
"row_18";"ENSG00000114251";"WNT5A";"Wnt family member 5A";347;41,9236183166504;"Yes"
"row_19";"ENSG00000085552";"IGSF9";"immunoglobulin superfamily member 9";349;41,7501754760742;"Yes"
"row_20";"ENSG00000168280";"KIF5C";"kinesin family member 5C";423;38,4730606079102;"Yes"
"row_21";"ENSG00000162738";"VANGL2";"VANGL planar cell polarity protein 2";443;37,6053352355957;"Yes"
"row_22";"ENSG00000144857";"BOC";"BOC cell adhesion associated, oncogene regulated";453;36,7629699707031;"Yes"
"row_23";"ENSG00000021645";"NRXN3";"neurexin 3";459;36,621337890625;"Yes"
"row_24";"ENSG00000153993";"SEMA3D";"semaphorin 3D";491;35,4008293151855;"Yes"
"row_25";"ENSG00000075213";"SEMA3A";"semaphorin 3A";495;35,3058929443359;"Yes"
"row_26";"ENSG00000145147";"SLIT2";"slit guidance ligand 2";511;34,589729309082;"Yes"
"row_27";"ENSG00000083290";"ULK2";"unc-51 like autophagy activating kinase 2";569;32,6190299987793;"Yes"
"row_28";"ENSG00000154342";"WNT3A";"Wnt family member 3A";584;31,9788112640381;"Yes"
"row_29";"ENSG00000151490";"PTPRO";"protein tyrosine phosphatase receptor type O";650;30,2206726074219;"Yes"
"row_30";"ENSG00000065320";"NTN1";"netrin 1";706;27,9967575073242;"Yes"
"row_31";"ENSG00000149557";"FEZ1";"fasciculation and elongation protein zeta 1";775;25,5782012939453;"Yes"
"row_32";"ENSG00000075223";"SEMA3C";"semaphorin 3C";780;25,5490837097168;"Yes"
"row_33";"ENSG00000141622";"ARK2C";"arkadia (RNF111) C-terminal like ring finger ubiquitin ligase 2C";828;24,3895626068115;"Yes"
"row_34";"ENSG00000162490";"DRAXIN";"dorsal inhibitory axon guidance protein";849;24,0657749176025;"Yes"
"row_35";"ENSG00000154928";"EPHB1";"EPH receptor B1";854;23,8599853515625;"Yes"
"row_36";"ENSG00000101144";"BMP7";"bone morphogenetic protein 7";916;22,5540161132812;"Yes"
"row_37";"ENSG00000143355";"LHX9";"LIM homeobox 9";921;22,4956188201904;"Yes"
"row_38";"ENSG00000187323";"DCC";"DCC netrin 1 receptor";927;22,4956188201904;"Yes"
"row_39";"ENSG00000080224";"EPHA6";"EPH receptor A6";928;22,4909019470215;"Yes"
"row_40";"ENSG00000179242";"CDH4";"cadherin 4";1006;20,3376293182373;"Yes"
"row_41";"ENSG00000112902";"SEMA5A";"semaphorin 5A";1041;19,5943393707275;"Yes"
"row_42";"ENSG00000116106";"EPHA4";"EPH receptor A4";1095;18,5738830566406;"Yes"
"row_43";"ENSG00000170017";"ALCAM";"activated leukocyte cell adhesion molecule";1112;18,267391204834;"Yes"
"row_44";"ENSG00000182580";"EPHB3";"EPH receptor B3";1135;17,9754123687744;"Yes"
"row_45";"ENSG00000134250";"NOTCH2";"notch receptor 2";1177;17,2888031005859;"Yes"
"row_46";"ENSG00000153404";"PLEKHG4B";"pleckstrin homology and RhoGEF domain containing G4B";1201;16,9899730682373;"Yes"
"row_47";"ENSG00000138696";"BMPR1B";"bone morphogenetic protein receptor type 1B";1253;16,3067626953125;"Yes"
"row_48";"ENSG00000106123";"EPHB6";"EPH receptor B6";1299;15,7378196716309;"Yes"
"row_49";"ENSG00000129116";"PALLD";"palladin, cytoskeletal associated protein";1307;15,5015687942505;"Yes"
"row_50";"ENSG00000149633";"KIAA1755";"KIAA1755";1356;14,8611698150635;"Yes"
"row_51";"ENSG00000134115";"CNTN6";"contactin 6";1369;14,5873394012451;"Yes"
"row_52";"ENSG00000171450";"CDK5R2";"cyclin dependent kinase 5 regulatory subunit 2";1379;14,5873394012451;"Yes"
"row_53";"ENSG00000162614";"NEXN";"nexilin F-actin binding protein";1393;14,4891633987427;"Yes"
"row_54";"ENSG00000108947";"EFNB3";"ephrin B3";1401;14,1830787658691;"Yes"
"row_55";"ENSG00000137872";"SEMA6D";"semaphorin 6D";1408;14,1371097564697;"Yes"
"row_56";"ENSG00000176697";"BDNF";"brain derived neurotrophic factor";1453;13,6733646392822;"Yes"
"row_57";"ENSG00000182578";"CSF1R";"colony stimulating factor 1 receptor";1455;13,6733646392822;"Yes"
"row_58";"ENSG00000184613";"NELL2";"neural EGFL like 2";1529;12,835750579834;"Yes"
"row_59";"ENSG00000070886";"EPHA8";"EPH receptor A8";1563;12,5651397705078;"Yes"
"row_60";"ENSG00000107485";"GATA3";"GATA binding protein 3";1592;12,4794597625732;"Yes"
"row_61";"ENSG00000151617";"EDNRA";"endothelin receptor type A";1702;11,4867343902588;"Yes"
"row_62";"ENSG00000273706";"LHX1";"LIM homeobox 1";1744;10,9680509567261;"Yes"
"row_63";"ENSG00000144619";"CNTN4";"contactin 4";1779;10,3960151672363;"Yes"
"row_64";"ENSG00000154134";"ROBO3";"roundabout guidance receptor 3";1838;9,95198535919189;"Yes"
"row_65";"ENSG00000132561";"MATN2";"matrilin 2";1880;9,60054302215576;"Yes"
"row_66";"ENSG00000156687";"UNC5D";"unc-5 netrin receptor D";1886;9,54260730743408;"Yes"
"row_67";"ENSG00000006468";"ETV1";"ETS variant transcription factor 1";1894;9,3884334564209;"Yes"
"row_68";"ENSG00000184347";"SLIT3";"slit guidance ligand 3";1903;9,2819709777832;"Yes"
"row_69";"ENSG00000187764";"SEMA4D";"semaphorin 4D";1959;9,07573890686035;"Yes"
"row_70";"ENSG00000198400";"NTRK1";"neurotrophic receptor tyrosine kinase 1";2074;8,07201480865479;"Yes"
"row_71";"ENSG00000107562";"CXCL12";"C-X-C motif chemokine ligand 12";2099;7,85142993927002;"Yes"
"row_72";"ENSG00000151615";"POU4F2";"POU class 4 homeobox 2";2115;7,85142993927002;"Yes"
"row_73";"ENSG00000185008";"ROBO2";"roundabout guidance receptor 2";2127;7,85142993927002;"Yes"
