"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000243902";"ELFN2";"extracellular leucine rich repeat and fibronectin type III domain containing 2";17;93,3825607299805;"Yes"
"row_1";"ENSG00000153956";"CACNA2D1";"calcium voltage-gated channel auxiliary subunit alpha2delta 1";24;87,6184997558594;"Yes"
"row_2";"ENSG00000145934";"TENM2";"teneurin transmembrane protein 2";25;86,4244232177734;"Yes"
"row_3";"ENSG00000148948";"LRRC4C";"leucine rich repeat containing 4C";29;83,6406555175781;"Yes"
"row_4";"ENSG00000166342";"NETO1";"neuropilin and tolloid like 1";55;73,521858215332;"Yes"
"row_5";"ENSG00000161681";"SHANK1";"SH3 and multiple ankyrin repeat domains 1";74;69,7871932983398;"Yes"
"row_6";"ENSG00000152208";"GRID2";"glutamate ionotropic receptor delta type subunit 2";96;63,728874206543;"Yes"
"row_7";"ENSG00000101463";"SYNDIG1";"synapse differentiation inducing 1";101;63,2312126159668;"Yes"
"row_8";"ENSG00000186297";"GABRA5";"gamma-aminobutyric acid type A receptor subunit alpha5";109;62,470630645752;"Yes"
"row_9";"ENSG00000197467";"COL13A1";"collagen type XIII alpha 1 chain";113;61,0166397094727;"Yes"
"row_10";"ENSG00000135750";"KCNK1";"potassium two pore domain channel subfamily K member 1";123;59,423656463623;"Yes"
"row_11";"ENSG00000162631";"NTNG1";"netrin G1";128;58,8736114501953;"Yes"
"row_12";"ENSG00000185070";"FLRT2";"fibronectin leucine rich transmembrane protein 2";136;57,7379379272461;"Yes"
"row_13";"ENSG00000018236";"CNTN1";"contactin 1";138;57,6186141967773;"Yes"
"row_14";"ENSG00000118596";"SLC16A7";"solute carrier family 16 member 7";151;56,5502090454102;"Yes"
"row_15";"ENSG00000131409";"LRRC4B";"leucine rich repeat containing 4B";154;56,3445472717285;"Yes"
"row_16";"ENSG00000164509";"IL31RA";"interleukin 31 receptor A";172;54,2361297607422;"Yes"
"row_17";"ENSG00000182901";"RGS7";"regulator of G protein signaling 7";180;53,2932739257812;"Yes"
