"NAME";"GS br  follow link to MSigDB";"GS DETAILS";"SIZE";"ES";"NES";"NOM p val";"FDR q val";"FWER p val";"RANK AT MAX";"LEADING EDGE"
"MIRNA_MEDIATED_GENE_SILENCING_BY_INHIBITION_OF_TRANSLATION (GO:0035278)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_MIRNA_MEDIATED_GENE_SILENCING_BY_INHIBITION_OF_TRANSLATION.html";"An RNA interference pathway in which microRNAs (miRNAs) block the translation of target mRNAs into proteins. Once incorporated into a RNA-induced silencing complex (RISC), a miRNA will typically mediate repression of translation if the miRNA imperfectly base-pairs with the 3' untranslated regions of target mRNAs. [PMID:14744438, PMID:15196554]";99;-0,9601746;-1,9101858;0;0;0;8;"tags=1%, list=0%, signal=1%"
"BLOOD_MICROPARTICLE (GO:0072562)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOCC_BLOOD_MICROPARTICLE.html";"A phospholipid microvesicle that is derived from any of several cell types, such as platelets, blood cells, endothelial cells, or others, and contains membrane receptors as well as other proteins characteristic of the parental cell. Microparticles are heterogeneous in size, and are characterized as microvesicles free of nucleic acids. [GOC:BHF, GOC:mah, PMID:16373184]";145;-0,89243555;-1,8146193;0;0;0;1113;"tags=29%, list=3%, signal=30%"
"LIPOPROTEIN_METABOLIC_PROCESS (GO:0042157)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_LIPOPROTEIN_METABOLIC_PROCESS.html";"The chemical reactions and pathways involving any conjugated, water-soluble protein in which the covalently attached nonprotein group consists of a lipid or lipids. [ISBN:0198506732]";89;-0,9071995;-1,7285781;0;0,00709941;0,016;617;"tags=17%, list=2%, signal=17%"
"REGULATION_OF_PLASMA_LIPOPROTEIN_PARTICLE_LEVELS (GO:0097006)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_REGULATION_OF_PLASMA_LIPOPROTEIN_PARTICLE_LEVELS.html";"Any process involved in the maintenance of internal levels of plasma lipoprotein particles within an organism. [GOC:BHF]";103;-0,8727545;-1,7065954;0;0,01101245;0,033;1015;"tags=25%, list=3%, signal=26%"
"POSITIVE_REGULATION_OF_MRNA_CATABOLIC_PROCESS (GO:0061014)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_POSITIVE_REGULATION_OF_MRNA_CATABOLIC_PROCESS.html";"Any process that increases the rate, frequency, or extent of a mRNA catabolic process, the chemical reactions and pathways resulting in the breakdown of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage. [GOC:ascb_2009, GOC:dph, GOC:tb]";202;-0,7861642;-1,6918772;0;0,013584565;0,049;501;"tags=1%, list=1%, signal=1%"
"LIPID_HOMEOSTASIS (GO:0055088)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_LIPID_HOMEOSTASIS.html";"Any process involved in the maintenance of an internal steady state of lipid within an organism or cell. [GOC:BHF, GOC:rl]";193;-0,7879009;-1,6868078;0;0,013529908;0,057;1642;"tags=25%, list=5%, signal=26%"
"PLASMA_LIPOPROTEIN_PARTICLE_CLEARANCE (GO:0034381)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_PLASMA_LIPOPROTEIN_PARTICLE_CLEARANCE.html";"The process in which a lipoprotein particle is removed from the blood via receptor-mediated endocytosis and its constituent parts degraded. [GOC:ascb_2009, GOC:BHF, GOC:dph, GOC:mah, GOC:tb]";61;-0,91551036;-1,6643081;0,0040816325;0,023752501;0,119;1015;"tags=23%, list=3%, signal=24%"
"PROTEIN_LIPID_COMPLEX_ORGANIZATION (GO:0071825)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_PROTEIN_LIPID_COMPLEX_ORGANIZATION.html";"Any process in which macromolecules aggregate, disaggregate, or are modified, resulting in the formation, disassembly, or alteration of a protein-lipid complex. [GOC:mah]";62;-0,8841439;-1,6563369;0;0,027277771;0,156;999;"tags=35%, list=3%, signal=36%"
"SECONDARY_ALCOHOL_METABOLIC_PROCESS (GO:1902652)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_SECONDARY_ALCOHOL_METABOLIC_PROCESS.html";"The chemical reactions and pathways involving secondary alcohol. [GO_REF:0000068, GOC:mengo_curators, GOC:TermGenie, PMID:11288200]";167;-0,78379023;-1,6465777;0;0,031497814;0,198;1832;"tags=26%, list=5%, signal=28%"
"MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX (GO:0098798)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX.html";"A protein complex that is part of a mitochondrion. [GOC:dos]";177;-0,7791;-1,6345433;0;0,041754965;0,279;4994;"tags=45%, list=14%, signal=51%"
