"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000147065";"MSN";"moesin";65;71,264518737793;"No"
"row_1";"ENSG00000132465";"JCHAIN";"joining chain of multimeric IgA and IgM";619;30,9214859008789;"No"
"row_2";"ENSG00000173110";"HSPA6";"heat shock protein family A (Hsp70) member 6";2363;6,39009952545166;"No"
"row_3";"ENSG00000173369";"C1QB";"complement C1q B chain";2510;5,60015487670898;"No"
"row_4";"ENSG00000149131";"SERPING1";"serpin family G member 1";2537;5,59667062759399;"No"
"row_5";"ENSG00000163017";"ACTG2";"actin gamma 2, smooth muscle";2546;5,50519800186157;"No"
"row_6";"ENSG00000000971";"CFH";"complement factor H";2607;4,91420125961304;"No"
"row_7";"ENSG00000114200";"BCHE";"butyrylcholinesterase";2633;4,76521110534668;"No"
"row_8";"ENSG00000159189";"C1QC";"complement C1q C chain";2668;4,76521110534668;"No"
"row_9";"ENSG00000188219";"POTEE";"POTE ankyrin domain family member E";3029;3,57538461685181;"No"
"row_10";"ENSG00000196604";"POTEF";"POTE ankyrin domain family member F";3059;3,4474720954895;"No"
"row_11";"ENSG00000136425";"CIB2";"calcium and integrin binding family member 2";3143;3,07926416397095;"No"
"row_12";"ENSG00000124491";"F13A1";"coagulation factor XIII A chain";3488;2,87542867660522;"No"
"row_13";"ENSG00000196565";"HBG2";"hemoglobin subunit gamma 2";3832;1,96097350120544;"No"
"row_14";"ENSG00000106991";"ENG";"endoglin";4341;1,16598153114319;"No"
"row_15";"ENSG00000120885";"CLU";"clusterin";4491;1,01667153835297;"No"
"row_16";"ENSG00000004939";"SLC4A1";"solute carrier family 4 member 1 (Diego blood group)";4567;0,947561740875244;"No"
"row_17";"ENSG00000073754";"CD5L";"CD5 molecule like";4587;0,947561740875244;"No"
"row_18";"ENSG00000132703";"APCS";"amyloid P component, serum";4664;0,947561740875244;"No"
"row_19";"ENSG00000145321";"GC";"GC vitamin D binding protein";4712;0,947561740875244;"No"
"row_20";"ENSG00000225217";"HSPA7";"heat shock protein family A (Hsp70) member 7 (pseudogene)";5022;0,947561740875244;"No"
"row_21";"ENSG00000121410";"A1BG";"alpha-1-B glycoprotein";5559;0,815307319164276;"No"
"row_22";"ENSG00000164924";"YWHAZ";"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta";6821;0,273868650197983;"No"
"row_23";"ENSG00000072274";"TFRC";"transferrin receptor";8205;0,0706269294023514;"No"
"row_24";"ENSG00000137575";"SDCBP";"syndecan binding protein";8521;0,0476313382387161;"No"
"row_25";"ENSG00000105329";"TGFB1";"transforming growth factor beta 1";8643;0,0399104692041874;"No"
"row_26";"ENSG00000148175";"STOM";"stomatin";8694;0,0373125933110714;"No"
"row_27";"ENSG00000075624";"ACTB";"actin beta";8977;0,0241496544331312;"No"
"row_28";"ENSG00000186280";"KDM4D";"lysine demethylase 4D";8983;0,0240294095128775;"No"
"row_29";"ENSG00000164111";"ANXA5";"annexin A5";9271;0,013982867822051;"No"
