"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000177108";"ZDHHC22";"zinc finger DHHC-type palmitoyltransferase 22";924;22,4956188201904;"No"
"row_1";"ENSG00000102383";"ZDHHC15";"zinc finger DHHC-type palmitoyltransferase 15";2310;6,41154813766479;"No"
"row_2";"ENSG00000178878";"APOLD1";"apolipoprotein L domain containing 1";2453;6,07662582397461;"No"
"row_3";"ENSG00000054392";"HHAT";"hedgehog acyltransferase";2560;5,31172513961792;"No"
"row_4";"ENSG00000259207";"ITGB3";"integrin subunit beta 3";2582;5,108314037323;"No"
"row_5";"ENSG00000173391";"OLR1";"oxidized low density lipoprotein receptor 1";3267;2,94565081596375;"No"
"row_6";"ENSG00000189058";"APOD";"apolipoprotein D";3481;2,89390778541565;"No"
"row_7";"ENSG00000104219";"ZDHHC2";"zinc finger DHHC-type palmitoyltransferase 2";3572;2,56363773345947;"No"
"row_8";"ENSG00000159714";"ZDHHC1";"zinc finger DHHC-type containing 1";4022;1,70651340484619;"No"
"row_9";"ENSG00000188818";"ZDHHC11";"zinc finger DHHC-type containing 11";4295;1,24594748020172;"No"
"row_10";"ENSG00000174697";"LEP";"leptin";4837;0,947561740875244;"No"
"row_11";"ENSG00000100614";"PPM1A";"protein phosphatase, Mg2+/Mn2+ dependent 1A";5955;0,572966277599335;"No"
"row_12";"ENSG00000149311";"ATM";"ATM serine/threonine kinase";6214;0,457554548978806;"No"
"row_13";"ENSG00000099904";"ZDHHC8";"zinc finger DHHC-type palmitoyltransferase 8";6620;0,330697506666183;"No"
"row_14";"ENSG00000142192";"APP";"amyloid beta precursor protein";6650;0,321070998907089;"No"
"row_15";"ENSG00000148154";"UGCG";"UDP-glucose ceramide glucosyltransferase";6800;0,279426753520966;"No"
"row_16";"ENSG00000184307";"ZDHHC23";"zinc finger DHHC-type palmitoyltransferase 23";6983;0,235086262226105;"No"
"row_17";"ENSG00000180776";"ZDHHC20";"zinc finger DHHC-type palmitoyltransferase 20";7065;0,222099900245667;"No"
"row_18";"ENSG00000115839";"RAB3GAP1";"RAB3 GTPase activating protein catalytic subunit 1";7565;0,138235345482826;"No"
"row_19";"ENSG00000179477";"ALOX12B";"arachidonate 12-lipoxygenase, 12R type";7593;0,135426685214043;"No"
"row_20";"ENSG00000175048";"ZDHHC14";"zinc finger DHHC-type palmitoyltransferase 14";7783;0,11107762157917;"No"
"row_21";"ENSG00000197548";"ATG7";"autophagy related 7";7857;0,102086946368217;"No"
"row_22";"ENSG00000175893";"ZDHHC21";"zinc finger DHHC-type palmitoyltransferase 21";7925;0,0922999009490013;"No"
"row_23";"ENSG00000237693";"IRGM";"immunity related GTPase M";8030;0,0872635841369629;"No"
"row_24";"ENSG00000186908";"ZDHHC17";"zinc finger DHHC-type palmitoyltransferase 17";8215;0,0692039132118225;"No"
"row_25";"ENSG00000177669";"MBOAT4";"membrane bound ghrelin O-acyltransferase MBOAT4";8256;0,0663008913397789;"No"
"row_26";"ENSG00000163812";"ZDHHC3";"zinc finger DHHC-type palmitoyltransferase 3";8266;0,0652642771601677;"No"
"row_27";"ENSG00000138032";"PPM1B";"protein phosphatase, Mg2+/Mn2+ dependent 1B";8434;0,0528307817876339;"No"
"row_28";"ENSG00000152465";"NMT2";"N-myristoyltransferase 2";8507;0,0487108752131462;"No"
"row_29";"ENSG00000156599";"ZDHHC5";"zinc finger DHHC-type palmitoyltransferase 5";8944;0,0257194377481937;"No"
"row_30";"ENSG00000107362";"ABHD17B";"abhydrolase domain containing 17B, depalmitoylase";9413;0,00976776145398617;"No"
"row_31";"ENSG00000138448";"ITGAV";"integrin subunit alpha V";9485;0,00809929799288511;"No"
"row_32";"ENSG00000147533";"GOLGA7";"golgin A7";9553;0,00678767170757055;"No"
"row_33";"ENSG00000102312";"PORCN";"porcupine O-acyltransferase";9690;0,00397576950490475;"No"
"row_34";"ENSG00000118873";"RAB3GAP2";"RAB3 GTPase activating non-catalytic protein subunit 2";9966;0,00065751961665228;"No"
"row_35";"ENSG00000131238";"PPT1";"palmitoyl-protein thioesterase 1";10064;0,000155066809384152;"No"
"row_36";"ENSG00000010282";"HHATL";"hedgehog acyltransferase like";10173;0;"No"
"row_37";"ENSG00000105270";"CLIP3";"CAP-Gly domain containing linker protein 3";10442;0;"No"
"row_38";"ENSG00000111701";"APOBEC1";"apolipoprotein B mRNA editing enzyme catalytic subunit 1";10541;0;"No"
"row_39";"ENSG00000128313";"APOL5";"apolipoprotein L5";10846;0;"No"
"row_40";"ENSG00000130173";"ANGPTL8";"angiopoietin like 8";10880;0;"No"
"row_41";"ENSG00000198168";"SVIP";"small VCP interacting protein";13128;0;"No"
"row_42";"ENSG00000234906";"APOC2";"apolipoprotein C2";19394;0;"No"
"row_43";"ENSG00000144827";"ABHD10";"abhydrolase domain containing 10, depalmitoylase";28267;-3,20283907058183e-05;"No"
"row_44";"ENSG00000120992";"LYPLA1";"lysophospholipase 1";28367;-0,000362165999831632;"No"
"row_45";"ENSG00000186951";"PPARA";"peroxisome proliferator activated receptor alpha";28995;-0,00967482291162014;"No"
"row_46";"ENSG00000204160";"ZDHHC18";"zinc finger DHHC-type palmitoyltransferase 18";29083;-0,0120178423821926;"No"
"row_47";"ENSG00000144840";"RABL3";"RAB, member of RAS oncogene family like 3";29128;-0,013348450884223;"No"
"row_48";"ENSG00000078142";"PIK3C3";"phosphatidylinositol 3-kinase catalytic subunit type 3";29951;-0,0494576953351498;"No"
"row_49";"ENSG00000136448";"NMT1";"N-myristoyltransferase 1";29987;-0,0516943112015724;"No"
"row_50";"ENSG00000128335";"APOL2";"apolipoprotein L2";30045;-0,0562453269958496;"No"
"row_51";"ENSG00000171307";"ZDHHC16";"zinc finger DHHC-type palmitoyltransferase 16";30563;-0,0969759821891785;"No"
"row_52";"ENSG00000023041";"ZDHHC6";"zinc finger DHHC-type palmitoyltransferase 6";30986;-0,138151124119759;"No"
"row_53";"ENSG00000221963";"APOL6";"apolipoprotein L6";30988;-0,138660967350006;"No"
"row_54";"ENSG00000129968";"ABHD17A";"abhydrolase domain containing 17A, depalmitoylase";31009;-0,141896426677704;"No"
"row_55";"ENSG00000153786";"ZDHHC7";"zinc finger DHHC-type palmitoyltransferase 7";31028;-0,144721671938896;"No"
"row_56";"ENSG00000101670";"LIPG";"lipase G, endothelial type";31633;-0,24037629365921;"No"
"row_57";"ENSG00000141858";"SAMD1";"sterile alpha motif domain containing 1";31742;-0,260131329298019;"No"
"row_58";"ENSG00000113811";"SELENOK";"selenoprotein K";31838;-0,275144457817078;"No"
"row_59";"ENSG00000136379";"ABHD17C";"abhydrolase domain containing 17C, depalmitoylase";31889;-0,288187772035599;"No"
"row_60";"ENSG00000128284";"APOL3";"apolipoprotein L3";31945;-0,298453390598297;"No"
"row_61";"ENSG00000100336";"APOL4";"apolipoprotein L4";32393;-0,424164712429047;"No"
"row_62";"ENSG00000085978";"ATG16L1";"autophagy related 16 like 1";32541;-0,462880373001099;"No"
"row_63";"ENSG00000213398";"LCAT";"lecithin-cholesterol acyltransferase";32736;-0,531960546970367;"No"
"row_64";"ENSG00000130164";"LDLR";"low density lipoprotein receptor";32887;-0,601505041122437;"No"
"row_65";"ENSG00000155368";"DBI";"diazepam binding inhibitor, acyl-CoA binding protein";32921;-0,622227370738983;"No"
"row_66";"ENSG00000160446";"ZDHHC12";"zinc finger DHHC-type palmitoyltransferase 12";33050;-0,686104774475098;"No"
"row_67";"ENSG00000163958";"ZDHHC19";"zinc finger DHHC-type palmitoyltransferase 19";33523;-0,966344833374023;"No"
"row_68";"ENSG00000117984";"CTSD";"cathepsin D";34073;-1,30269575119019;"No"
"row_69";"ENSG00000011009";"LYPLA2";"lysophospholipase 2";34242;-1,56893944740295;"No"
"row_70";"ENSG00000100342";"APOL1";"apolipoprotein L1";34632;-2,38920569419861;"No"
"row_71";"ENSG00000107798";"LIPA";"lipase A, lysosomal acid type";34931;-3,23940515518188;"No"
"row_72";"ENSG00000188706";"ZDHHC9";"zinc finger DHHC-type palmitoyltransferase 9";35137;-4,25030660629272;"No"
"row_73";"ENSG00000062282";"DGAT2";"diacylglycerol O-acyltransferase 2";35392;-6,22773742675781;"Yes"
"row_74";"ENSG00000204444";"APOM";"apolipoprotein M";35790;-13,0751314163208;"Yes"
