"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000120675";"DNAJC15";"DnaJ heat shock protein family (Hsp40) member C15";978;10,8939781188965;"No"
"row_1";"ENSG00000151475";"SLC25A31";"solute carrier family 25 member 31";3718;0,974733531475067;"No"
"row_2";"ENSG00000107745";"MICU1";"mitochondrial calcium uptake 1";4562;0,821214079856873;"No"
"row_3";"ENSG00000265354";"TIMM23";"translocase of inner mitochondrial membrane 23";4701;0,72242134809494;"No"
"row_4";"ENSG00000141385";"AFG3L2";"AFG3 like matrix AAA peptidase subunit 2";4903;0,612684011459351;"No"
"row_5";"ENSG00000148459";"PDSS1";"decaprenyl diphosphate synthase subunit 1";4911;0,606153547763824;"No"
"row_6";"ENSG00000163319";"MRPS18C";"mitochondrial ribosomal protein S18C";5392;0,429857045412064;"No"
"row_7";"ENSG00000087088";"BAX";"BCL2 associated X, apoptosis regulator";5729;0,324570804834366;"No"
"row_8";"ENSG00000166855";"CLPX";"caseinolytic mitochondrial matrix peptidase chaperone subunit X";5730;0,324138194322586;"No"
"row_9";"ENSG00000169288";"MRPL1";"mitochondrial ribosomal protein L1";5866;0,295473277568817;"No"
"row_10";"ENSG00000134375";"TIMM17A";"translocase of inner mitochondrial membrane 17A";5883;0,291985034942627;"No"
"row_11";"ENSG00000177034";"MTX3";"metaxin 3";6347;0,209325507283211;"No"
"row_12";"ENSG00000135972";"MRPS9";"mitochondrial ribosomal protein S9";6412;0,196779385209084;"No"
"row_13";"ENSG00000140521";"POLG";"DNA polymerase gamma, catalytic subunit";6487;0,184770256280899;"No"
"row_14";"ENSG00000243147";"MRPL33";"mitochondrial ribosomal protein L33";6770;0,150109961628914;"No"
"row_15";"ENSG00000175768";"TOMM5";"translocase of outer mitochondrial membrane 5";6814;0,142944529652596;"No"
"row_16";"ENSG00000137547";"MRPL15";"mitochondrial ribosomal protein L15";7428;0,0816791132092476;"No"
"row_17";"ENSG00000138035";"PNPT1";"polyribonucleotide nucleotidyltransferase 1";7444;0,0797550454735756;"No"
"row_18";"ENSG00000122085";"MTERF4";"mitochondrial transcription termination factor 4";7456;0,079142689704895;"No"
"row_19";"ENSG00000105819";"PMPCB";"peptidase, mitochondrial processing subunit beta";7626;0,0666932538151741;"No"
"row_20";"ENSG00000156026";"MCU";"mitochondrial calcium uniporter";7638;0,065782405436039;"No"
"row_21";"ENSG00000100216";"TOMM22";"translocase of outer mitochondrial membrane 22";7752;0,058026447892189;"No"
"row_22";"ENSG00000113048";"MRPS27";"mitochondrial ribosomal protein S27";7951;0,0459929630160332;"No"
"row_23";"ENSG00000132313";"MRPL35";"mitochondrial ribosomal protein L35";8188;0,0334266014397144;"No"
"row_24";"ENSG00000120333";"MRPS14";"mitochondrial ribosomal protein S14";8261;0,0302255153656006;"No"
"row_25";"ENSG00000214736";"TOMM6";"translocase of outer mitochondrial membrane 6";8456;0,0225043557584286;"No"
"row_26";"ENSG00000180992";"MRPL14";"mitochondrial ribosomal protein L14";8499;0,0204555056989193;"No"
"row_27";"ENSG00000096080";"MRPS18A";"mitochondrial ribosomal protein S18A";8513;0,0201436895877123;"No"
"row_28";"ENSG00000115364";"MRPL19";"mitochondrial ribosomal protein L19";8603;0,0168469045311213;"No"
"row_29";"ENSG00000173726";"TOMM20";"translocase of outer mitochondrial membrane 20";8611;0,0165792647749186;"No"
"row_30";"ENSG00000100347";"SAMM50";"SAMM50 sorting and assembly machinery component";8976;0,00699836062267423;"No"
"row_31";"ENSG00000259494";"MRPL46";"mitochondrial ribosomal protein L46";8990;0,00677165202796459;"No"
"row_32";"ENSG00000171109";"MFN1";"mitofusin 1";9017;0,00620216177776456;"No"
"row_33";"ENSG00000256525";"POLG2";"DNA polymerase gamma 2, accessory subunit";9113;0,00444593420252204;"No"
"row_34";"ENSG00000165487";"MICU2";"mitochondrial calcium uptake 2";9137;0,00399842206388712;"No"
"row_35";"ENSG00000138029";"HADHB";"hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta";9210;0,00303234392777085;"No"
"row_36";"ENSG00000147586";"MRPS28";"mitochondrial ribosomal protein S28";9309;0,00195063045248389;"No"
"row_37";"ENSG00000197912";"SPG7";"SPG7 matrix AAA peptidase subunit, paraplegin";9310;0,00194704358000308;"No"
"row_38";"ENSG00000105197";"TIMM50";"translocase of inner mitochondrial membrane 50";9360;0,00141349236946553;"No"
"row_39";"ENSG00000278845";"MRPL45";"mitochondrial ribosomal protein L45";9393;0,00109515397343785;"No"
"row_40";"ENSG00000185608";"MRPL40";"mitochondrial ribosomal protein L40";9427;0,000846848881337792;"No"
"row_41";"ENSG00000082515";"MRPL22";"mitochondrial ribosomal protein L22";9460;0,000609733804594725;"No"
"row_42";"ENSG00000178694";"NSUN3";"NOP2/Sun RNA methyltransferase 3";9538;0,000243036396568641;"No"
"row_43";"ENSG00000135900";"MRPL44";"mitochondrial ribosomal protein L44";9562;0,000169068182003684;"No"
