"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000183087";"GAS6";"growth arrest specific 6";1230;8,19493103027344;"No"
"row_1";"ENSG00000083896";"YTHDC1";"YTH N6-methyladenosine RNA binding protein C1";1495;6,0796275138855;"No"
"row_2";"ENSG00000135679";"MDM2";"MDM2 proto-oncogene";2695;2,25668907165527;"No"
"row_3";"ENSG00000138376";"BARD1";"BRCA1 associated RING domain 1";2927;1,90131258964539;"No"
"row_4";"ENSG00000108953";"YWHAE";"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon";2939;1,88262891769409;"No"
"row_5";"ENSG00000215817";"ZC3H11B";"zinc finger CCCH-type containing 11B";3199;1,44699430465698;"No"
"row_6";"ENSG00000126226";"PCID2";"PCI domain containing 2";3259;1,34795367717743;"No"
"row_7";"ENSG00000047410";"TPR";"translocated promoter region, nuclear basket protein";3313;1,26518249511719;"No"
"row_8";"ENSG00000060237";"WNK1";"WNK lysine deficient protein kinase 1";3391;1,17584252357483;"No"
"row_9";"ENSG00000165805";"C12orf50";"chromosome 12 open reading frame 50";3770;0,974733531475067;"No"
"row_10";"ENSG00000151461";"UPF2";"UPF2 regulator of nonsense mediated mRNA decay";4360;0,965811371803284;"No"
"row_11";"ENSG00000137770";"CTDSPL2";"CTD small phosphatase like 2";4549;0,832599699497223;"No"
"row_12";"ENSG00000111196";"MAGOHB";"mago homolog B, exon junction complex subunit";4830;0,651658177375793;"No"
"row_13";"ENSG00000204764";"RANBP17";"RAN binding protein 17";4915;0,602880775928497;"No"
"row_14";"ENSG00000116698";"SMG7";"SMG7 nonsense mediated mRNA decay factor";5087;0,528164029121399;"No"
"row_15";"ENSG00000100296";"THOC5";"THO complex subunit 5";5097;0,521758019924164;"No"
"row_16";"ENSG00000157349";"DDX19B";"DEAD-box helicase 19B";5216;0,474815011024475;"No"
"row_17";"ENSG00000198301";"SDAD1";"SDA1 domain containing 1";5223;0,472794204950333;"No"
"row_18";"ENSG00000198742";"SMURF1";"SMAD specific E3 ubiquitin protein ligase 1";5320;0,454490602016449;"No"
"row_19";"ENSG00000100614";"PPM1A";"protein phosphatase, Mg2+/Mn2+ dependent 1A";5405;0,422354876995087;"No"
"row_20";"ENSG00000153201";"RANBP2";"RAN binding protein 2";5479;0,393247365951538;"No"
"row_21";"ENSG00000204536";"CCHCR1";"coiled-coil alpha-helical rod protein 1";5645;0,352088749408722;"No"
"row_22";"ENSG00000179295";"PTPN11";"protein tyrosine phosphatase non-receptor type 11";5669;0,343361467123032;"No"
"row_23";"ENSG00000108349";"CASC3";"CASC3 exon junction complex subunit";5738;0,321309894323349;"No"
"row_24";"ENSG00000151247";"EIF4E";"eukaryotic translation initiation factor 4E";5783;0,311023533344269;"No"
"row_25";"ENSG00000113569";"NUP155";"nucleoporin 155";5863;0,295816570520401;"No"
"row_26";"ENSG00000030066";"NUP160";"nucleoporin 160";5927;0,283269166946411;"No"
"row_27";"ENSG00000124571";"XPO5";"exportin 5";5929;0,282734781503677;"No"
"row_28";"ENSG00000135829";"DHX9";"DExH-box helicase 9";5947;0,279040038585663;"No"
"row_29";"ENSG00000172175";"MALT1";"MALT1 paracaspase";5956;0,276529312133789;"No"
"row_30";"ENSG00000112159";"MDN1";"midasin AAA ATPase 1";5997;0,270798921585083;"No"
"row_31";"ENSG00000077458";"FAM76B";"family with sequence similarity 76 member B";6140;0,240869656205177;"No"
"row_32";"ENSG00000157106";"SMG1";"SMG1 nonsense mediated mRNA decay associated PI3K related kinase";6308;0,211840286850929;"No"
"row_33";"ENSG00000058673";"ZC3H11A";"zinc finger CCCH-type containing 11A";6364;0,205266758799553;"No"
"row_34";"ENSG00000135521";"LTV1";"LTV1 ribosome biogenesis factor";6429;0,194056749343872;"No"
"row_35";"ENSG00000138385";"SSB";"small RNA binding exonuclease protection factor La";6431;0,193924337625504;"No"
"row_36";"ENSG00000184708";"EIF4ENIF1";"eukaryotic translation initiation factor 4E nuclear import factor 1";6509;0,181121453642845;"No"
"row_37";"ENSG00000082898";"XPO1";"exportin 1";6529;0,177684888243675;"No"
"row_38";"ENSG00000079134";"THOC1";"THO complex subunit 1";6607;0,169473484158516;"No"
"row_39";"ENSG00000152104";"PTPN14";"protein tyrosine phosphatase non-receptor type 14";6679;0,15947587788105;"No"
"row_40";"ENSG00000131652";"THOC6";"THO complex subunit 6";6755;0,151157632470131;"No"
"row_41";"ENSG00000173744";"AGFG1";"ArfGAP with FG repeats 1";6796;0,145685464143753;"No"
"row_42";"ENSG00000181555";"SETD2";"SET domain containing 2, histone lysine methyltransferase";6854;0,138609007000923;"No"
"row_43";"ENSG00000111276";"CDKN1B";"cyclin dependent kinase inhibitor 1B";6855;0,138536110520363;"No"
"row_44";"ENSG00000245532";"NEAT1";"nuclear paraspeckle assembly transcript 1";6871;0,136320754885674;"No"
"row_45";"ENSG00000164902";"PHAX";"phosphorylated adaptor for RNA export";7004;0,118206724524498;"No"
"row_46";"ENSG00000165525";"NEMF";"nuclear export mediator factor";7022;0,116137117147446;"No"
"row_47";"ENSG00000082701";"GSK3B";"glycogen synthase kinase 3 beta";7028;0,115736991167068;"No"
"row_48";"ENSG00000127922";"SEM1";"SEM1 26S proteasome subunit";7039;0,114546969532967;"No"
"row_49";"ENSG00000168872";"DDX19A";"DEAD-box helicase 19A";7052;0,11292926967144;"No"
"row_50";"ENSG00000124789";"NUP153";"nucleoporin 153";7144;0,110013194382191;"No"
"row_51";"ENSG00000132953";"XPO4";"exportin 4";7208;0,103154890239239;"No"
"row_52";"ENSG00000163634";"THOC7";"THO complex subunit 7";7451;0,0794269517064095;"No"
"row_53";"ENSG00000125450";"NUP85";"nucleoporin 85";7640;0,0657350644469261;"No"
"row_54";"ENSG00000105329";"TGFB1";"transforming growth factor beta 1";7692;0,0618170201778412;"No"
"row_55";"ENSG00000130227";"XPO7";"exportin 7";7838;0,0510653518140316;"No"
"row_56";"ENSG00000163166";"IWS1";"interacts with SUPT6H, CTD assembly factor 1";7906;0,0466893129050732;"No"
"row_57";"ENSG00000122566";"HNRNPA2B1";"heterogeneous nuclear ribonucleoprotein A2/B1";7945;0,0462117120623589;"No"
"row_58";"ENSG00000187446";"CHP1";"calcineurin like EF-hand protein 1";8011;0,042390264570713;"No"
"row_59";"ENSG00000169180";"XPO6";"exportin 6";8050;0,0407278276979923;"No"
"row_60";"ENSG00000112081";"SRSF3";"serine and arginine rich splicing factor 3";8104;0,0375801622867584;"No"
"row_61";"ENSG00000100227";"POLDIP3";"DNA polymerase delta interacting protein 3";8178;0,0338513776659966;"No"
"row_62";"ENSG00000181163";"NPM1";"nucleophosmin 1";8278;0,0296069625765085;"No"
"row_63";"ENSG00000124207";"CSE1L";"chromosome segregation 1 like";8320;0,0280264150351286;"No"
"row_64";"ENSG00000102898";"NUTF2";"nuclear transport factor 2";8335;0,027303783223033;"No"
"row_65";"ENSG00000152332";"UHMK1";"U2AF homology motif kinase 1";8396;0,0252834409475327;"No"
"row_66";"ENSG00000074356";"NCBP3";"nuclear cap binding subunit 3";8405;0,0250726938247681;"No"
"row_67";"ENSG00000108559";"NUP88";"nucleoporin 88";8410;0,0248721111565828;"No"
"row_68";"ENSG00000160294";"MCM3AP";"minichromosome maintenance complex component 3 associated protein";8415;0,0245530568063259;"No"
"row_69";"ENSG00000136243";"NUP42";"nucleoporin 42";8442;0,0230818912386894;"No"
"row_70";"ENSG00000103275";"UBE2I";"ubiquitin conjugating enzyme E2 I";8459;0,0223952140659094;"No"
"row_71";"ENSG00000120533";"ENY2";"ENY2 transcription and export complex 2 subunit";8491;0,0209945812821388;"No"
"row_72";"ENSG00000135486";"HNRNPA1";"heterogeneous nuclear ribonucleoprotein A1";8546;0,0192546658217907;"No"
"row_73";"ENSG00000124788";"ATXN1";"ataxin 1";8651;0,0150155313313007;"No"
"row_74";"ENSG00000070366";"SMG6";"SMG6 nonsense mediated mRNA decay factor";8732;0,013005836866796;"No"
"row_75";"ENSG00000175793";"SFN";"stratifin";8779;0,0118210138753057;"No"
"row_76";"ENSG00000095319";"NUP188";"nucleoporin 188";8889;0,00918294489383698;"No"
"row_77";"ENSG00000110713";"NUP98";"nucleoporin 98 and 96 precursor";8929;0,00813595484942198;"No"
"row_78";"ENSG00000112739";"PRP4K";"pre-mRNA processing factor kinase PRP4K";8954;0,00752503192052245;"No"
"row_79";"ENSG00000008710";"PKD1";"polycystin 1, transient receptor potential channel interacting";8969;0,00711451517418027;"No"
"row_80";"ENSG00000168710";"AHCYL1";"adenosylhomocysteinase like 1";9336;0,0016981812659651;"No"
"row_81";"ENSG00000136938";"ANP32B";"acidic nuclear phosphoprotein 32 family member B";9543;0,000235227751545608;"No"
"row_82";"ENSG00000091542";"ALKBH5";"alkB homolog 5, RNA demethylase";9556;0,000176588844624348;"No"
"row_83";"ENSG00000100836";"PABPN1";"poly(A) binding protein nuclear 1";9884;0;"No"
