"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000149218";"ENDOD1";"endonuclease domain containing 1";510;118,185638427734;"No"
"row_1";"ENSG00000171552";"BCL2L1";"BCL2 like 1";788;71,9755249023438;"No"
"row_2";"ENSG00000171791";"BCL2";"BCL2 apoptosis regulator";918;59,7652702331543;"No"
"row_3";"ENSG00000145675";"PIK3R1";"phosphoinositide-3-kinase regulatory subunit 1";1053;48,6080436706543;"No"
"row_4";"ENSG00000160049";"DFFA";"DNA fragmentation factor subunit alpha";1566;25,418830871582;"No"
"row_5";"ENSG00000172115";"CYCS";"cytochrome c, somatic";2433;10,4903373718262;"No"
"row_6";"ENSG00000221823";"PPP3R1";"protein phosphatase 3 regulatory subunit B, alpha";2767;7,88037157058716;"No"
"row_7";"ENSG00000188191";"PRKAR1B";"protein kinase cAMP-dependent type I regulatory subunit beta";2783;7,78857326507568;"No"
"row_8";"ENSG00000115008";"IL1A";"interleukin 1 alpha";2992;6,36847114562988;"No"
"row_9";"ENSG00000064012";"CASP8";"caspase 8";3040;6,19096803665161;"No"
"row_10";"ENSG00000173530";"TNFRSF10D";"TNF receptor superfamily member 10d";3082;5,94543647766113;"No"
"row_11";"ENSG00000164305";"CASP3";"caspase 3";3412;4,52549362182617;"No"
"row_12";"ENSG00000169598";"DFFB";"DNA fragmentation factor subunit beta";3600;3,92724800109863;"No"
"row_13";"ENSG00000183943";"PRKX";"protein kinase cAMP-dependent X-linked catalytic subunit";4934;1,45654428005219;"No"
"row_14";"ENSG00000114302";"PRKAR2A";"protein kinase cAMP-dependent type II regulatory subunit alpha";5048;1,37491142749786;"No"
"row_15";"ENSG00000196083";"IL1RAP";"interleukin 1 receptor accessory protein";5198;1,32214307785034;"No"
"row_16";"ENSG00000165059";"PRKACG";"protein kinase cAMP-activated catalytic subunit gamma";5569;0,972389161586761;"No"
"row_17";"ENSG00000137275";"RIPK1";"receptor interacting serine/threonine kinase 1";5766;0,892512083053589;"No"
