"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000143727";"ACP1";"acid phosphatase 1";4693;1,79982173442841;"No"
"row_1";"ENSG00000115825";"PRKD3";"protein kinase D3";5659;0,935895204544067;"No"
"row_2";"ENSG00000179295";"PTPN11";"protein tyrosine phosphatase non-receptor type 11";7864;0,177653074264526;"No"
"row_3";"ENSG00000213341";"CHUK";"component of inhibitor of nuclear factor kappa B kinase complex";8194;0,129798501729965;"No"
"row_4";"ENSG00000109320";"NFKB1";"nuclear factor kappa B subunit 1";8992;0,0412810072302818;"No"
"row_5";"ENSG00000269335";"IKBKG";"inhibitor of nuclear factor kappa B kinase regulatory subunit gamma";11655;-0,144710451364517;"No"
"row_6";"ENSG00000143322";"ABL2";"ABL proto-oncogene 2, non-receptor tyrosine kinase";13033;-0,563967823982239;"No"
"row_7";"ENSG00000105287";"PRKD2";"protein kinase D2";16476;-6,48067140579224;"No"
"row_8";"ENSG00000097007";"ABL1";"ABL proto-oncogene 1, non-receptor tyrosine kinase";16612;-7,24771165847778;"No"
"row_9";"ENSG00000173039";"RELA";"RELA proto-oncogene, NF-kB subunit";17536;-17,409854888916;"Yes"
"row_10";"ENSG00000100906";"NFKBIA";"NFKB inhibitor alpha";18110;-35,1857223510742;"Yes"
"row_11";"ENSG00000104365";"IKBKB";"inhibitor of nuclear factor kappa B kinase subunit beta";18389;-50,9002075195312;"Yes"
"row_12";"ENSG00000184304";"PRKD1";"protein kinase D1";18803;-110,364799499512;"Yes"
"row_13";"ENSG00000197122";"SRC";"SRC proto-oncogene, non-receptor tyrosine kinase";18841;-119,587715148926;"Yes"
"row_14";"ENSG00000149177";"PTPRJ";"protein tyrosine phosphatase receptor type J";19291;-751,449096679688;"Yes"
