"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000143318";"CASQ1";"calsequestrin 1";1832;18,8319492340088;"No"
"row_1";"ENSG00000198626";"RYR2";"ryanodine receptor 2";4019;2,89411520957947;"No"
"row_2";"ENSG00000151062";"CACNA2D4";"calcium voltage-gated channel auxiliary subunit alpha2delta 4";4667;1,82425367832184;"No"
"row_3";"ENSG00000075461";"CACNG4";"calcium voltage-gated channel auxiliary subunit gamma 4";4892;1,5227187871933;"No"
"row_4";"ENSG00000165995";"CACNB2";"calcium voltage-gated channel auxiliary subunit beta 2";5121;1,34941279888153;"No"
"row_5";"ENSG00000118729";"CASQ2";"calsequestrin 2";5883;0,793215930461884;"No"
"row_6";"ENSG00000151067";"CACNA1C";"calcium voltage-gated channel subunit alpha1 C";6438;0,499000668525696;"No"
"row_7";"ENSG00000108878";"CACNG1";"calcium voltage-gated channel auxiliary subunit gamma 1";6991;0,357688844203949;"No"
"row_8";"ENSG00000067191";"CACNB1";"calcium voltage-gated channel auxiliary subunit beta 1";11176;-0,0693860352039337;"No"
"row_9";"ENSG00000182389";"CACNB4";"calcium voltage-gated channel auxiliary subunit beta 4";11640;-0,141380831599236;"No"
"row_10";"ENSG00000186439";"TRDN";"triadin";12146;-0,227907419204712;"No"
"row_11";"ENSG00000157445";"CACNA2D3";"calcium voltage-gated channel auxiliary subunit alpha2delta 3";12898;-0,493270307779312;"No"
"row_12";"ENSG00000075429";"CACNG5";"calcium voltage-gated channel auxiliary subunit gamma 5";13402;-0,642612814903259;"No"
"row_13";"ENSG00000007402";"CACNA2D2";"calcium voltage-gated channel auxiliary subunit alpha2delta 2";16734;-8,09730529785156;"No"
"row_14";"ENSG00000167535";"CACNB3";"calcium voltage-gated channel auxiliary subunit beta 3";17522;-17,1657485961914;"No"
"row_15";"ENSG00000105605";"CACNG7";"calcium voltage-gated channel auxiliary subunit gamma 7";18471;-58,2675476074219;"Yes"
"row_16";"ENSG00000130433";"CACNG6";"calcium voltage-gated channel auxiliary subunit gamma 6";18943;-148,482208251953;"Yes"
"row_17";"ENSG00000153956";"CACNA2D1";"calcium voltage-gated channel auxiliary subunit alpha2delta 1";19189;-358,521240234375;"Yes"
"row_18";"ENSG00000198363";"ASPH";"aspartate beta-hydroxylase";19294;-796,467224121094;"Yes"
