"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000186469";"GNG2";"G protein subunit gamma 2";3870;3,27853178977966;"No"
"row_1";"ENSG00000127588";"GNG13";"G protein subunit gamma 13";4283;2,36685061454773;"No"
"row_2";"ENSG00000127928";"GNGT1";"G protein subunit gamma transducin 1";6144;0,617023050785065;"No"
"row_3";"ENSG00000174021";"GNG5";"G protein subunit gamma 5";7397;0,316876232624054;"No"
"row_4";"ENSG00000176533";"GNG7";"G protein subunit gamma 7";7752;0,208623677492142;"No"
"row_5";"ENSG00000167083";"GNGT2";"G protein subunit gamma transducin 2";8017;0,147306203842163;"No"
"row_6";"ENSG00000213341";"CHUK";"component of inhibitor of nuclear factor kappa B kinase complex";8194;0,129798501729965;"No"
"row_7";"ENSG00000109320";"NFKB1";"nuclear factor kappa B subunit 1";8992;0,0412810072302818;"No"
"row_8";"ENSG00000051382";"PIK3CB";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta";9309;0,0184937622398138;"No"
"row_9";"ENSG00000111664";"GNB3";"G protein subunit beta 3";9789;0,000364392646588385;"No"
"row_10";"ENSG00000121879";"PIK3CA";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha";9802;0,000236296429648064;"No"
"row_11";"ENSG00000269335";"IKBKG";"inhibitor of nuclear factor kappa B kinase regulatory subunit gamma";11655;-0,144710451364517;"No"
"row_12";"ENSG00000078369";"GNB1";"G protein subunit beta 1";12540;-0,336058229207993;"No"
"row_13";"ENSG00000167414";"GNG8";"G protein subunit gamma 8";13445;-0,642612814903259;"No"
"row_14";"ENSG00000172354";"GNB2";"G protein subunit beta 2";13631;-0,667929112911224;"No"
"row_15";"ENSG00000108691";"CCL2";"C-C motif chemokine ligand 2";14544;-1,51127803325653;"No"
"row_16";"ENSG00000168243";"GNG4";"G protein subunit gamma 4";15856;-3,8750159740448;"No"
"row_17";"ENSG00000142208";"AKT1";"AKT serine/threonine kinase 1";17315;-14,0963220596313;"Yes"
"row_18";"ENSG00000117020";"AKT3";"AKT serine/threonine kinase 3";17521;-17,1381034851074;"Yes"
"row_19";"ENSG00000173039";"RELA";"RELA proto-oncogene, NF-kB subunit";17536;-17,409854888916;"Yes"
"row_20";"ENSG00000172380";"GNG12";"G protein subunit gamma 12";17851;-25,4440994262695;"Yes"
"row_21";"ENSG00000100906";"NFKBIA";"NFKB inhibitor alpha";18110;-35,1857223510742;"Yes"
"row_22";"ENSG00000105221";"AKT2";"AKT serine/threonine kinase 2";18310;-45,3302307128906;"Yes"
"row_23";"ENSG00000104365";"IKBKB";"inhibitor of nuclear factor kappa B kinase subunit beta";18389;-50,9002075195312;"Yes"
"row_24";"ENSG00000069966";"GNB5";"G protein subunit beta 5";18428;-53,9550971984863;"Yes"
"row_25";"ENSG00000171608";"PIK3CD";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta";18637;-76,6582641601562;"Yes"
"row_26";"ENSG00000114450";"GNB4";"G protein subunit beta 4";19065;-216,031158447266;"Yes"
