"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000149273";"RPS3";"ribosomal protein S3";333;186,669662475586;"Yes"
"row_1";"ENSG00000071082";"RPL31";"ribosomal protein L31";347;179,115386962891;"Yes"
"row_2";"ENSG00000171858";"RPS21";"ribosomal protein S21";481;124,246826171875;"Yes"
"row_3";"ENSG00000233927";"RPS28";"ribosomal protein S28";829;67,1948547363281;"Yes"
"row_4";"ENSG00000164587";"RPS14";"ribosomal protein S14";855;64,5485916137695;"Yes"
"row_5";"ENSG00000109475";"RPL34";"ribosomal protein L34";947;57,4102172851562;"Yes"
"row_6";"ENSG00000197958";"RPL12";"ribosomal protein L12";955;56,3880805969238;"Yes"
"row_7";"ENSG00000163682";"RPL9";"ribosomal protein L9";1054;48,594051361084;"Yes"
"row_8";"ENSG00000122026";"RPL21";"ribosomal protein L21";1060;48,0872421264648;"Yes"
"row_9";"ENSG00000145425";"RPS3A";"ribosomal protein S3A";1205;39,0391120910645;"Yes"
"row_10";"ENSG00000188846";"RPL14";"ribosomal protein L14";1335;33,3804931640625;"Yes"
"row_11";"ENSG00000112306";"RPS12";"ribosomal protein S12";1345;33,0596733093262;"Yes"
"row_12";"ENSG00000143947";"RPS27A";"ribosomal protein S27a";1525;26,6491832733154;"Yes"
"row_13";"ENSG00000142676";"RPL11";"ribosomal protein L11";1528;26,5659809112549;"Yes"
"row_14";"ENSG00000177954";"RPS27";"ribosomal protein S27";1649;23,2030124664307;"Yes"
"row_15";"ENSG00000140988";"RPS2";"ribosomal protein S2";1692;22,3284091949463;"Yes"
"row_16";"ENSG00000142937";"RPS8";"ribosomal protein S8";1701;22,0125370025635;"Yes"
"row_17";"ENSG00000171863";"RPS7";"ribosomal protein S7";1736;21,053804397583;"Yes"
"row_18";"ENSG00000130255";"RPL36";"ribosomal protein L36";1772;20,2454376220703;"Yes"
"row_19";"ENSG00000114391";"RPL24";"ribosomal protein L24";1785;20,026216506958;"Yes"
"row_20";"ENSG00000145592";"RPL37";"ribosomal protein L37";1850;18,486234664917;"Yes"
"row_21";"ENSG00000197756";"RPL37A";"ribosomal protein L37a";1889;17,6267566680908;"Yes"
"row_22";"ENSG00000221983";"UBA52";"ubiquitin A-52 residue ribosomal protein fusion product 1";1972;16,0203132629395;"Yes"
"row_23";"ENSG00000138326";"RPS24";"ribosomal protein S24";2068;14,47682762146;"Yes"
"row_24";"ENSG00000089009";"RPL6";"ribosomal protein L6";2292;11,6922388076782;"Yes"
"row_25";"ENSG00000118181";"RPS25";"ribosomal protein S25";2476;10,1181020736694;"Yes"
"row_26";"ENSG00000136942";"RPL35";"ribosomal protein L35";2514;9,78848934173584;"Yes"
"row_27";"ENSG00000115268";"RPS15";"ribosomal protein S15";2559;9,52203845977783;"Yes"
"row_28";"ENSG00000198755";"RPL10A";"ribosomal protein L10a";2696;8,35003662109375;"Yes"
"row_29";"ENSG00000116251";"RPL22";"ribosomal protein L22";2721;8,18799114227295;"Yes"
"row_30";"ENSG00000110700";"RPS13";"ribosomal protein S13";2894;7,00840854644775;"No"
"row_31";"ENSG00000197728";"RPS26";"ribosomal protein S26";3231;5,30223417282104;"No"
"row_32";"ENSG00000162244";"RPL29";"ribosomal protein L29";3355;4,76307725906372;"No"
"row_33";"ENSG00000125691";"RPL23";"ribosomal protein L23";3511;4,24300098419189;"No"
"row_34";"ENSG00000186468";"RPS23";"ribosomal protein S23";3652;3,8239860534668;"No"
"row_35";"ENSG00000100316";"RPL3";"ribosomal protein L3";3869;3,28065705299377;"No"
"row_36";"ENSG00000089157";"RPLP0";"ribosomal protein lateral stalk subunit P0";3872;3,27635526657104;"No"
"row_37";"ENSG00000167526";"RPL13";"ribosomal protein L13";3964;3,01649212837219;"No"
"row_38";"ENSG00000105640";"RPL18A";"ribosomal protein L18a";4077;2,79138374328613;"No"
"row_39";"ENSG00000134419";"RPS15A";"ribosomal protein S15a";4292;2,35211563110352;"No"
"row_40";"ENSG00000144713";"RPL32";"ribosomal protein L32";4380;2,26455283164978;"No"
"row_41";"ENSG00000177600";"RPLP2";"ribosomal protein lateral stalk subunit P2";4474;2,10050058364868;"No"
"row_42";"ENSG00000148303";"RPL7A";"ribosomal protein L7a";4655;1,83532965183258;"No"
"row_43";"ENSG00000131469";"RPL27";"ribosomal protein L27";5636;0,959571897983551;"No"
"row_44";"ENSG00000147604";"RPL7";"ribosomal protein L7";5908;0,78660660982132;"No"
"row_45";"ENSG00000166441";"RPL27A";"ribosomal protein L27a";6013;0,695146501064301;"No"
"row_46";"ENSG00000122406";"RPL5";"ribosomal protein L5";6372;0,506747007369995;"No"
"row_47";"ENSG00000149806";"FAU";"FAU ubiquitin like and ribosomal protein S30 fusion";6676;0,48446998000145;"No"
"row_48";"ENSG00000172809";"RPL38";"ribosomal protein L38";6687;0,476421356201172;"No"
"row_49";"ENSG00000198034";"RPS4X";"ribosomal protein S4 X-linked";6768;0,438115477561951;"No"
"row_50";"ENSG00000170889";"RPS9";"ribosomal protein S9";6828;0,421033889055252;"No"
"row_51";"ENSG00000174444";"RPL4";"ribosomal protein L4";7986;0,148679852485657;"No"
"row_52";"ENSG00000168028";"RPSA";"ribosomal protein SA";9092;0,0352823026478291;"No"
"row_53";"ENSG00000156482";"RPL30";"ribosomal protein L30";9203;0,0255175903439522;"No"
"row_54";"ENSG00000108298";"RPL19";"ribosomal protein L19";9319;0,017593439668417;"No"
"row_55";"ENSG00000161970";"RPL26";"ribosomal protein L26";9535;0,00569378025829792;"No"
"row_56";"ENSG00000182774";"RPS17";"ribosomal protein S17";9847;4,28542334702797e-05;"No"
"row_57";"ENSG00000008988";"RPS20";"ribosomal protein S20";9929;-5,37094965693541e-05;"No"
"row_58";"ENSG00000198918";"RPL39";"ribosomal protein L39";10019;-0,000443961995188147;"No"
"row_59";"ENSG00000137818";"RPLP1";"ribosomal protein lateral stalk subunit P1";10140;-0,00179057731293142;"No"
"row_60";"ENSG00000213741";"RPS29";"ribosomal protein S29";10223;-0,00338269048370421;"No"
"row_61";"ENSG00000198242";"RPL23A";"ribosomal protein L23a";10283;-0,005039616022259;"No"
"row_62";"ENSG00000174748";"RPL15";"ribosomal protein L15";10627;-0,0175511632114649;"No"
"row_63";"ENSG00000231500";"RPS18";"ribosomal protein S18";10904;-0,0398362502455711;"No"
"row_64";"ENSG00000229117";"RPL41";"ribosomal protein L41";11012;-0,0501521974802017;"No"
"row_65";"ENSG00000063177";"RPL18";"ribosomal protein L18";12961;-0,526240646839142;"No"
"row_66";"ENSG00000142541";"RPL13A";"ribosomal protein L13a";12998;-0,541161477565765;"No"
