"KEGG_ID";"Description";"Gene_Ratio";"BgRatio";"pvalue";"padj";"gene_id";"gene_name";"kegg_id";"count"
"hsa04390";"Hippo signaling pathway";"46/1168";"157/8567";1,88654417361354e-07;6,48971195723058e-05;"ENSG00000007866/ENSG00000039068/ENSG00000067606/ENSG00000068028/ENSG00000075711/ENSG00000078900/ENSG00000081051/ENSG00000081059/ENSG00000082458/ENSG00000085741/ENSG00000101144/ENSG00000109321/ENSG00000111186/ENSG00000114251/ENSG00000115596/ENSG00000115738/ENSG00000116985/ENSG00000118971/ENSG00000124171/ENSG00000125378/ENSG00000125845/ENSG00000126016/ENSG00000129474/ENSG00000131899/ENSG00000135925/ENSG00000137693/ENSG00000137713/ENSG00000138795/ENSG00000139926/ENSG00000140807/ENSG00000142279/ENSG00000143514/ENSG00000143869/ENSG00000148204/ENSG00000150457/ENSG00000150672/ENSG00000152284/ENSG00000155760/ENSG00000156475/ENSG00000161202/ENSG00000163251/ENSG00000166913/ENSG00000168646/ENSG00000169884/ENSG00000174804/ENSG00000183682";"TEAD3/CDH1/PRKCZ/RASSF1/DLG1/TP73/AFP/TCF7/DLG3/WNT11/BMP7/AREG/WNT5B/WNT5A/WNT6/ID2/BMP8B/CCND2/PARD6B/BMP4/BMP2/AMOT/AJUBA/LLGL1/WNT10A/YAP1/PPP2R1B/LEF1/FRMD6/NKD1/WTIP/TP53BP2/GDF7/CRB2/LATS2/DLG2/TCF7L1/FZD7/PPP2R2B/DVL3/FZD5/YWHAB/AXIN2/WNT10B/FZD4/BMP8A";"hsa:7005/hsa:999/hsa:5590/hsa:11186/hsa:1739/hsa:7161/hsa:174/hsa:6932/hsa:1741/hsa:7481/hsa:655/hsa:374/hsa:81029/hsa:7474/hsa:7475/hsa:3398/hsa:656/hsa:894/hsa:84612/hsa:652/hsa:650/hsa:154796/hsa:84962/hsa:3996/hsa:80326/hsa:10413/hsa:5519/hsa:51176/hsa:122786/hsa:85407/hsa:126374/hsa:7159/hsa:151449/hsa:286204/hsa:26524/hsa:1740/hsa:83439/hsa:8324/hsa:5521/hsa:1857/hsa:7855/hsa:7529/hsa:8313/hsa:7480/hsa:8322/hsa:353500";46
"hsa04820";"Cytoskeleton in muscle cells";"56/1168";"233/8567";1,03529869628869e-05;0,00178071375761654;"ENSG00000057294/ENSG00000077942/ENSG00000078814/ENSG00000092758/ENSG00000096696/ENSG00000100592/ENSG00000101400/ENSG00000101680/ENSG00000105357/ENSG00000106631/ENSG00000107438/ENSG00000108821/ENSG00000113368/ENSG00000114854/ENSG00000115414/ENSG00000116962/ENSG00000118194/ENSG00000124145/ENSG00000128591/ENSG00000130598/ENSG00000131504/ENSG00000133026/ENSG00000133055/ENSG00000133805/ENSG00000134755/ENSG00000134769/ENSG00000135424/ENSG00000137801/ENSG00000137877/ENSG00000139734/ENSG00000142449/ENSG00000144668/ENSG00000145362/ENSG00000146122/ENSG00000148677/ENSG00000151150/ENSG00000154553/ENSG00000155657/ENSG00000159173/ENSG00000160808/ENSG00000161791/ENSG00000163017/ENSG00000163399/ENSG00000163520/ENSG00000168542/ENSG00000169439/ENSG00000171914/ENSG00000172164/ENSG00000172399/ENSG00000175084/ENSG00000176438/ENSG00000182492/ENSG00000183091/ENSG00000183386/ENSG00000198947/ENSG00000213949";"PKP2/FBLN1/MYH7B/COL9A3/DSP/DAAM1/SNTA1/LAMA1/MYH14/MYL7/PDLIM1/COL1A1/LMNB1/TNNC1/FN1/NID1/TNNT2/SDC4/FLNC/TNNI2/DIAPH1/MYH10/MYBPH/AMPD3/DSC2/DTNA/ITGA7/THBS1/SPTBN5/DIAPH3/FBN3/ITGA9/ANK2/DAAM2/ANKRD1/ANK3/PDLIM3/TTN/TNNI1/MYL3/FMNL3/ACTG2/ATP1A1/FBLN2/COL3A1/SDC2/TLN2/SNTB1/MYOZ2/DES/SYNE3/BGN/NEB/FHL3/DMD/ITGA1";"hsa:5318/hsa:2192/hsa:57644/hsa:1299/hsa:1832/hsa:23002/hsa:6640/hsa:284217/hsa:79784/hsa:58498/hsa:9124/hsa:1277/hsa:4001/hsa:7134/hsa:2335/hsa:4811/hsa:7139/hsa:6385/hsa:2318/hsa:7136/hsa:1729/hsa:4628/hsa:4608/hsa:272/hsa:1824/hsa:1837/hsa:3679/hsa:7057/hsa:51332/hsa:81624/hsa:84467/hsa:3680/hsa:287/hsa:23500/hsa:27063/hsa:288/hsa:27295/hsa:7273/hsa:7135/hsa:4634/hsa:91010/hsa:72/hsa:476/hsa:2199/hsa:1281/hsa:6383/hsa:83660/hsa:6641/hsa:51778/hsa:1674/hsa:161176/hsa:633/hsa:4703/hsa:2275/hsa:1756/hsa:3672";56
"hsa04975";"Fat digestion and absorption";"17/1168";"43/8567";2,19644167549733e-05;0,00251858645457027;"ENSG00000015520/ENSG00000062282/ENSG00000075239/ENSG00000084674/ENSG00000106384/ENSG00000110244/ENSG00000118137/ENSG00000120437/ENSG00000123739/ENSG00000138308/ENSG00000138823/ENSG00000162407/ENSG00000163586/ENSG00000187021/ENSG00000188257/ENSG00000204310/ENSG00000266200";"NPC1L1/DGAT2/ACAT1/APOB/MOGAT3/APOA4/APOA1/ACAT2/PLA2G12A/PLA2G12B/MTTP/PLPP3/FABP1/PNLIPRP1/PLA2G2A/AGPAT1/PNLIPRP2";"hsa:29881/hsa:84649/hsa:38/hsa:338/hsa:346606/hsa:337/hsa:335/hsa:39/hsa:81579/hsa:84647/hsa:4547/hsa:8613/hsa:2168/hsa:5407/hsa:5320/hsa:10554/hsa:5408";17
"hsa04977";"Vitamin digestion and absorption";"12/1168";"26/8567";5,93580466560693e-05;0,00510479201242196;"ENSG00000076351/ENSG00000084674/ENSG00000101276/ENSG00000107611/ENSG00000110244/ENSG00000117479/ENSG00000118137/ENSG00000135917/ENSG00000163803/ENSG00000166126/ENSG00000170482/ENSG00000173638";"SLC46A1/APOB/SLC52A3/CUBN/APOA4/SLC19A2/APOA1/SLC19A3/PLB1/AMN/SLC23A1/SLC19A1";"hsa:113235/hsa:338/hsa:113278/hsa:8029/hsa:337/hsa:10560/hsa:335/hsa:80704/hsa:151056/hsa:81693/hsa:9963/hsa:6573";12
"hsa04979";"Cholesterol metabolism";"18/1168";"51/8567";7,54423176646318e-05;0,00519043145532667;"ENSG00000007944/ENSG00000081479/ENSG00000084674/ENSG00000100979/ENSG00000101670/ENSG00000110244/ENSG00000110245/ENSG00000118137/ENSG00000124164/ENSG00000130203/ENSG00000130208/ENSG00000134243/ENSG00000135929/ENSG00000158874/ENSG00000166035/ENSG00000167780/ENSG00000169174/ENSG00000213398";"MYLIP/LRP2/APOB/PLTP/LIPG/APOA4/APOC3/APOA1/VAPB/APOE/APOC1/SORT1/CYP27A1/APOA2/LIPC/SOAT2/PCSK9/LCAT";"hsa:29116/hsa:4036/hsa:338/hsa:5360/hsa:9388/hsa:337/hsa:345/hsa:335/hsa:9217/hsa:348/hsa:341/hsa:6272/hsa:1593/hsa:336/hsa:3990/hsa:8435/hsa:255738/hsa:3931";18
"hsa04974";"Protein digestion and absorption";"27/1168";"103/8567";0,000475506166121624;0,024609198721969;"ENSG00000010438/ENSG00000021488/ENSG00000066230/ENSG00000088386/ENSG00000092068/ENSG00000092758/ENSG00000106688/ENSG00000108821/ENSG00000111799/ENSG00000112394/ENSG00000112818/ENSG00000122121/ENSG00000123643/ENSG00000137509/ENSG00000138079/ENSG00000139219/ENSG00000141086/ENSG00000155465/ENSG00000158516/ENSG00000163399/ENSG00000164626/ENSG00000168542/ENSG00000171812/ENSG00000174358/ENSG00000175538/ENSG00000197635/ENSG00000215018";"PRSS3/SLC7A9/SLC9A3/SLC15A1/SLC7A8/COL9A3/SLC1A1/COL1A1/COL12A1/SLC16A10/MEP1A/XPNPEP2/SLC36A1/PRCP/SLC3A1/COL2A1/CTRL/SLC7A7/CPA2/ATP1A1/KCNK5/COL3A1/COL8A2/SLC6A19/KCNE3/DPP4/COL28A1";"hsa:5646/hsa:11136/hsa:6550/hsa:6564/hsa:23428/hsa:1299/hsa:6505/hsa:1277/hsa:1303/hsa:117247/hsa:4224/hsa:7512/hsa:206358/hsa:5547/hsa:6519/hsa:1280/hsa:1506/hsa:9056/hsa:1358/hsa:476/hsa:8645/hsa:1281/hsa:1296/hsa:340024/hsa:10008/hsa:1803/hsa:340267";27
"hsa05217";"Basal cell carcinoma";"19/1168";"63/8567";0,000500768578644718;0,024609198721969;"ENSG00000030110/ENSG00000081059/ENSG00000085741/ENSG00000111186/ENSG00000114251/ENSG00000115596/ENSG00000116717/ENSG00000125378/ENSG00000125845/ENSG00000130222/ENSG00000135925/ENSG00000138795/ENSG00000152284/ENSG00000155760/ENSG00000161202/ENSG00000163251/ENSG00000168646/ENSG00000169884/ENSG00000174804";"BAK1/TCF7/WNT11/WNT5B/WNT5A/WNT6/GADD45A/BMP4/BMP2/GADD45G/WNT10A/LEF1/TCF7L1/FZD7/DVL3/FZD5/AXIN2/WNT10B/FZD4";"hsa:578/hsa:6932/hsa:7481/hsa:81029/hsa:7474/hsa:7475/hsa:1647/hsa:652/hsa:650/hsa:10912/hsa:80326/hsa:51176/hsa:83439/hsa:8324/hsa:1857/hsa:7855/hsa:8313/hsa:7480/hsa:8322";19
"hsa04530";"Tight junction";"39/1168";"170/8567";0,000604859460880468;0,0260089568178601;"ENSG00000001626/ENSG00000067606/ENSG00000075711/ENSG00000082458/ENSG00000095015/ENSG00000105357/ENSG00000106526/ENSG00000109062/ENSG00000109756/ENSG00000114019/ENSG00000115091/ENSG00000116473/ENSG00000118680/ENSG00000119139/ENSG00000124171/ENSG00000126016/ENSG00000128849/ENSG00000130396/ENSG00000130545/ENSG00000131791/ENSG00000131899/ENSG00000133026/ENSG00000137710/ENSG00000137713/ENSG00000140832/ENSG00000143375/ENSG00000150672/ENSG00000151276/ENSG00000152939/ENSG00000156475/ENSG00000157388/ENSG00000158769/ENSG00000163466/ENSG00000164007/ENSG00000166025/ENSG00000181885/ENSG00000184697/ENSG00000189143/ENSG00000197822";"CFTR/PRKCZ/DLG1/DLG3/MAP3K1/MYH14/ACTR3C/SLC9A3R1/RAPGEF2/AMOTL2/ACTR3/RAP1A/MYL12B/TJP2/PARD6B/AMOT/CGNL1/AFDN/CRB3/PRKAB2/LLGL1/MYH10/RDX/PPP2R1B/MARVELD3/CGN/DLG2/MAGI1/MARVELD2/PPP2R2B/CACNA1D/F11R/ARPC2/CLDN19/AMOTL1/CLDN7/CLDN6/CLDN4/OCLN";"hsa:1080/hsa:5590/hsa:1739/hsa:1741/hsa:4214/hsa:79784/hsa:653857/hsa:9368/hsa:9693/hsa:51421/hsa:10096/hsa:5906/hsa:103910/hsa:9414/hsa:84612/hsa:154796/hsa:84952/hsa:4301/hsa:92359/hsa:5565/hsa:3996/hsa:4628/hsa:5962/hsa:5519/hsa:91862/hsa:57530/hsa:1740/hsa:9223/hsa:153562/hsa:5521/hsa:776/hsa:50848/hsa:10109/hsa:149461/hsa:154810/hsa:1366/hsa:9074/hsa:1364/hsa:100506658";39
"hsa04015";"Rap1 signaling pathway";"45/1168";"211/8567";0,00125132685820318;0,0460006344349448;"ENSG00000006451/ENSG00000039068/ENSG00000049130/ENSG00000064547/ENSG00000066468/ENSG00000067606/ENSG00000068078/ENSG00000087258/ENSG00000087460/ENSG00000099617/ENSG00000100311/ENSG00000109756/ENSG00000112062/ENSG00000112715/ENSG00000113721/ENSG00000116473/ENSG00000118972/ENSG00000119630/ENSG00000124171/ENSG00000124181/ENSG00000130396/ENSG00000133703/ENSG00000134853/ENSG00000136237/ENSG00000137801/ENSG00000141293/ENSG00000144118/ENSG00000145675/ENSG00000149295/ENSG00000151276/ENSG00000152689/ENSG00000154188/ENSG00000156427/ENSG00000156711/ENSG00000160867/ENSG00000169220/ENSG00000169242/ENSG00000169750/ENSG00000169860/ENSG00000171105/ENSG00000171914/ENSG00000182578/ENSG00000182621/ENSG00000197555/ENSG00000273079";"RALA/CDH1/KITLG/LPAR2/FGFR2/PRKCZ/FGFR3/GNAO1/GNAS/EFNA2/PDGFB/RAPGEF2/MAPK14/VEGFA/PDGFRB/RAP1A/FGF23/PGF/PARD6B/PLCG1/AFDN/KRAS/PDGFRA/RAPGEF5/THBS1/SKAP1/RALB/PIK3R1/DRD2/MAGI1/RASGRP3/ANGPT1/FGF18/MAPK13/FGFR4/RGS14/EFNA1/RAC3/P2RY1/INSR/TLN2/CSF1R/PLCB1/SIPA1L1/GRIN2B";"hsa:5898/hsa:999/hsa:4254/hsa:9170/hsa:2263/hsa:5590/hsa:2261/hsa:2775/hsa:2778/hsa:1943/hsa:5155/hsa:9693/hsa:1432/hsa:7422/hsa:5159/hsa:5906/hsa:8074/hsa:5228/hsa:84612/hsa:5335/hsa:4301/hsa:3845/hsa:5156/hsa:9771/hsa:7057/hsa:8631/hsa:5899/hsa:5295/hsa:1813/hsa:9223/hsa:25780/hsa:284/hsa:8817/hsa:5603/hsa:2264/hsa:10636/hsa:1942/hsa:5881/hsa:5028/hsa:3643/hsa:83660/hsa:1436/hsa:23236/hsa:26037/hsa:2904";45
"hsa05165";"Human papillomavirus infection";"65/1168";"332/8567";0,00133722774520188;0,0460006344349448;"ENSG00000030110/ENSG00000060566/ENSG00000066027/ENSG00000067606/ENSG00000074181/ENSG00000075711/ENSG00000081059/ENSG00000082458/ENSG00000085741/ENSG00000087460/ENSG00000091128/ENSG00000091136/ENSG00000092758/ENSG00000100060/ENSG00000101680/ENSG00000105810/ENSG00000105929/ENSG00000108821/ENSG00000109062/ENSG00000109072/ENSG00000111186/ENSG00000111276/ENSG00000112715/ENSG00000113721/ENSG00000114251/ENSG00000114315/ENSG00000115414/ENSG00000115596/ENSG00000118971/ENSG00000120332/ENSG00000124171/ENSG00000130545/ENSG00000131899/ENSG00000133703/ENSG00000135424/ENSG00000135862/ENSG00000135925/ENSG00000137713/ENSG00000137801/ENSG00000139219/ENSG00000144668/ENSG00000145386/ENSG00000145675/ENSG00000146592/ENSG00000150672/ENSG00000150907/ENSG00000151276/ENSG00000152284/ENSG00000155760/ENSG00000156475/ENSG00000157601/ENSG00000157613/ENSG00000161202/ENSG00000163251/ENSG00000168646/ENSG00000169884/ENSG00000174804/ENSG00000183486/ENSG00000187608/ENSG00000196591/ENSG00000196878/ENSG00000204525/ENSG00000213928/ENSG00000213949/ENSG00000234745";"BAK1/CREB3L3/PPP2R5A/PRKCZ/NOTCH3/DLG1/TCF7/DLG3/WNT11/GNAS/LAMB4/LAMB1/COL9A3/MFNG/LAMA1/CDK6/ATP6V0A4/COL1A1/SLC9A3R1/VTN/WNT5B/CDKN1B/VEGFA/PDGFRB/WNT5A/HES1/FN1/WNT6/CCND2/TNN/PARD6B/CRB3/LLGL1/KRAS/ITGA7/LAMC1/WNT10A/PPP2R1B/THBS1/COL2A1/ITGA9/CCNA2/PIK3R1/CREB5/DLG2/FOXO1/MAGI1/TCF7L1/FZD7/PPP2R2B/MX1/CREB3L1/DVL3/FZD5/AXIN2/WNT10B/FZD4/MX2/ISG15/HDAC2/LAMB3/HLA-C/IRF9/ITGA1/HLA-B";"hsa:578/hsa:84699/hsa:5525/hsa:5590/hsa:4854/hsa:1739/hsa:6932/hsa:1741/hsa:7481/hsa:2778/hsa:22798/hsa:3912/hsa:1299/hsa:4242/hsa:284217/hsa:1021/hsa:50617/hsa:1277/hsa:9368/hsa:7448/hsa:81029/hsa:1027/hsa:7422/hsa:5159/hsa:7474/hsa:3280/hsa:2335/hsa:7475/hsa:894/hsa:63923/hsa:84612/hsa:92359/hsa:3996/hsa:3845/hsa:3679/hsa:3915/hsa:80326/hsa:5519/hsa:7057/hsa:1280/hsa:3680/hsa:890/hsa:5295/hsa:9586/hsa:1740/hsa:2308/hsa:9223/hsa:83439/hsa:8324/hsa:5521/hsa:4599/hsa:90993/hsa:1857/hsa:7855/hsa:8313/hsa:7480/hsa:8322/hsa:4600/hsa:9636/hsa:3066/hsa:3914/hsa:3107/hsa:10379/hsa:3672/hsa:3106";65
