"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000213281";"NRAS";"NRAS proto-oncogene, GTPase";37;946,076599121094;"Yes"
"row_1";"ENSG00000102882";"MAPK3";"mitogen-activated protein kinase 3";306;147,123657226562;"Yes"
"row_2";"ENSG00000100311";"PDGFB";"platelet derived growth factor subunit B";1228;24,6600952148438;"No"
"row_3";"ENSG00000177885";"GRB2";"growth factor receptor bound protein 2";2715;5,89639520645142;"No"
"row_4";"ENSG00000132155";"RAF1";"Raf-1 proto-oncogene, serine/threonine kinase";2969;4,78774356842041;"No"
"row_5";"ENSG00000197461";"PDGFA";"platelet derived growth factor subunit A";3112;4,2309308052063;"No"
"row_6";"ENSG00000113721";"PDGFRB";"platelet derived growth factor receptor beta";4065;2,19708895683289;"No"
"row_7";"ENSG00000078061";"ARAF";"A-Raf proto-oncogene, serine/threonine kinase";8150;0,0843598768115044;"No"
"row_8";"ENSG00000126934";"MAP2K2";"mitogen-activated protein kinase kinase 2";8488;0,0664116218686104;"No"
"row_9";"ENSG00000100485";"SOS2";"SOS Ras/Rho guanine nucleotide exchange factor 2";8538;0,0610651709139347;"No"
"row_10";"ENSG00000115904";"SOS1";"SOS Ras/Rac guanine nucleotide exchange factor 1";8908;0,028352577239275;"No"
"row_11";"ENSG00000133703";"KRAS";"KRAS proto-oncogene, GTPase";9998;-0,00277220294810832;"No"
"row_12";"ENSG00000100030";"MAPK1";"mitogen-activated protein kinase 1";11807;-0,219381988048553;"No"
"row_13";"ENSG00000157764";"BRAF";"B-Raf proto-oncogene, serine/threonine kinase";12334;-0,321033328771591;"No"
"row_14";"ENSG00000169032";"MAP2K1";"mitogen-activated protein kinase kinase 1";15389;-3,49613642692566;"No"
"row_15";"ENSG00000134853";"PDGFRA";"platelet derived growth factor receptor alpha";16571;-9,30160427093506;"No"
