"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000175104";"TRAF6";"TNF receptor associated factor 6";4482;0,589461326599121;"No"
"row_1";"ENSG00000076984";"MAP2K7";"mitogen-activated protein kinase kinase 7";4693;0,479282557964325;"No"
"row_2";"ENSG00000177606";"JUN";"Jun proto-oncogene, AP-1 transcription factor subunit";5148;0,329008728265762;"No"
"row_3";"ENSG00000100324";"TAB1";"TGF-beta activated kinase 1 (MAP3K7) binding protein 1";6570;0,105581820011139;"No"
"row_4";"ENSG00000135341";"MAP3K7";"mitogen-activated protein kinase kinase kinase 7";6634;0,0990957021713257;"No"
"row_5";"ENSG00000065559";"MAP2K4";"mitogen-activated protein kinase kinase 4";27410;-0,000316724966978654;"No"
"row_6";"ENSG00000055208";"TAB2";"TGF-beta activated kinase 1 (MAP3K7) binding protein 2";27974;-0,00664025591686368;"No"
"row_7";"ENSG00000050748";"MAPK9";"mitogen-activated protein kinase 9";28344;-0,015562504529953;"No"
"row_8";"ENSG00000198001";"IRAK4";"interleukin 1 receptor associated kinase 4";29134;-0,0530643649399281;"No"
"row_9";"ENSG00000109339";"MAPK10";"mitogen-activated protein kinase 10";29532;-0,0837361440062523;"No"
"row_10";"ENSG00000107643";"MAPK8";"mitogen-activated protein kinase 8";30826;-0,250843375921249;"No"
"row_11";"ENSG00000172936";"MYD88";"MYD88 innate immune signal transduction adaptor";32120;-0,62434047460556;"No"
"row_12";"ENSG00000184216";"IRAK1";"interleukin 1 receptor associated kinase 1";32351;-0,756855428218842;"No"
"row_13";"ENSG00000170345";"FOS";"Fos proto-oncogene, AP-1 transcription factor subunit";33105;-0,886979699134827;"Yes"
"row_14";"ENSG00000196083";"IL1RAP";"interleukin 1 receptor accessory protein";33511;-1,16080713272095;"Yes"
"row_15";"ENSG00000157625";"TAB3";"TGF-beta activated kinase 1 (MAP3K7) binding protein 3";33552;-1,19659531116486;"Yes"
"row_16";"ENSG00000115008";"IL1A";"interleukin 1 alpha";35913;-17,9666900634766;"Yes"
"row_17";"ENSG00000115594";"IL1R1";"interleukin 1 receptor type 1";36044;-24,1740112304688;"Yes"
"row_18";"ENSG00000125538";"IL1B";"interleukin 1 beta";36200;-39,7689743041992;"Yes"
