"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000174775";"HRAS";"HRas proto-oncogene, GTPase";1604;6,54309844970703;"No"
"row_1";"ENSG00000132155";"RAF1";"Raf-1 proto-oncogene, serine/threonine kinase";6290;0,121607854962349;"No"
"row_2";"ENSG00000102882";"MAPK3";"mitogen-activated protein kinase 3";7479;0,0410896353423595;"No"
"row_3";"ENSG00000078061";"ARAF";"A-Raf proto-oncogene, serine/threonine kinase";8449;0,00658145779743791;"No"
"row_4";"ENSG00000133703";"KRAS";"KRAS proto-oncogene, GTPase";27661;-0,00218795705586672;"No"
"row_5";"ENSG00000177885";"GRB2";"growth factor receptor bound protein 2";28385;-0,0168469753116369;"No"
"row_6";"ENSG00000100030";"MAPK1";"mitogen-activated protein kinase 1";28572;-0,0238660648465157;"No"
"row_7";"ENSG00000157764";"BRAF";"B-Raf proto-oncogene, serine/threonine kinase";28989;-0,0443434119224548;"No"
"row_8";"ENSG00000126934";"MAP2K2";"mitogen-activated protein kinase kinase 2";29644;-0,0935507789254189;"No"
"row_9";"ENSG00000169032";"MAP2K1";"mitogen-activated protein kinase kinase 1";30474;-0,190153926610947;"No"
"row_10";"ENSG00000115904";"SOS1";"SOS Ras/Rac guanine nucleotide exchange factor 1";31394;-0,377573013305664;"No"
"row_11";"ENSG00000213281";"NRAS";"NRAS proto-oncogene, GTPase";32419;-0,792990267276764;"No"
"row_12";"ENSG00000100485";"SOS2";"SOS Ras/Rho guanine nucleotide exchange factor 2";33683;-1,37397360801697;"Yes"
"row_13";"ENSG00000163235";"TGFA";"transforming growth factor alpha";35932;-18,6865043640137;"Yes"
"row_14";"ENSG00000146648";"EGFR";"epidermal growth factor receptor";36334;-67,0592193603516;"Yes"
