"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000175104";"TRAF6";"TNF receptor associated factor 6";4482;0,589461326599121;"No"
"row_1";"ENSG00000135341";"MAP3K7";"mitogen-activated protein kinase kinase kinase 7";6634;0,0990957021713257;"No"
"row_2";"ENSG00000150455";"TIRAP";"TIR domain containing adaptor protein";6964;0,0728376284241676;"No"
"row_3";"ENSG00000174125";"TLR1";"toll like receptor 1";7341;0,0487153306603432;"No"
"row_4";"ENSG00000104365";"IKBKB";"inhibitor of nuclear factor kappa B kinase subunit beta";8034;0,0186746045947075;"No"
"row_5";"ENSG00000213341";"CHUK";"component of inhibitor of nuclear factor kappa B kinase complex";8145;0,0150595623999834;"No"
"row_6";"ENSG00000113302";"IL12B";"interleukin 12B";9576;0;"No"
"row_7";"ENSG00000136244";"IL6";"interleukin 6";9996;0;"No"
"row_8";"ENSG00000136869";"TLR4";"toll like receptor 4";10014;0;"No"
"row_9";"ENSG00000168811";"IL12A";"interleukin 12A";10777;0;"No"
"row_10";"ENSG00000232810";"TNF";"tumor necrosis factor";17963;0;"No"
"row_11";"ENSG00000055208";"TAB2";"TGF-beta activated kinase 1 (MAP3K7) binding protein 2";27974;-0,00664025591686368;"No"
"row_12";"ENSG00000173039";"RELA";"RELA proto-oncogene, NF-kB subunit";28353;-0,0157757122069597;"No"
"row_13";"ENSG00000269335";"IKBKG";"inhibitor of nuclear factor kappa B kinase regulatory subunit gamma";28906;-0,0393152125179768;"No"
"row_14";"ENSG00000198001";"IRAK4";"interleukin 1 receptor associated kinase 4";29134;-0,0530643649399281;"No"
"row_15";"ENSG00000172936";"MYD88";"MYD88 innate immune signal transduction adaptor";32120;-0,62434047460556;"Yes"
"row_16";"ENSG00000184216";"IRAK1";"interleukin 1 receptor associated kinase 1";32351;-0,756855428218842;"Yes"
"row_17";"ENSG00000109320";"NFKB1";"nuclear factor kappa B subunit 1";33463;-1,1037380695343;"Yes"
"row_18";"ENSG00000100906";"NFKBIA";"NFKB inhibitor alpha";33487;-1,1370815038681;"Yes"
"row_19";"ENSG00000137462";"TLR2";"toll like receptor 2";36122;-30,2796154022217;"Yes"
