"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000153956";"CACNA2D1";"calcium voltage-gated channel auxiliary subunit alpha2delta 1";11;89,4692840576172;"Yes"
"row_1";"ENSG00000105409";"ATP1A3";"ATPase Na+/K+ transporting subunit alpha 3";157;48,6064949035645;"Yes"
"row_2";"ENSG00000142408";"CACNG8";"calcium voltage-gated channel auxiliary subunit gamma 8";159;48,4733009338379;"Yes"
"row_3";"ENSG00000198626";"RYR2";"ryanodine receptor 2";253;39,9038887023926;"Yes"
"row_4";"ENSG00000182389";"CACNB4";"calcium voltage-gated channel auxiliary subunit beta 4";271;38,5998420715332;"Yes"
"row_5";"ENSG00000007402";"CACNA2D2";"calcium voltage-gated channel auxiliary subunit alpha2delta 2";405;31,0166931152344;"Yes"
"row_6";"ENSG00000129244";"ATP1B2";"ATPase Na+/K+ transporting subunit beta 2";407;31,0166931152344;"Yes"
"row_7";"ENSG00000165995";"CACNB2";"calcium voltage-gated channel auxiliary subunit beta 2";757;18,3862648010254;"Yes"
"row_8";"ENSG00000130433";"CACNG6";"calcium voltage-gated channel auxiliary subunit gamma 6";835;16,3810138702393;"Yes"
"row_9";"ENSG00000157388";"CACNA1D";"calcium voltage-gated channel subunit alpha1 D";964;13,8118991851807;"Yes"
"row_10";"ENSG00000151067";"CACNA1C";"calcium voltage-gated channel subunit alpha1 C";1208;10,0643577575684;"Yes"
"row_11";"ENSG00000132681";"ATP1A4";"ATPase Na+/K+ transporting subunit alpha 4";1584;6,54309844970703;"Yes"
"row_12";"ENSG00000157445";"CACNA2D3";"calcium voltage-gated channel auxiliary subunit alpha2delta 3";1672;6,35669612884521;"Yes"
"row_13";"ENSG00000081248";"CACNA1S";"calcium voltage-gated channel subunit alpha1 S";1987;4,05132675170898;"Yes"
"row_14";"ENSG00000166862";"CACNG2";"calcium voltage-gated channel auxiliary subunit gamma 2";2048;4,05132675170898;"Yes"
"row_15";"ENSG00000129991";"TNNI3";"troponin I3, cardiac type";3279;1,92213046550751;"No"
