"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000166501";"PRKCB";"protein kinase C beta";94;58,056568145752;"Yes"
"row_1";"ENSG00000101333";"PLCB4";"phospholipase C beta 4";670;20,89866065979;"Yes"
"row_2";"ENSG00000135346";"CGA";"glycoprotein hormones, alpha polypeptide";990;13,2776660919189;"Yes"
"row_3";"ENSG00000182621";"PLCB1";"phospholipase C beta 1";1412;8,3631420135498;"Yes"
"row_4";"ENSG00000126583";"PRKCG";"protein kinase C gamma";2597;2,39174127578735;"No"
"row_5";"ENSG00000125787";"GNRH2";"gonadotropin releasing hormone 2";4242;0,698342740535736;"No"
"row_6";"ENSG00000104826";"LHB";"luteinizing hormone subunit beta";5431;0,263684511184692;"No"
"row_7";"ENSG00000109163";"GNRHR";"gonadotropin releasing hormone receptor";6005;0,163491129875183;"No"
"row_8";"ENSG00000132155";"RAF1";"Raf-1 proto-oncogene, serine/threonine kinase";6290;0,121607854962349;"No"
"row_9";"ENSG00000102882";"MAPK3";"mitogen-activated protein kinase 3";7479;0,0410896353423595;"No"
"row_10";"ENSG00000154229";"PRKCA";"protein kinase C alpha";8682;0,0030014393851161;"No"
"row_11";"ENSG00000126767";"ELK1";"ETS transcription factor ELK1";9810;0;"No"
"row_12";"ENSG00000131808";"FSHB";"follicle stimulating hormone subunit beta";9903;0;"No"
"row_13";"ENSG00000100030";"MAPK1";"mitogen-activated protein kinase 1";28572;-0,0238660648465157;"No"
"row_14";"ENSG00000147437";"GNRH1";"gonadotropin releasing hormone 1";28808;-0,0341382585465908;"No"
"row_15";"ENSG00000126934";"MAP2K2";"mitogen-activated protein kinase kinase 2";29644;-0,0935507789254189;"No"
"row_16";"ENSG00000169032";"MAP2K1";"mitogen-activated protein kinase kinase 1";30474;-0,190153926610947;"No"
"row_17";"ENSG00000137841";"PLCB2";"phospholipase C beta 2";30994;-0,281633645296097;"No"
"row_18";"ENSG00000088256";"GNA11";"G protein subunit alpha 11";31380;-0,374567240476608;"No"
"row_19";"ENSG00000156052";"GNAQ";"G protein subunit alpha q";31900;-0,536329746246338;"No"
"row_20";"ENSG00000149782";"PLCB3";"phospholipase C beta 3";32516;-0,86743575334549;"No"
