"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000037280";"FLT4";"fms related receptor tyrosine kinase 4";13;87,5054016113281;"Yes"
"row_1";"ENSG00000135547";"HEY2";"hes related family bHLH transcription factor with YRPW motif 2";137;50,7427024841309;"Yes"
"row_2";"ENSG00000164683";"HEY1";"hes related family bHLH transcription factor with YRPW motif 1";454;28,7920722961426;"Yes"
"row_3";"ENSG00000163909";"HEYL";"hes related family bHLH transcription factor with YRPW motif like";516;26,5408172607422;"Yes"
"row_4";"ENSG00000090932";"DLL3";"delta like canonical Notch ligand 3";789;17,7182331085205;"Yes"
"row_5";"ENSG00000128917";"DLL4";"delta like canonical Notch ligand 4";1078;11,8571090698242;"Yes"
"row_6";"ENSG00000114315";"HES1";"hes family bHLH transcription factor 1";2721;2,04941248893738;"No"
"row_7";"ENSG00000101384";"JAG1";"jagged canonical Notch ligand 1";7412;0,044150535017252;"No"
"row_8";"ENSG00000197921";"HES5";"hes family bHLH transcription factor 5";12148;0;"No"
"row_9";"ENSG00000204301";"NOTCH4";"notch receptor 4";13284;0;"No"
"row_10";"ENSG00000141736";"ERBB2";"erb-b2 receptor tyrosine kinase 2";27815;-0,00401182100176811;"No"
"row_11";"ENSG00000184916";"JAG2";"jagged canonical Notch ligand 2";31054;-0,296940088272095;"No"
"row_12";"ENSG00000168214";"RBPJ";"recombination signal binding protein for immunoglobulin kappa J region";32177;-0,654006719589233;"No"
"row_13";"ENSG00000124232";"RBPJL";"recombination signal binding protein for immunoglobulin kappa J region like";32577;-0,873661577701569;"No"
"row_14";"ENSG00000198719";"DLL1";"delta like canonical Notch ligand 1";32743;-0,873661577701569;"No"
"row_15";"ENSG00000148400";"NOTCH1";"notch receptor 1";34222;-2,03589558601379;"No"
