"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000168495";"POLR3D";"RNA polymerase III subunit D";3291;0,877345740795135;"No"
"row_1";"ENSG00000100906";"NFKBIA";"NFKB inhibitor alpha";4029;0,431683629751205;"No"
"row_2";"ENSG00000186184";"POLR1D";"RNA polymerase I and III subunit D";4987;0,197447448968887;"No"
"row_3";"ENSG00000132664";"POLR3F";"RNA polymerase III subunit F";5034;0,188817411661148;"No"
"row_4";"ENSG00000148606";"POLR3A";"RNA polymerase III subunit A";5653;0,123257271945477;"No"
"row_5";"ENSG00000161980";"POLR3K";"RNA polymerase III subunit K";5728;0,116670161485672;"No"
"row_6";"ENSG00000171453";"POLR1C";"RNA polymerase I and III subunit C";5807;0,107693299651146;"No"
"row_7";"ENSG00000104825";"NFKBIB";"NFKB inhibitor beta";5854;0,102219440042973;"No"
"row_8";"ENSG00000088888";"MAVS";"mitochondrial antiviral signaling protein";6674;0,0389077514410019;"No"
"row_9";"ENSG00000103490";"PYCARD";"PYD and CARD domain containing";6839;0,0306280069053173;"No"
"row_10";"ENSG00000100413";"POLR3H";"RNA polymerase III subunit H";7506;0,00723253283649683;"No"
"row_11";"ENSG00000269335";"IKBKG";"inhibitor of nuclear factor kappa B kinase regulatory subunit gamma";7538;0,00638339016586542;"No"
"row_12";"ENSG00000126456";"IRF3";"interferon regulatory factor 3";7689;0,00368839898146689;"No"
"row_13";"ENSG00000120235";"IFNA6";"interferon alpha 6";8789;0;"No"
"row_14";"ENSG00000120242";"IFNA8";"interferon alpha 8";8790;0;"No"
"row_15";"ENSG00000124256";"ZBP1";"Z-DNA binding protein 1";8892;0;"No"
"row_16";"ENSG00000129465";"RIPK3";"receptor interacting serine/threonine kinase 3";9025;0;"No"
"row_17";"ENSG00000136244";"IL6";"interleukin 6";9214;0;"No"
"row_18";"ENSG00000137033";"IL33";"interleukin 33";9240;0;"No"
"row_19";"ENSG00000137080";"IFNA21";"interferon alpha 21";9242;0;"No"
"row_20";"ENSG00000147873";"IFNA5";"interferon alpha 5";9505;0;"No"
"row_21";"ENSG00000147885";"IFNA16";"interferon alpha 16";9507;0;"No"
"row_22";"ENSG00000169245";"CXCL10";"C-X-C motif chemokine ligand 10";10223;0;"No"
"row_23";"ENSG00000171855";"IFNB1";"interferon beta 1";10399;0;"No"
"row_24";"ENSG00000186803";"IFNA10";"interferon alpha 10";11391;0;"No"
"row_25";"ENSG00000188379";"IFNA2";"interferon alpha 2";11537;0;"No"
"row_26";"ENSG00000213689";"TREX1";"three prime repair exonuclease 1";14631;0;"No"
"row_27";"ENSG00000214042";"IFNA7";"interferon alpha 7";14701;0;"No"
"row_28";"ENSG00000228083";"IFNA14";"interferon alpha 14";16777;0;"No"
"row_29";"ENSG00000233816";"IFNA13";"interferon alpha 13";18050;0;"No"
"row_30";"ENSG00000234829";"IFNA17";"interferon alpha 17";18284;0;"No"
"row_31";"ENSG00000236637";"IFNA4";"interferon alpha 4";18685;0;"No"
"row_32";"ENSG00000271503";"CCL5";"C-C motif chemokine ligand 5";24766;0;"No"
"row_33";"ENSG00000275302";"CCL4";"C-C motif chemokine ligand 4";25159;0;"No"
"row_34";"ENSG00000276070";"CCL4L2";"C-C motif chemokine ligand 4 like 2";25277;0;"No"
"row_35";"ENSG00000213341";"CHUK";"component of inhibitor of nuclear factor kappa B kinase complex";28035;-0,00385714299045503;"No"
"row_36";"ENSG00000183735";"TBK1";"TANK binding kinase 1";28378;-0,0108685726299882;"No"
"row_37";"ENSG00000104365";"IKBKB";"inhibitor of nuclear factor kappa B kinase subunit beta";29089;-0,036630243062973;"No"
"row_38";"ENSG00000173039";"RELA";"RELA proto-oncogene, NF-kB subunit";29356;-0,0524146519601345;"No"
"row_39";"ENSG00000137275";"RIPK1";"receptor interacting serine/threonine kinase 1";29592;-0,066881000995636;"No"
"row_40";"ENSG00000121851";"POLR3GL";"RNA polymerase III subunit GL";30042;-0,107259184122086;"No"
"row_41";"ENSG00000107201";"RIGI";"RNA sensor RIG-I";30218;-0,127527430653572;"No"
"row_42";"ENSG00000013503";"POLR3B";"RNA polymerase III subunit B";30563;-0,164926171302795;"No"
"row_43";"ENSG00000109320";"NFKB1";"nuclear factor kappa B subunit 1";30905;-0,223204731941223;"No"
"row_44";"ENSG00000186141";"POLR3C";"RNA polymerase III subunit C";31047;-0,243123099207878;"No"
"row_45";"ENSG00000185507";"IRF7";"interferon regulatory factor 7";31671;-0,38797327876091;"No"
"row_46";"ENSG00000113356";"POLR3G";"RNA polymerase III subunit G";31701;-0,397193193435669;"No"
"row_47";"ENSG00000263528";"IKBKE";"inhibitor of nuclear factor kappa B kinase subunit epsilon";31897;-0,469306111335754;"No"
"row_48";"ENSG00000184584";"STING1";"stimulator of interferon response cGAMP interactor 1";32452;-0,76321804523468;"Yes"
"row_49";"ENSG00000160710";"ADAR";"adenosine deaminase RNA specific";32679;-0,930749297142029;"Yes"
"row_50";"ENSG00000197919";"IFNA1";"interferon alpha 1";32787;-0,979215204715729;"Yes"
"row_51";"ENSG00000137752";"CASP1";"caspase 1";33297;-1,63039171695709;"Yes"
"row_52";"ENSG00000150782";"IL18";"interleukin 18";34058;-2,96207547187805;"Yes"
"row_53";"ENSG00000125538";"IL1B";"interleukin 1 beta";36056;-38,2026901245117;"Yes"
"row_54";"ENSG00000163568";"AIM2";"absent in melanoma 2";36237;-55,4712333679199;"Yes"
