"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000166086";"JAM3";"junctional adhesion molecule 3";1489;4,95982789993286;"No"
"row_1";"ENSG00000171130";"ATP6V0E2";"ATPase H+ transporting V0 subunit e2";1750;3,6601197719574;"No"
"row_2";"ENSG00000169429";"CXCL8";"C-X-C motif chemokine ligand 8";1974;2,83261632919312;"No"
"row_3";"ENSG00000143882";"ATP6V1C2";"ATPase H+ transporting V1 subunit C2";2690;1,77118980884552;"No"
"row_4";"ENSG00000124181";"PLCG1";"phospholipase C gamma 1";2814;1,49510884284973;"No"
"row_5";"ENSG00000197122";"SRC";"SRC proto-oncogene, non-receptor tyrosine kinase";3054;1,11268019676208;"No"
"row_6";"ENSG00000164305";"CASP3";"caspase 3";3865;0,485972791910172;"No"
"row_7";"ENSG00000100906";"NFKBIA";"NFKB inhibitor alpha";4029;0,431683629751205;"No"
"row_8";"ENSG00000154721";"JAM2";"junctional adhesion molecule 2";4312;0,338906615972519;"No"
"row_9";"ENSG00000136888";"ATP6V1G1";"ATPase H+ transporting V1 subunit G1";4398;0,314459592103958;"No"
"row_10";"ENSG00000185883";"ATP6V0C";"ATPase H+ transporting V0 subunit c";5844;0,103691078722477;"No"
"row_11";"ENSG00000131100";"ATP6V1E1";"ATPase H+ transporting V1 subunit E1";5962;0,0881485566496849;"No"
"row_12";"ENSG00000117410";"ATP6V0B";"ATPase H+ transporting V0 subunit b";6008;0,0837054848670959;"No"
"row_13";"ENSG00000103653";"CSK";"C-terminal Src kinase";6225;0,0655970722436905;"No"
"row_14";"ENSG00000033627";"ATP6V0A1";"ATPase H+ transporting V0 subunit a1";6431;0,0518811084330082;"No"
"row_15";"ENSG00000113732";"ATP6V0E1";"ATPase H+ transporting V0 subunit e1";6453;0,0502009987831116;"No"
"row_16";"ENSG00000147416";"ATP6V1B2";"ATPase H+ transporting V1 subunit B2";6775;0,033764623105526;"No"
"row_17";"ENSG00000159720";"ATP6V0D1";"ATPase H+ transporting V0 subunit d1";6914;0,0264810156077147;"No"
"row_18";"ENSG00000188130";"MAPK12";"mitogen-activated protein kinase 12";7132;0,0172727685421705;"No"
"row_19";"ENSG00000112062";"MAPK14";"mitogen-activated protein kinase 14";7343;0,01068199519068;"No"
"row_20";"ENSG00000269335";"IKBKG";"inhibitor of nuclear factor kappa B kinase regulatory subunit gamma";7538;0,00638339016586542;"No"
