"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000111664";"GNB3";"G protein subunit beta 3";1919;3,07591414451599;"No"
"row_1";"ENSG00000176533";"GNG7";"G protein subunit gamma 7";2156;2,19936275482178;"No"
"row_2";"ENSG00000100906";"NFKBIA";"NFKB inhibitor alpha";4029;0,431683629751205;"No"
"row_3";"ENSG00000142208";"AKT1";"AKT serine/threonine kinase 1";6164;0,0699535012245178;"No"
"row_4";"ENSG00000171608";"PIK3CD";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta";7105;0,0181824807077646;"No"
"row_5";"ENSG00000174021";"GNG5";"G protein subunit gamma 5";7203;0,014970188960433;"No"
"row_6";"ENSG00000269335";"IKBKG";"inhibitor of nuclear factor kappa B kinase regulatory subunit gamma";7538;0,00638339016586542;"No"
"row_7";"ENSG00000108691";"CCL2";"C-C motif chemokine ligand 2";8581;0;"No"
"row_8";"ENSG00000127920";"GNG11";"G protein subunit gamma 11";8993;0;"No"
"row_9";"ENSG00000127928";"GNGT1";"G protein subunit gamma transducin 1";8994;0;"No"
"row_10";"ENSG00000162188";"GNG3";"G protein subunit gamma 3";9813;0;"No"
"row_11";"ENSG00000167414";"GNG8";"G protein subunit gamma 8";10121;0;"No"
"row_12";"ENSG00000186469";"GNG2";"G protein subunit gamma 2";11366;0;"No"
"row_13";"ENSG00000242616";"GNG10";"G protein subunit gamma 10";19998;0;"No"
"row_14";"ENSG00000213341";"CHUK";"component of inhibitor of nuclear factor kappa B kinase complex";28035;-0,00385714299045503;"No"
"row_15";"ENSG00000078369";"GNB1";"G protein subunit beta 1";28318;-0,00944788567721844;"No"
"row_16";"ENSG00000104365";"IKBKB";"inhibitor of nuclear factor kappa B kinase subunit beta";29089;-0,036630243062973;"No"
"row_17";"ENSG00000105221";"AKT2";"AKT serine/threonine kinase 2";29189;-0,0422355309128761;"No"
"row_18";"ENSG00000069966";"GNB5";"G protein subunit beta 5";29353;-0,052221991121769;"No"
"row_19";"ENSG00000173039";"RELA";"RELA proto-oncogene, NF-kB subunit";29356;-0,0524146519601345;"No"
"row_20";"ENSG00000172354";"GNB2";"G protein subunit beta 2";30653;-0,179807543754578;"No"
"row_21";"ENSG00000109320";"NFKB1";"nuclear factor kappa B subunit 1";30905;-0,223204731941223;"No"
"row_22";"ENSG00000168243";"GNG4";"G protein subunit gamma 4";31561;-0,358006119728088;"No"
"row_23";"ENSG00000051382";"PIK3CB";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta";33207;-1,45880568027496;"No"
"row_24";"ENSG00000121879";"PIK3CA";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha";33689;-1,96024084091187;"Yes"
"row_25";"ENSG00000167083";"GNGT2";"G protein subunit gamma transducin 2";34710;-5,6696081161499;"Yes"
"row_26";"ENSG00000127588";"GNG13";"G protein subunit gamma 13";34841;-6,54110765457153;"Yes"
"row_27";"ENSG00000121807";"CCR2";"C-C motif chemokine receptor 2";35682;-19,4198799133301;"Yes"
"row_28";"ENSG00000114450";"GNB4";"G protein subunit beta 4";35820;-23,6809196472168;"Yes"
"row_29";"ENSG00000172380";"GNG12";"G protein subunit gamma 12";36155;-45,4972648620605;"Yes"
"row_30";"ENSG00000117020";"AKT3";"AKT serine/threonine kinase 3";36185;-48,543773651123;"Yes"
