"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000116661";"FBXO2";"F-box protein 2";1701;3,91406965255737;"No"
"row_1";"ENSG00000102858";"MGRN1";"mahogunin ring finger 1";2829;1,46789467334747;"No"
"row_2";"ENSG00000135679";"MDM2";"MDM2 proto-oncogene";3061;1,10628342628479;"No"
"row_3";"ENSG00000134574";"DDB2";"damage specific DNA binding protein 2";3282;0,889193534851074;"No"
"row_4";"ENSG00000196470";"SIAH1";"siah E3 ubiquitin protein ligase 1";3341;0,832647919654846;"No"
"row_5";"ENSG00000044090";"CUL7";"cullin 7";3557;0,655192017555237;"No"
"row_6";"ENSG00000185345";"PRKN";"parkin RBR E3 ubiquitin protein ligase";4175;0,374312192201614;"No"
"row_7";"ENSG00000099804";"CDC34";"cell division cycle 34, ubiquitin conjugating enzyme";4246;0,356389790773392;"No"
"row_8";"ENSG00000103363";"ELOB";"elongin B";4291;0,34358474612236;"No"
"row_9";"ENSG00000049759";"NEDD4L";"NEDD4 like E3 ubiquitin protein ligase";4731;0,246078312397003;"No"
"row_10";"ENSG00000049167";"ERCC8";"ERCC excision repair 8, CSA ubiquitin ligase complex subunit";4791;0,233015865087509;"No"
"row_11";"ENSG00000134086";"VHL";"von Hippel-Lindau tumor suppressor";5066;0,182004138827324;"No"
"row_12";"ENSG00000170035";"UBE2E3";"ubiquitin conjugating enzyme E2 E3";5428;0,151850387454033;"No"
"row_13";"ENSG00000163743";"RCHY1";"ring finger and CHY zinc finger domain containing 1";5519;0,138133883476257;"No"
"row_14";"ENSG00000198373";"WWP2";"WW domain containing E3 ubiquitin protein ligase 2";5535;0,136167362332344;"No"
"row_15";"ENSG00000079999";"KEAP1";"kelch like ECH associated protein 1";5602;0,127925828099251;"No"
"row_16";"ENSG00000114423";"CBLB";"Cbl proto-oncogene B";5655;0,123240418732166;"No"
"row_17";"ENSG00000103275";"UBE2I";"ubiquitin conjugating enzyme E2 I";5742;0,116141714155674;"No"
"row_18";"ENSG00000175931";"UBE2O";"ubiquitin conjugating enzyme E2 O";5793;0,110294125974178;"No"
"row_19";"ENSG00000164162";"ANAPC10";"anaphase promoting complex subunit 10";5809;0,107499673962593;"No"
"row_20";"ENSG00000089053";"ANAPC5";"anaphase promoting complex subunit 5";5824;0,105924524366856;"No"
