"NAME";"GS br  follow link to MSigDB";"GS DETAILS";"SIZE";"ES";"NES";"NOM p val";"FDR q val";"FWER p val";"RANK AT MAX";"LEADING EDGE"
"ARACHIDONIC_ACID_METABOLISM (hsa00590)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/KEGG_ARACHIDONIC_ACID_METABOLISM.html";"Arachidonic acid metabolism";58;0,8779308;1,4088411;0,02536998;1;0,771;1030;"tags=19%, list=3%, signal=19%"
"PORPHYRIN_AND_CHLOROPHYLL_METABOLISM (hsa00860)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM.html";"Porphyrin and chlorophyll metabolism";41;0,924775;1,4015241;0,016359918;0,86911464;0,817;1122;"tags=15%, list=3%, signal=15%"
"ARGININE_AND_PROLINE_METABOLISM (hsa00330)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/KEGG_ARGININE_AND_PROLINE_METABOLISM.html";"Arginine and proline metabolism";54;0,8782244;1,3826952;0,022421524;0,90363777;0,928;1664;"tags=30%, list=5%, signal=31%"
"ABC_TRANSPORTERS (hsa02010)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/KEGG_ABC_TRANSPORTERS.html";"ABC transporters";44;0,8964438;1,3773477;0,04008016;0,75052536;0,946;1961;"tags=30%, list=5%, signal=31%"
"RIBOSOME (hsa03010)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/KEGG_RIBOSOME.html";"Ribosome";87;0,8166034;1,3750108;0,03807615;0,6357978;0,951;5065;"tags=32%, list=14%, signal=37%"
"STEROID_HORMONE_BIOSYNTHESIS (hsa00140)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/KEGG_STEROID_HORMONE_BIOSYNTHESIS.html";"Steroid hormone biosynthesis";55;0,85768795;1,3653488;0,04592902;0,6462083;0,974;1517;"tags=27%, list=4%, signal=28%"
"MEDICUS_REFERENCE_TRANSLATION_INITIATION (N01317)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION.html";"Pathway Definition from KEGG: 40S == mRNA == 60S";81;0,8173402;1,3650222;0,04828974;0,55734503;0,974;5065;"tags=33%, list=14%, signal=39%"
"PPAR_SIGNALING_PATHWAY (hsa03320)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/KEGG_PPAR_SIGNALING_PATHWAY.html";"PPAR signaling pathway";69;0,8080627;1,3621063;0,05284553;0,51972556;0,978;1593;"tags=26%, list=4%, signal=27%"
"COMPLEMENT_AND_COAGULATION_CASCADES (hsa04610)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/KEGG_COMPLEMENT_AND_COAGULATION_CASCADES.html";"Complement and coagulation cascades";69;0,85108846;1,3585335;0,03187251;0,49679273;0,983;1502;"tags=51%, list=4%, signal=53%"
"GLYCINE_SERINE_AND_THREONINE_METABOLISM (hsa00260)";"https://www.gsea-msigdb.org/gsea/msigdb/cards/KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM.html";"Glycine, serine and threonine metabolism";31;0,93470806;1,3347788;0,032719836;0,7112455;0,999;1485;"tags=48%, list=4%, signal=50%"
