"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000171557";"FGG";"fibrinogen gamma chain";11;157,656463623047;"Yes"
"row_1";"ENSG00000171560";"FGA";"fibrinogen alpha chain";12;149,654052734375;"Yes"
"row_2";"ENSG00000171564";"FGB";"fibrinogen beta chain";26;122,698219299316;"Yes"
"row_3";"ENSG00000205403";"CFI";"complement factor I";28;120,958709716797;"Yes"
"row_4";"ENSG00000198734";"F5";"coagulation factor V";36;111,575080871582;"Yes"
"row_5";"ENSG00000117601";"SERPINC1";"serpin family C member 1";62;91,8478622436523;"Yes"
"row_6";"ENSG00000180210";"F2";"coagulation factor II, thrombin";74;86,751594543457;"Yes"
"row_7";"ENSG00000009724";"MASP2";"MBL associated serine protease 2";148;65,1927032470703;"Yes"
"row_8";"ENSG00000123843";"C4BPB";"complement component 4 binding protein beta";162;61,9478225708008;"Yes"
"row_9";"ENSG00000123838";"C4BPA";"complement component 4 binding protein alpha";175;59,6826553344727;"Yes"
"row_10";"ENSG00000057593";"F7";"coagulation factor VII";206;54,2370414733887;"Yes"
"row_11";"ENSG00000244731";"C4A";"complement C4A (Chido/Rodgers blood group)";225;51,7186050415039;"Yes"
"row_12";"ENSG00000126218";"F10";"coagulation factor X";246;49,2441864013672;"Yes"
"row_13";"ENSG00000188488";"SERPINA5";"serpin family A member 5";273;44,7214050292969;"Yes"
"row_14";"ENSG00000182326";"C1S";"complement C1s";284;43,8316802978516;"Yes"
"row_15";"ENSG00000167711";"SERPINF2";"serpin family F member 2";293;43,3737907409668;"Yes"
"row_16";"ENSG00000165471";"MBL2";"mannose binding lectin 2";349;38,9552230834961;"Yes"
"row_17";"ENSG00000088926";"F11";"coagulation factor XI";357;38,3679428100586;"Yes"
"row_18";"ENSG00000115718";"PROC";"protein C, inactivator of coagulation factors Va and VIIIa";366;37,2432823181152;"Yes"
"row_19";"ENSG00000197249";"SERPINA1";"serpin family A member 1";455;30,6377830505371;"Yes"
"row_20";"ENSG00000113889";"KNG1";"kininogen 1";521;26,6727886199951;"Yes"
"row_21";"ENSG00000021852";"C8B";"complement C8 beta chain";558;24,5131359100342;"Yes"
"row_22";"ENSG00000243649";"CFB";"complement factor B";686;19,066478729248;"Yes"
"row_23";"ENSG00000184500";"PROS1";"protein S";733;17,3925380706787;"Yes"
"row_24";"ENSG00000224389";"C4B";"complement C4B (Chido/Rodgers blood group)";751;16,4008464813232;"Yes"
"row_25";"ENSG00000166278";"C2";"complement C2";764;15,8783235549927;"Yes"
"row_26";"ENSG00000127241";"MASP1";"MBL associated serine protease 1";832;13,5246362686157;"Yes"
