"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000160282";"FTCD";"formimidoyltransferase cyclodeaminase";52;98,2511291503906;"Yes"
"row_1";"ENSG00000144908";"ALDH1L1";"aldehyde dehydrogenase 1 family member L1";261;47,2387886047363;"Yes"
"row_2";"ENSG00000145020";"AMT";"aminomethyltransferase";889;11,9173564910889;"Yes"
"row_3";"ENSG00000138363";"ATIC";"5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase";2990;1,17810273170471;"No"
"row_4";"ENSG00000120254";"MTHFD1L";"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like";5524;0,1374681442976;"No"
"row_5";"ENSG00000163738";"MTHFD2L";"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like";6067;0,0779793635010719;"No"
"row_6";"ENSG00000177000";"MTHFR";"methylenetetrahydrofolate reductase";6324;0,0589798353612423;"No"
"row_7";"ENSG00000103707";"MTFMT";"mitochondrial methionyl-tRNA formyltransferase";6993;0,0231352634727955;"No"
"row_8";"ENSG00000176890";"TYMS";"thymidylate synthetase";7048;0,020569609478116;"No"
"row_9";"ENSG00000176974";"SHMT1";"serine hydroxymethyltransferase 1";7266;0,0125593673437834;"No"
"row_10";"ENSG00000136371";"MTHFS";"methenyltetrahydrofolate synthetase";9220;0;"No"
"row_11";"ENSG00000182199";"SHMT2";"serine hydroxymethyltransferase 2";27777;-0,00110137194860727;"No"
"row_12";"ENSG00000116984";"MTR";"5-methyltetrahydrofolate-homocysteine methyltransferase";27874;-0,00196163123473525;"No"
"row_13";"ENSG00000065911";"MTHFD2";"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase";29936;-0,0965273007750511;"No"
"row_14";"ENSG00000228716";"DHFR";"dihydrofolate reductase";30979;-0,235805690288544;"No"
"row_15";"ENSG00000159131";"GART";"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase";31038;-0,241638720035553;"No"
"row_16";"ENSG00000100714";"MTHFD1";"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1";32675;-0,925939440727234;"No"
