"KEGG_ID";"Description";"Gene_Ratio";"BgRatio";"pvalue";"padj";"gene_id";"gene_name";"kegg_id";"count"
"hsa04610";"Complement and coagulation cascades";"29/592";"86/8567";1,82501495287588e-13;5,80354755014529e-11;"ENSG00000009724/ENSG00000057593/ENSG00000088926/ENSG00000109072/ENSG00000115718/ENSG00000117525/ENSG00000117601/ENSG00000120885/ENSG00000123838/ENSG00000123843/ENSG00000126218/ENSG00000165471/ENSG00000166278/ENSG00000167711/ENSG00000168398/ENSG00000171557/ENSG00000171560/ENSG00000171564/ENSG00000178726/ENSG00000180210/ENSG00000182326/ENSG00000184500/ENSG00000188488/ENSG00000197249/ENSG00000198734/ENSG00000205403/ENSG00000224389/ENSG00000243649/ENSG00000244731";"MASP2/F7/F11/VTN/PROC/F3/SERPINC1/CLU/C4BPA/C4BPB/F10/MBL2/C2/SERPINF2/BDKRB2/FGG/FGA/FGB/THBD/F2/C1S/PROS1/SERPINA5/SERPINA1/F5/CFI/C4B/CFB/C4A";"hsa:10747/hsa:2155/hsa:2160/hsa:7448/hsa:5624/hsa:2152/hsa:462/hsa:1191/hsa:722/hsa:725/hsa:2159/hsa:4153/hsa:717/hsa:5345/hsa:624/hsa:2266/hsa:2243/hsa:2244/hsa:7056/hsa:2147/hsa:716/hsa:5627/hsa:5104/hsa:5265/hsa:2153/hsa:3426/hsa:721/hsa:629/hsa:720";29
"hsa04512";"ECM-receptor interaction";"21/592";"89/8567";4,53097658753578e-07;6,19091025623572e-05;"ENSG00000005884/ENSG00000026508/ENSG00000041982/ENSG00000050555/ENSG00000053747/ENSG00000058085/ENSG00000105664/ENSG00000105855/ENSG00000109072/ENSG00000115221/ENSG00000115414/ENSG00000118785/ENSG00000134871/ENSG00000135218/ENSG00000139219/ENSG00000164946/ENSG00000168743/ENSG00000187498/ENSG00000189056/ENSG00000196776/ENSG00000196878";"ITGA3/CD44/TNC/LAMC3/LAMA3/LAMC2/COMP/ITGB8/VTN/ITGB6/FN1/SPP1/COL4A2/CD36/COL2A1/FREM1/NPNT/COL4A1/RELN/CD47/LAMB3";"hsa:3675/hsa:960/hsa:3371/hsa:10319/hsa:3909/hsa:3918/hsa:1311/hsa:3696/hsa:7448/hsa:3694/hsa:2335/hsa:6696/hsa:1284/hsa:948/hsa:1280/hsa:158326/hsa:255743/hsa:1282/hsa:5649/hsa:961/hsa:3914";21
"hsa04975";"Fat digestion and absorption";"14/592";"43/8567";5,84048137380728e-07;6,19091025623572e-05;"ENSG00000015520/ENSG00000084674/ENSG00000106384/ENSG00000110244/ENSG00000118137/ENSG00000135218/ENSG00000138308/ENSG00000138823/ENSG00000141934/ENSG00000143921/ENSG00000163586/ENSG00000165029/ENSG00000166391/ENSG00000188257";"NPC1L1/APOB/MOGAT3/APOA4/APOA1/CD36/PLA2G12B/MTTP/PLPP2/ABCG8/FABP1/ABCA1/MOGAT2/PLA2G2A";"hsa:29881/hsa:338/hsa:346606/hsa:337/hsa:335/hsa:948/hsa:84647/hsa:4547/hsa:8612/hsa:64241/hsa:2168/hsa:19/hsa:80168/hsa:5320";14
"hsa04979";"Cholesterol metabolism";"15/592";"51/8567";1,01249342622377e-06;8,04932273847894e-05;"ENSG00000021762/ENSG00000084674/ENSG00000091583/ENSG00000110244/ENSG00000110245/ENSG00000118137/ENSG00000130203/ENSG00000130208/ENSG00000135218/ENSG00000135929/ENSG00000143921/ENSG00000147465/ENSG00000158874/ENSG00000165029/ENSG00000167780";"OSBPL5/APOB/APOH/APOA4/APOC3/APOA1/APOE/APOC1/CD36/CYP27A1/ABCG8/STAR/APOA2/ABCA1/SOAT2";"hsa:114879/hsa:338/hsa:350/hsa:337/hsa:345/hsa:335/hsa:348/hsa:341/hsa:948/hsa:1593/hsa:64241/hsa:6770/hsa:336/hsa:19/hsa:8435";15
"hsa04518";"Integrin signaling";"26/592";"154/8567";1,71883067852096e-05;0,00109317631153933;"ENSG00000005844/ENSG00000005884/ENSG00000041982/ENSG00000050555/ENSG00000053747/ENSG00000058085/ENSG00000105371/ENSG00000105664/ENSG00000105855/ENSG00000109072/ENSG00000115221/ENSG00000115414/ENSG00000117020/ENSG00000118785/ENSG00000128340/ENSG00000134871/ENSG00000139219/ENSG00000146648/ENSG00000164946/ENSG00000168743/ENSG00000171557/ENSG00000171560/ENSG00000171564/ENSG00000187498/ENSG00000189056/ENSG00000196878";"ITGAL/ITGA3/TNC/LAMC3/LAMA3/LAMC2/ICAM4/COMP/ITGB8/VTN/ITGB6/FN1/AKT3/SPP1/RAC2/COL4A2/COL2A1/EGFR/FREM1/NPNT/FGG/FGA/FGB/COL4A1/RELN/LAMB3";"hsa:3683/hsa:3675/hsa:3371/hsa:10319/hsa:3909/hsa:3918/hsa:3386/hsa:1311/hsa:3696/hsa:7448/hsa:3694/hsa:2335/hsa:10000/hsa:6696/hsa:5880/hsa:1284/hsa:1280/hsa:1956/hsa:158326/hsa:255743/hsa:2266/hsa:2243/hsa:2244/hsa:1282/hsa:5649/hsa:3914";26
"hsa00260";"Glycine, serine and threonine metabolism";"10/592";"40/8567";0,000292985016827912;0,0155282058918794;"ENSG00000016391/ENSG00000069535/ENSG00000123453/ENSG00000131471/ENSG00000132837/ENSG00000145692/ENSG00000172482/ENSG00000178445/ENSG00000179761/ENSG00000189221";"CHDH/MAOB/SARDH/AOC3/DMGDH/BHMT/AGXT/GLDC/PIPOX/MAOA";"hsa:55349/hsa:4129/hsa:1757/hsa:8639/hsa:29958/hsa:635/hsa:189/hsa:2731/hsa:51268/hsa:4128";10
"hsa00480";"Glutathione metabolism";"12/592";"57/8567";0,000421722540397082;0,0185550924752158;"ENSG00000008394/ENSG00000084207/ENSG00000099998/ENSG00000100031/ENSG00000116157/ENSG00000128965/ENSG00000134202/ENSG00000144035/ENSG00000166825/ENSG00000211445/ENSG00000243955/ENSG00000244067";"MGST1/GSTP1/GGT5/GGT1/GPX7/CHAC1/GSTM3/NAT8/ANPEP/GPX3/GSTA1/GSTA2";"hsa:4257/hsa:2950/hsa:2687/hsa:2678/hsa:2882/hsa:79094/hsa:2947/hsa:9027/hsa:290/hsa:2878/hsa:2938/hsa:2939";12
"hsa00360";"Phenylalanine metabolism";"6/592";"16/8567";0,000466794779250712;0,0185550924752158;"ENSG00000069535/ENSG00000131471/ENSG00000132437/ENSG00000158104/ENSG00000171759/ENSG00000189221";"MAOB/AOC3/DDC/HPD/PAH/MAOA";"hsa:4129/hsa:8639/hsa:1644/hsa:3242/hsa:5053/hsa:4128";6
"hsa04350";"TGF-beta signaling pathway";"17/592";"109/8567";0,00122530042405012;0,0432939483164375;"ENSG00000090539/ENSG00000091513/ENSG00000092969/ENSG00000095739/ENSG00000104899/ENSG00000105697/ENSG00000106327/ENSG00000115738/ENSG00000120693/ENSG00000122641/ENSG00000143869/ENSG00000147255/ENSG00000164093/ENSG00000175189/ENSG00000182175/ENSG00000183691/ENSG00000187720";"CHRD/TF/TGFB2/BAMBI/AMH/HAMP/TFR2/ID2/SMAD9/INHBA/GDF7/IGSF1/PITX2/INHBC/RGMA/NOG/THSD4";"hsa:8646/hsa:7018/hsa:7042/hsa:25805/hsa:268/hsa:57817/hsa:7036/hsa:3398/hsa:4093/hsa:3624/hsa:151449/hsa:3547/hsa:5308/hsa:3626/hsa:56963/hsa:9241/hsa:79875";17
"hsa04510";"Focal adhesion";"26/592";"202/8567";0,0014895524859969;0,0473677690547015;"ENSG00000005884/ENSG00000041982/ENSG00000050555/ENSG00000053747/ENSG00000058085/ENSG00000058335/ENSG00000105664/ENSG00000105855/ENSG00000105971/ENSG00000105974/ENSG00000109072/ENSG00000115221/ENSG00000115414/ENSG00000117020/ENSG00000118785/ENSG00000128340/ENSG00000129946/ENSG00000134215/ENSG00000134531/ENSG00000134871/ENSG00000139219/ENSG00000141968/ENSG00000146648/ENSG00000187498/ENSG00000189056/ENSG00000196878";"ITGA3/TNC/LAMC3/LAMA3/LAMC2/RASGRF1/COMP/ITGB8/CAV2/CAV1/VTN/ITGB6/FN1/AKT3/SPP1/RAC2/SHC2/VAV3/EMP1/COL4A2/COL2A1/VAV1/EGFR/COL4A1/RELN/LAMB3";"hsa:3675/hsa:3371/hsa:10319/hsa:3909/hsa:3918/hsa:5923/hsa:1311/hsa:3696/hsa:858/hsa:857/hsa:7448/hsa:3694/hsa:2335/hsa:10000/hsa:6696/hsa:5880/hsa:25759/hsa:10451/hsa:2012/hsa:1284/hsa:1280/hsa:7409/hsa:1956/hsa:1282/hsa:5649/hsa:3914";26
