"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000092010";"PSME1";"proteasome activator subunit 1";1074;8,04498195648193;"No"
"row_1";"ENSG00000173110";"HSPA6";"heat shock protein family A (Hsp70) member 6";1510;4,18184614181519;"No"
"row_2";"ENSG00000100911";"PSME2";"proteasome activator subunit 2";2980;1,30853629112244;"No"
"row_3";"ENSG00000204389";"HSPA1A";"heat shock protein family A (Hsp70) member 1A";3205;1,00669038295746;"No"
"row_4";"ENSG00000204257";"HLA-DMA";"major histocompatibility complex, class II, DM alpha";4161;0,43264839053154;"No"
"row_5";"ENSG00000204388";"HSPA1B";"heat shock protein family A (Hsp70) member 1B";4268;0,397495120763779;"No"
"row_6";"ENSG00000164733";"CTSB";"cathepsin B";4632;0,293693214654922;"No"
"row_7";"ENSG00000168394";"TAP1";"transporter 1, ATP binding cassette subfamily B member";4987;0,224943339824677;"No"
"row_8";"ENSG00000064490";"RFXANK";"regulatory factor X associated ankyrin containing protein";5449;0,148816347122192;"No"
"row_9";"ENSG00000109971";"HSPA8";"heat shock protein family A (Hsp70) member 8";6125;0,0900783762335777;"No"
"row_10";"ENSG00000066136";"NFYC";"nuclear transcription factor Y subunit gamma";6735;0,0469899587333202;"No"
"row_11";"ENSG00000080824";"HSP90AA1";"heat shock protein 90 alpha family class A member 1";6749;0,0463513992726803;"No"
"row_12";"ENSG00000179583";"CIITA";"class II major histocompatibility complex transactivator";7219;0,0246717222034931;"No"
"row_13";"ENSG00000100600";"LGMN";"legumain";7659;0,0126888696104288;"No"
"row_14";"ENSG00000166710";"B2M";"beta-2-microglobulin";7871;0,00809664372354746;"No"
"row_15";"ENSG00000010610";"CD4";"CD4 molecule";8716;0;"No"
"row_16";"ENSG00000120235";"IFNA6";"interferon alpha 6";9388;0;"No"
"row_17";"ENSG00000120242";"IFNA8";"interferon alpha 8";9389;0;"No"
"row_18";"ENSG00000125498";"KIR2DL1";"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1";9533;0;"No"
"row_19";"ENSG00000134539";"KLRD1";"killer cell lectin like receptor D1";9743;0;"No"
"row_20";"ENSG00000134545";"KLRC1";"killer cell lectin like receptor C1";9744;0;"No"
"row_21";"ENSG00000137080";"IFNA21";"interferon alpha 21";9824;0;"No"
"row_22";"ENSG00000147873";"IFNA5";"interferon alpha 5";10071;0;"No"
"row_23";"ENSG00000147885";"IFNA16";"interferon alpha 16";10073;0;"No"
"row_24";"ENSG00000153563";"CD8A";"CD8 subunit alpha";10175;0;"No"
