"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000147889";"CDKN2A";"cyclin dependent kinase inhibitor 2A";1067;8,18612766265869;"No"
"row_1";"ENSG00000150630";"VEGFC";"vascular endothelial growth factor C";1514;4,09856700897217;"No"
"row_2";"ENSG00000160271";"RALGDS";"ral guanine nucleotide dissociation stimulator";2851;1,52031171321869;"No"
"row_3";"ENSG00000119699";"TGFB3";"transforming growth factor beta 3";3034;1,22448921203613;"No"
"row_4";"ENSG00000169750";"RAC3";"Rac family small GTPase 3";3202;1,01091635227203;"No"
"row_5";"ENSG00000119630";"PGF";"placental growth factor";3753;0,609351634979248;"No"
"row_6";"ENSG00000163513";"TGFBR2";"transforming growth factor beta receptor 2";3909;0,528377413749695;"No"
"row_7";"ENSG00000129675";"ARHGEF6";"Rac/Cdc42 guanine nucleotide exchange factor 6";4135;0,435593277215958;"No"
"row_8";"ENSG00000138798";"EGF";"epidermal growth factor";4353;0,374640852212906;"No"
"row_9";"ENSG00000002330";"BAD";"BCL2 associated agonist of cell death";4905;0,246344193816185;"No"
"row_10";"ENSG00000132155";"RAF1";"Raf-1 proto-oncogene, serine/threonine kinase";5267;0,172364175319672;"No"
"row_11";"ENSG00000115415";"STAT1";"signal transducer and activator of transcription 1";5355;0,162161871790886;"No"
"row_12";"ENSG00000078061";"ARAF";"A-Raf proto-oncogene, serine/threonine kinase";5373;0,158076107501984;"No"
"row_13";"ENSG00000135446";"CDK4";"cyclin dependent kinase 4";5461;0,146200776100159;"No"
"row_14";"ENSG00000101412";"E2F1";"E2F transcription factor 1";5798;0,119845286011696;"No"
"row_15";"ENSG00000269335";"IKBKG";"inhibitor of nuclear factor kappa B kinase regulatory subunit gamma";6331;0,0718268975615501;"No"
"row_16";"ENSG00000142208";"AKT1";"AKT serine/threonine kinase 1";7160;0,0268428605049849;"No"
"row_17";"ENSG00000105647";"PIK3R2";"phosphoinositide-3-kinase regulatory subunit 2";7723;0,0108561450615525;"No"
"row_18";"ENSG00000173039";"RELA";"RELA proto-oncogene, NF-kB subunit";7800;0,009447256103158;"No"
"row_19";"ENSG00000173511";"VEGFB";"vascular endothelial growth factor B";7901;0,00747510604560375;"No"
"row_20";"ENSG00000166949";"SMAD3";"SMAD family member 3";8023;0,00529190478846431;"No"
