"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000087460";"GNAS";"GNAS complex locus";2191;2,0380175113678;"No"
"row_1";"ENSG00000171130";"ATP6V0E2";"ATPase H+ transporting V0 subunit e2";3339;0,864721953868866;"No"
"row_2";"ENSG00000154229";"PRKCA";"protein kinase C alpha";3747;0,615253508090973;"No"
"row_3";"ENSG00000106803";"SEC61B";"SEC61 translocon subunit beta";3775;0,599649369716644;"No"
"row_4";"ENSG00000124181";"PLCG1";"phospholipase C gamma 1";3910;0,527709662914276;"No"
"row_5";"ENSG00000117410";"ATP6V0B";"ATPase H+ transporting V0 subunit b";4214;0,418373137712479;"No"
"row_6";"ENSG00000185344";"ATP6V0A2";"ATPase H+ transporting V0 subunit a2";4494;0,334354281425476;"No"
"row_7";"ENSG00000136888";"ATP6V1G1";"ATPase H+ transporting V1 subunit G1";4687;0,282870769500732;"No"
"row_8";"ENSG00000126583";"PRKCG";"protein kinase C gamma";5297;0,169596016407013;"No"
"row_9";"ENSG00000142875";"PRKACB";"protein kinase cAMP-activated catalytic subunit beta";5318;0,168234318494797;"No"
"row_10";"ENSG00000143761";"ARF1";"ARF GTPase 1";5944;0,106273762881756;"No"
"row_11";"ENSG00000064651";"SLC12A2";"solute carrier family 12 member 2";6680;0,0500230379402637;"No"
"row_12";"ENSG00000131100";"ATP6V1E1";"ATPase H+ transporting V1 subunit E1";6722;0,0474176108837128;"No"
"row_13";"ENSG00000113732";"ATP6V0E1";"ATPase H+ transporting V0 subunit e1";6784;0,044394887983799;"No"
"row_14";"ENSG00000197943";"PLCG2";"phospholipase C gamma 2";6811;0,0428549237549305;"No"
"row_15";"ENSG00000185883";"ATP6V0C";"ATPase H+ transporting V0 subunit c";6945;0,0359148904681206;"No"
"row_16";"ENSG00000072062";"PRKACA";"protein kinase cAMP-activated catalytic subunit alpha";6958;0,0354899279773235;"No"
"row_17";"ENSG00000159720";"ATP6V0D1";"ATPase H+ transporting V0 subunit d1";7714;0,0111856404691935;"No"
"row_18";"ENSG00000001626";"CFTR";"CF transmembrane conductance regulator";8682;0;"No"
"row_19";"ENSG00000100554";"ATP6V1D";"ATPase H+ transporting V1 subunit D";8978;0;"No"
"row_20";"ENSG00000143882";"ATP6V1C2";"ATPase H+ transporting V1 subunit C2";9971;0;"No"
"row_21";"ENSG00000151418";"ATP6V1G3";"ATPase H+ transporting V1 subunit G3";10134;0;"No"
"row_22";"ENSG00000165059";"PRKACG";"protein kinase cAMP-activated catalytic subunit gamma";10515;0;"No"
"row_23";"ENSG00000166501";"PRKCB";"protein kinase C beta";10584;0;"No"
"row_24";"ENSG00000198788";"MUC2";"mucin 2, oligomeric mucus/gel-forming";12355;0;"No"
"row_25";"ENSG00000213760";"ATP6V1G2";"ATPase H+ transporting V1 subunit G2";15129;0;"No"
"row_26";"ENSG00000183943";"PRKX";"protein kinase cAMP-dependent X-linked catalytic subunit";27995;-0,000262435496551916;"No"
"row_27";"ENSG00000132432";"SEC61G";"SEC61 translocon subunit gamma";28221;-0,00171063037123531;"No"
"row_28";"ENSG00000128524";"ATP6V1F";"ATPase H+ transporting V1 subunit F";28233;-0,00184110505506396;"No"
"row_29";"ENSG00000071553";"ATP6AP1";"ATPase H+ transporting accessory protein 1";28429;-0,00405531190335751;"No"
"row_30";"ENSG00000100196";"KDELR3";"KDEL endoplasmic reticulum protein retention receptor 3";28495;-0,00508997542783618;"No"
"row_31";"ENSG00000184009";"ACTG1";"actin gamma 1";28957;-0,0148953655734658;"No"
"row_32";"ENSG00000110719";"TCIRG1";"T cell immune regulator 1, ATPase H+ transporting V0 subunit a3";29239;-0,0226053781807423;"No"
"row_33";"ENSG00000136240";"KDELR2";"KDEL endoplasmic reticulum protein retention receptor 2";29811;-0,0452887639403343;"No"
"row_34";"ENSG00000147416";"ATP6V1B2";"ATPase H+ transporting V1 subunit B2";30169;-0,0632399469614029;"No"
"row_35";"ENSG00000053918";"KCNQ1";"potassium voltage-gated channel subfamily Q member 1";30205;-0,0653310641646385;"No"
"row_36";"ENSG00000162104";"ADCY9";"adenylate cyclase 9";30232;-0,0655784085392952;"No"
"row_37";"ENSG00000058262";"SEC61A1";"SEC61 translocon subunit alpha 1";30439;-0,0796743705868721;"No"
"row_38";"ENSG00000105438";"KDELR1";"KDEL endoplasmic reticulum protein retention receptor 1";31384;-0,167721480131149;"Yes"
"row_39";"ENSG00000114573";"ATP6V1A";"ATPase H+ transporting V1 subunit A";31408;-0,170864015817642;"Yes"
"row_40";"ENSG00000147614";"ATP6V0D2";"ATPase H+ transporting V0 subunit d2";31421;-0,173125833272934;"Yes"
"row_41";"ENSG00000155660";"PDIA4";"protein disulfide isomerase family A member 4";31703;-0,217096850275993;"Yes"
"row_42";"ENSG00000155097";"ATP6V1C1";"ATPase H+ transporting V1 subunit C1";31888;-0,248940765857697;"Yes"
"row_43";"ENSG00000075624";"ACTB";"actin beta";31891;-0,249485567212105;"Yes"
"row_44";"ENSG00000105929";"ATP6V0A4";"ATPase H+ transporting V0 subunit a4";32269;-0,321471810340881;"Yes"
"row_45";"ENSG00000104067";"TJP1";"tight junction protein 1";32387;-0,346521109342575;"Yes"
"row_46";"ENSG00000138031";"ADCY3";"adenylate cyclase 3";32755;-0,459306865930557;"Yes"
"row_47";"ENSG00000065665";"SEC61A2";"SEC61 translocon subunit alpha 2";32769;-0,463421553373337;"Yes"
"row_48";"ENSG00000047249";"ATP6V1H";"ATPase H+ transporting V1 subunit H";32915;-0,517081379890442;"Yes"
"row_49";"ENSG00000250565";"ATP6V1E2";"ATPase H+ transporting V1 subunit E2";33002;-0,551521062850952;"Yes"
"row_50";"ENSG00000197930";"ERO1A";"endoplasmic reticulum oxidoreductase 1 alpha";34330;-1,73928713798523;"Yes"
"row_51";"ENSG00000119139";"TJP2";"tight junction protein 2";34829;-2,71763586997986;"Yes"
