"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000198933";"TBKBP1";"TBK1 binding protein 1";1129;7,34296607971191;"Yes"
"row_1";"ENSG00000185507";"IRF7";"interferon regulatory factor 7";1134;7,23857164382935;"Yes"
"row_2";"ENSG00000126456";"IRF3";"interferon regulatory factor 3";7454;0,0183679312467575;"No"
"row_3";"ENSG00000163512";"AZI2";"5-azacytidine induced 2";7465;0,0176316145807505;"No"
"row_4";"ENSG00000120235";"IFNA6";"interferon alpha 6";9388;0;"No"
"row_5";"ENSG00000120242";"IFNA8";"interferon alpha 8";9389;0;"No"
"row_6";"ENSG00000137080";"IFNA21";"interferon alpha 21";9824;0;"No"
"row_7";"ENSG00000147873";"IFNA5";"interferon alpha 5";10071;0;"No"
"row_8";"ENSG00000147885";"IFNA16";"interferon alpha 16";10073;0;"No"
"row_9";"ENSG00000171855";"IFNB1";"interferon beta 1";10890;0;"No"
"row_10";"ENSG00000186803";"IFNA10";"interferon alpha 10";11867;0;"No"
"row_11";"ENSG00000188379";"IFNA2";"interferon alpha 2";12012;0;"No"
"row_12";"ENSG00000197919";"IFNA1";"interferon alpha 1";12276;0;"No"
"row_13";"ENSG00000214042";"IFNA7";"interferon alpha 7";15182;0;"No"
"row_14";"ENSG00000228083";"IFNA14";"interferon alpha 14";17223;0;"No"
"row_15";"ENSG00000233816";"IFNA13";"interferon alpha 13";18498;0;"No"
"row_16";"ENSG00000234829";"IFNA17";"interferon alpha 17";18732;0;"No"
"row_17";"ENSG00000236637";"IFNA4";"interferon alpha 4";19130;0;"No"
"row_18";"ENSG00000136560";"TANK";"TRAF family member associated NFKB activator";29200;-0,0212541595101357;"No"
"row_19";"ENSG00000131323";"TRAF3";"TNF receptor associated factor 3";29304;-0,0245761964470148;"No"
"row_20";"ENSG00000183735";"TBK1";"TANK binding kinase 1";29872;-0,0475651323795319;"No"
"row_21";"ENSG00000263528";"IKBKE";"inhibitor of nuclear factor kappa B kinase subunit epsilon";30989;-0,125876843929291;"No"
"row_22";"ENSG00000088888";"MAVS";"mitochondrial antiviral signaling protein";31239;-0,151903852820396;"No"
"row_23";"ENSG00000115267";"IFIH1";"interferon induced with helicase C domain 1";32558;-0,397232949733734;"No"
