"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000196557";"CACNA1H";"calcium voltage-gated channel subunit alpha1 H";82;55,8139877319336;"Yes"
"row_1";"ENSG00000006283";"CACNA1G";"calcium voltage-gated channel subunit alpha1 G";959;9,42040634155273;"Yes"
"row_2";"ENSG00000141837";"CACNA1A";"calcium voltage-gated channel subunit alpha1 A";987;9,15444755554199;"Yes"
"row_3";"ENSG00000198216";"CACNA1E";"calcium voltage-gated channel subunit alpha1 E";1219;6,57367753982544;"Yes"
"row_4";"ENSG00000151729";"SLC25A4";"solute carrier family 25 member 4";1692;3,95531368255615;"Yes"
"row_5";"ENSG00000165637";"VDAC2";"voltage dependent anion channel 2";2774;1,64083135128021;"No"
"row_6";"ENSG00000292334";"SLC25A6";"solute carrier family 25 member 6";3415;0,807014226913452;"No"
"row_7";"ENSG00000005022";"SLC25A5";"solute carrier family 25 member 5";5039;0,216534718871117;"No"
"row_8";"ENSG00000172115";"CYCS";"cytochrome c, somatic";6019;0,0997335761785507;"No"
"row_9";"ENSG00000081248";"CACNA1S";"calcium voltage-gated channel subunit alpha1 S";8865;0;"No"
"row_10";"ENSG00000100346";"CACNA1I";"calcium voltage-gated channel subunit alpha1 I";8971;0;"No"
"row_11";"ENSG00000102001";"CACNA1F";"calcium voltage-gated channel subunit alpha1 F";9033;0;"No"
"row_12";"ENSG00000132906";"CASP9";"caspase 9";9705;0;"No"
"row_13";"ENSG00000148408";"CACNA1B";"calcium voltage-gated channel subunit alpha1 B";10080;0;"No"
"row_14";"ENSG00000151067";"CACNA1C";"calcium voltage-gated channel subunit alpha1 C";10127;0;"No"
"row_15";"ENSG00000151475";"SLC25A31";"solute carrier family 25 member 31";10135;0;"No"
"row_16";"ENSG00000157388";"CACNA1D";"calcium voltage-gated channel subunit alpha1 D";10239;0;"No"
"row_17";"ENSG00000120868";"APAF1";"apoptotic peptidase activating factor 1";29259;-0,0232071951031685;"No"
"row_18";"ENSG00000213585";"VDAC1";"voltage dependent anion channel 1";29498;-0,0313713774085045;"No"
"row_19";"ENSG00000164305";"CASP3";"caspase 3";29960;-0,0519214645028114;"No"
"row_20";"ENSG00000078668";"VDAC3";"voltage dependent anion channel 3";30405;-0,0774805247783661;"No"
"row_21";"ENSG00000165806";"CASP7";"caspase 7";30927;-0,119948968291283;"No"
"row_22";"ENSG00000156026";"MCU";"mitochondrial calcium uniporter";33975;-1,14391803741455;"No"
