"KEGG_ID";"Description";"Gene_Ratio";"BgRatio";"pvalue";"padj";"gene_id";"gene_name";"kegg_id";"count"
"hsa04820";"Cytoskeleton in muscle cells";"17/211";"233/8567";5,88660131701831e-05;0,0158938235559494;"ENSG00000022267/ENSG00000026025/ENSG00000038427/ENSG00000105409/ENSG00000128591/ENSG00000134769/ENSG00000138829/ENSG00000142156/ENSG00000145362/ENSG00000147202/ENSG00000163359/ENSG00000164692/ENSG00000166147/ENSG00000168542/ENSG00000172164/ENSG00000198947/ENSG00000204262";"FHL1/VIM/VCAN/ATP1A3/FLNC/DTNA/FBN2/COL6A1/ANK2/DIAPH2/COL6A3/COL1A2/FBN1/COL3A1/SNTB1/DMD/COL5A2";"hsa:2273/hsa:7431/hsa:1462/hsa:478/hsa:2318/hsa:1837/hsa:2201/hsa:1291/hsa:287/hsa:1730/hsa:1293/hsa:1278/hsa:2200/hsa:1281/hsa:6641/hsa:1756/hsa:1290";17
"hsa05412";"Arrhythmogenic right ventricular cardiomyopathy";"9/211";"86/8567";0,000250093661757545;0,0337626443372686;"ENSG00000089250/ENSG00000134769/ENSG00000142408/ENSG00000152661/ENSG00000153956/ENSG00000170558/ENSG00000172164/ENSG00000183230/ENSG00000198947";"NOS1/DTNA/CACNG8/GJA1/CACNA2D1/CDH2/SNTB1/CTNNA3/DMD";"hsa:4842/hsa:1837/hsa:59283/hsa:2697/hsa:781/hsa:1000/hsa:6641/hsa:29119/hsa:1756";9
"hsa05032";"Morphine addiction";"9/211";"91/8567";0,000383349483286868;0,0345014534958181;"ENSG00000011677/ENSG00000065989/ENSG00000112541/ENSG00000154678/ENSG00000157542/ENSG00000166206/ENSG00000182256/ENSG00000186469/ENSG00000186642";"GABRA3/PDE4A/PDE10A/PDE1C/KCNJ6/GABRB3/GABRG3/GNG2/PDE2A";"hsa:2556/hsa:5141/hsa:10846/hsa:5137/hsa:3763/hsa:2562/hsa:2567/hsa:54331/hsa:5138";9
"hsa04974";"Protein digestion and absorption";"9/211";"103/8567";0,000952010841267031;0,0642607317855246;"ENSG00000010438/ENSG00000105409/ENSG00000111799/ENSG00000142156/ENSG00000163359/ENSG00000164692/ENSG00000168542/ENSG00000197635/ENSG00000204262";"PRSS3/ATP1A3/COL12A1/COL6A1/COL6A3/COL1A2/COL3A1/DPP4/COL5A2";"hsa:5646/hsa:478/hsa:1303/hsa:1291/hsa:1293/hsa:1278/hsa:1281/hsa:1803/hsa:1290";9
"hsa00230";"Purine metabolism";"10/211";"128/8567";0,00119960877362815;0,0647788737759203;"ENSG00000061918/ENSG00000065989/ENSG00000103202/ENSG00000112541/ENSG00000137198/ENSG00000154027/ENSG00000154678/ENSG00000159899/ENSG00000186642/ENSG00000197594";"GUCY1B1/PDE4A/NME4/PDE10A/GMPR/AK5/PDE1C/NPR2/PDE2A/ENPP1";"hsa:2983/hsa:5141/hsa:4833/hsa:10846/hsa:2766/hsa:26289/hsa:5137/hsa:4882/hsa:5138/hsa:5167";10
"hsa04921";"Oxytocin signaling pathway";"11/211";"154/8567";0,0014398271926441;0,0647922236689843;"ENSG00000058404/ENSG00000061918/ENSG00000101333/ENSG00000116711/ENSG00000116741/ENSG00000142408/ENSG00000153956/ENSG00000157542/ENSG00000159899/ENSG00000162409/ENSG00000184185";"CAMK2B/GUCY1B1/PLCB4/PLA2G4A/RGS2/CACNG8/CACNA2D1/KCNJ6/NPR2/PRKAA2/KCNJ12";"hsa:816/hsa:2983/hsa:5332/hsa:5321/hsa:5997/hsa:59283/hsa:781/hsa:3763/hsa:4882/hsa:5563/hsa:3768";11
"hsa04360";"Axon guidance";"12/211";"182/8567";0,00176289476150365;0,0679973693722836;"ENSG00000058404/ENSG00000077264/ENSG00000106123/ENSG00000114251/ENSG00000135333/ENSG00000144857/ENSG00000145147/ENSG00000145242/ENSG00000153993/ENSG00000162631/ENSG00000164690/ENSG00000169855";"CAMK2B/PAK3/EPHB6/WNT5A/EPHA7/BOC/SLIT2/EPHA5/SEMA3D/NTNG1/SHH/ROBO1";"hsa:816/hsa:5063/hsa:2051/hsa:7474/hsa:2045/hsa:91653/hsa:9353/hsa:2044/hsa:223117/hsa:22854/hsa:6469/hsa:6091";12
"hsa04340";"Hedgehog signaling pathway";"6/211";"56/8567";0,00241854789903928;0,0816259915925758;"ENSG00000074047/ENSG00000081479/ENSG00000106571/ENSG00000144857/ENSG00000164161/ENSG00000164690";"GLI2/LRP2/GLI3/BOC/HHIP/SHH";"hsa:2736/hsa:4036/hsa:2737/hsa:91653/hsa:64399/hsa:6469";6
"hsa04925";"Aldosterone synthesis and secretion";"8/211";"98/8567";0,00279392099967818;0,0838176299903454;"ENSG00000058404/ENSG00000101333/ENSG00000105409/ENSG00000146592/ENSG00000169427/ENSG00000184304/ENSG00000186642/ENSG00000196557";"CAMK2B/PLCB4/ATP1A3/CREB5/KCNK9/PRKD1/PDE2A/CACNA1H";"hsa:816/hsa:5332/hsa:478/hsa:9586/hsa:51305/hsa:5587/hsa:5138/hsa:8912";8
"hsa04020";"Calcium signaling pathway";"14/211";"253/8567";0,00385849932282977;0,104179481716404;"ENSG00000006638/ENSG00000058404/ENSG00000089250/ENSG00000101188/ENSG00000101333/ENSG00000122420/ENSG00000128052/ENSG00000133019/ENSG00000134853/ENSG00000138675/ENSG00000151617/ENSG00000154678/ENSG00000156049/ENSG00000196557";"TBXA2R/CAMK2B/NOS1/NTSR1/PLCB4/PTGFR/KDR/CHRM3/PDGFRA/FGF5/EDNRA/PDE1C/GNA14/CACNA1H";"hsa:6915/hsa:816/hsa:4842/hsa:4923/hsa:5332/hsa:5737/hsa:3791/hsa:1131/hsa:5156/hsa:2250/hsa:1909/hsa:5137/hsa:9630/hsa:8912";14
"hsa05217";"Basal cell carcinoma";"6/211";"63/8567";0,00439053487590457;0,107152854555852;"ENSG00000074047/ENSG00000106571/ENSG00000114251/ENSG00000164161/ENSG00000164690/ENSG00000177283";"GLI2/GLI3/WNT5A/HHIP/SHH/FZD8";"hsa:2736/hsa:2737/hsa:7474/hsa:64399/hsa:6469/hsa:8325";6
"hsa04742";"Taste transduction";"7/211";"85/8567";0,00483783984271149;0,107152854555852;"ENSG00000011677/ENSG00000101333/ENSG00000133019/ENSG00000153253/ENSG00000154678/ENSG00000168830/ENSG00000169860";"GABRA3/PLCB4/CHRM3/SCN3A/PDE1C/HTR1E/P2RY1";"hsa:2556/hsa:5332/hsa:1131/hsa:6328/hsa:5137/hsa:3354/hsa:5028";7
"hsa04911";"Insulin secretion";"7/211";"86/8567";0,00515921151565213;0,107152854555852;"ENSG00000058404/ENSG00000101333/ENSG00000105409/ENSG00000133019/ENSG00000135643/ENSG00000146592/ENSG00000156113";"CAMK2B/PLCB4/ATP1A3/CHRM3/KCNMB4/CREB5/KCNMA1";"hsa:816/hsa:5332/hsa:478/hsa:1131/hsa:27345/hsa:9586/hsa:3778";7
"hsa04022";"cGMP-PKG signaling pathway";"10/211";"165/8567";0,00753035903578439;0,141793797213307;"ENSG00000061918/ENSG00000101333/ENSG00000105409/ENSG00000116741/ENSG00000135643/ENSG00000146592/ENSG00000151617/ENSG00000156113/ENSG00000159899/ENSG00000186642";"GUCY1B1/PLCB4/ATP1A3/RGS2/KCNMB4/CREB5/EDNRA/KCNMA1/NPR2/PDE2A";"hsa:2983/hsa:5332/hsa:478/hsa:5997/hsa:27345/hsa:9586/hsa:1909/hsa:3778/hsa:4882/hsa:5138";10
"hsa04970";"Salivary secretion";"7/211";"93/8567";0,00787743317851707;0,141793797213307;"ENSG00000061918/ENSG00000089250/ENSG00000101333/ENSG00000105409/ENSG00000117983/ENSG00000133019/ENSG00000156113";"GUCY1B1/NOS1/PLCB4/ATP1A3/MUC5B/CHRM3/KCNMA1";"hsa:2983/hsa:4842/hsa:5332/hsa:478/hsa:727897/hsa:1131/hsa:3778";7
"hsa04080";"Neuroactive ligand-receptor interaction";"17/211";"370/8567";0,00976347815413568;0,149190078762506;"ENSG00000006638/ENSG00000010438/ENSG00000011677/ENSG00000069482/ENSG00000101188/ENSG00000122420/ENSG00000133019/ENSG00000133636/ENSG00000151617/ENSG00000162009/ENSG00000164128/ENSG00000166206/ENSG00000168830/ENSG00000169860/ENSG00000171388/ENSG00000182256/ENSG00000183971";"TBXA2R/PRSS3/GABRA3/GAL/NTSR1/PTGFR/CHRM3/NTS/EDNRA/SSTR5/NPY1R/GABRB3/HTR1E/P2RY1/APLN/GABRG3/NPW";"hsa:6915/hsa:5646/hsa:2556/hsa:51083/hsa:4923/hsa:5737/hsa:1131/hsa:4922/hsa:1909/hsa:6755/hsa:4886/hsa:2562/hsa:3354/hsa:5028/hsa:8862/hsa:2567/hsa:283869";17
"hsa04713";"Circadian entrainment";"7/211";"97/8567";0,00984049982402446;0,149190078762506;"ENSG00000058404/ENSG00000061918/ENSG00000089250/ENSG00000101333/ENSG00000157542/ENSG00000186469/ENSG00000196557";"CAMK2B/GUCY1B1/NOS1/PLCB4/KCNJ6/GNG2/CACNA1H";"hsa:816/hsa:2983/hsa:4842/hsa:5332/hsa:3763/hsa:54331/hsa:8912";7
"hsa04024";"cAMP signaling pathway";"12/211";"226/8567";0,0099460052508337;0,149190078762506;"ENSG00000058404/ENSG00000065989/ENSG00000105409/ENSG00000106571/ENSG00000112541/ENSG00000134215/ENSG00000146592/ENSG00000151617/ENSG00000162009/ENSG00000164128/ENSG00000164161/ENSG00000168830";"CAMK2B/PDE4A/ATP1A3/GLI3/PDE10A/VAV3/CREB5/EDNRA/SSTR5/NPY1R/HHIP/HTR1E";"hsa:816/hsa:5141/hsa:478/hsa:2737/hsa:10846/hsa:10451/hsa:9586/hsa:1909/hsa:6755/hsa:4886/hsa:64399/hsa:3354";12
"hsa05410";"Hypertrophic cardiomyopathy";"7/211";"99/8567";0,0109460313936351;0,15554886717271;"ENSG00000089250/ENSG00000134769/ENSG00000142408/ENSG00000153956/ENSG00000162409/ENSG00000172164/ENSG00000198947";"NOS1/DTNA/CACNG8/CACNA2D1/PRKAA2/SNTB1/DMD";"hsa:4842/hsa:1837/hsa:59283/hsa:781/hsa:5563/hsa:6641/hsa:1756";7
"hsa04611";"Platelet activation";"8/211";"126/8567";0,0124542230448636;0,168132011105658;"ENSG00000006638/ENSG00000061918/ENSG00000101333/ENSG00000116711/ENSG00000143226/ENSG00000164692/ENSG00000168542/ENSG00000169860";"TBXA2R/GUCY1B1/PLCB4/PLA2G4A/FCGR2A/COL1A2/COL3A1/P2RY1";"hsa:6915/hsa:2983/hsa:5332/hsa:5321/hsa:2212/hsa:1278/hsa:1281/hsa:5028";8
"hsa04518";"Integrin signaling";"9/211";"154/8567";0,0137308010391933;0,176538870503913;"ENSG00000128052/ENSG00000134853/ENSG00000142156/ENSG00000163359/ENSG00000164692/ENSG00000166147/ENSG00000168477/ENSG00000168743/ENSG00000189056";"KDR/PDGFRA/COL6A1/COL6A3/COL1A2/FBN1/TNXB/NPNT/RELN";"hsa:3791/hsa:5156/hsa:1291/hsa:1293/hsa:1278/hsa:2200/hsa:7148/hsa:255743/hsa:5649";9
"hsa04728";"Dopaminergic synapse";"8/211";"132/8567";0,01612879206138;0,197944266207846;"ENSG00000058404/ENSG00000101333/ENSG00000146592/ENSG00000157542/ENSG00000168280/ENSG00000180176/ENSG00000186469/ENSG00000189221";"CAMK2B/PLCB4/CREB5/KCNJ6/KIF5C/TH/GNG2/MAOA";"hsa:816/hsa:5332/hsa:9586/hsa:3763/hsa:3800/hsa:7054/hsa:54331/hsa:4128";8
"hsa04726";"Serotonergic synapse";"7/211";"112/8567";0,0204266511791099;0,239791122537377;"ENSG00000101333/ENSG00000116711/ENSG00000157542/ENSG00000166206/ENSG00000168830/ENSG00000186469/ENSG00000189221";"PLCB4/PLA2G4A/KCNJ6/GABRB3/HTR1E/GNG2/MAOA";"hsa:5332/hsa:5321/hsa:3763/hsa:2562/hsa:3354/hsa:54331/hsa:4128";7
"hsa04512";"ECM-receptor interaction";"6/211";"89/8567";0,0222401166798954;0,250201312648823;"ENSG00000142156/ENSG00000163359/ENSG00000164692/ENSG00000168477/ENSG00000168743/ENSG00000189056";"COL6A1/COL6A3/COL1A2/TNXB/NPNT/RELN";"hsa:1291/hsa:1293/hsa:1278/hsa:7148/hsa:255743/hsa:5649";6
"hsa04725";"Cholinergic synapse";"7/211";"115/8567";0,0232406932484969;0,250999487083766;"ENSG00000058404/ENSG00000101333/ENSG00000133019/ENSG00000146592/ENSG00000157542/ENSG00000184185/ENSG00000186469";"CAMK2B/PLCB4/CHRM3/CREB5/KCNJ6/KCNJ12/GNG2";"hsa:816/hsa:5332/hsa:1131/hsa:9586/hsa:3763/hsa:3768/hsa:54331";7
"hsa00982";"Drug metabolism - cytochrome P450";"5/211";"69/8567";0,0271980835059396;0,271980835059396;"ENSG00000008394/ENSG00000108602/ENSG00000134202/ENSG00000189221/ENSG00000213366";"MGST1/ALDH3A1/GSTM3/MAOA/GSTM2";"hsa:4257/hsa:218/hsa:2947/hsa:4128/hsa:2946";5
"hsa04924";"Renin secretion";"5/211";"69/8567";0,0271980835059396;0,271980835059396;"ENSG00000061918/ENSG00000101333/ENSG00000151617/ENSG00000154678/ENSG00000156113";"GUCY1B1/PLCB4/EDNRA/PDE1C/KCNMA1";"hsa:2983/hsa:5332/hsa:1909/hsa:5137/hsa:3778";5
"hsa05205";"Proteoglycans in cancer";"10/211";"204/8567";0,0292084511301014;0,281652921611692;"ENSG00000058404/ENSG00000114251/ENSG00000128052/ENSG00000134215/ENSG00000136869/ENSG00000139329/ENSG00000145362/ENSG00000164690/ENSG00000164692/ENSG00000177283";"CAMK2B/WNT5A/KDR/VAV3/TLR4/LUM/ANK2/SHH/COL1A2/FZD8";"hsa:816/hsa:7474/hsa:3791/hsa:10451/hsa:7099/hsa:4060/hsa:287/hsa:6469/hsa:1278/hsa:8325";10
"hsa04517";"IgSF CAM signaling";"13/211";"298/8567";0,032551549725347;0,303066152615299;"ENSG00000077264/ENSG00000082397/ENSG00000104833/ENSG00000128052/ENSG00000134215/ENSG00000145147/ENSG00000145362/ENSG00000153707/ENSG00000165300/ENSG00000169855/ENSG00000170558/ENSG00000175161/ENSG00000177707";"PAK3/EPB41L3/TUBB4A/KDR/VAV3/SLIT2/ANK2/PTPRD/SLITRK5/ROBO1/CDH2/CADM2/NECTIN3";"hsa:5063/hsa:23136/hsa:10382/hsa:3791/hsa:10451/hsa:9353/hsa:287/hsa:5789/hsa:26050/hsa:6091/hsa:1000/hsa:253559/hsa:25945";13
"hsa04015";"Rap1 signaling pathway";"10/211";"211/8567";0,0356242626680431;0,320618364012388;"ENSG00000101333/ENSG00000108984/ENSG00000116991/ENSG00000128052/ENSG00000128512/ENSG00000134215/ENSG00000134853/ENSG00000138675/ENSG00000169860/ENSG00000184304";"PLCB4/MAP2K6/SIPA1L2/KDR/DOCK4/VAV3/PDGFRA/FGF5/P2RY1/PRKD1";"hsa:5332/hsa:5608/hsa:57568/hsa:3791/hsa:9732/hsa:10451/hsa:5156/hsa:2250/hsa:5028/hsa:5587";10
"hsa04918";"Thyroid hormone synthesis";"5/211";"75/8567";0,0371648591027466;0,323693934120697;"ENSG00000042832/ENSG00000081479/ENSG00000101333/ENSG00000105409/ENSG00000146592";"TG/LRP2/PLCB4/ATP1A3/CREB5";"hsa:7038/hsa:4036/hsa:5332/hsa:478/hsa:9586";5
"hsa04514";"Cell adhesion molecule (CAM) interaction";"8/211";"158/8567";0,0412780323323453;0,338270449743865;"ENSG00000013297/ENSG00000038427/ENSG00000153707/ENSG00000162631/ENSG00000165300/ENSG00000170558/ENSG00000177707/ENSG00000261371";"CLDN11/VCAN/PTPRD/NTNG1/SLITRK5/CDH2/NECTIN3/PECAM1";"hsa:5010/hsa:1462/hsa:5789/hsa:22854/hsa:26050/hsa:1000/hsa:25945/hsa:5175";8
"hsa04926";"Relaxin signaling pathway";"7/211";"130/8567";0,0413441660798057;0,338270449743865;"ENSG00000089250/ENSG00000101333/ENSG00000137745/ENSG00000146592/ENSG00000164692/ENSG00000168542/ENSG00000186469";"NOS1/PLCB4/MMP13/CREB5/COL1A2/COL3A1/GNG2";"hsa:4842/hsa:5332/hsa:4322/hsa:9586/hsa:1278/hsa:1281/hsa:54331";7
"hsa05414";"Dilated cardiomyopathy";"6/211";"104/8567";0,0430689445803923;0,34201808931488;"ENSG00000089250/ENSG00000134769/ENSG00000142408/ENSG00000153956/ENSG00000172164/ENSG00000198947";"NOS1/DTNA/CACNG8/CACNA2D1/SNTB1/DMD";"hsa:4842/hsa:1837/hsa:59283/hsa:781/hsa:6641/hsa:1756";6
"hsa04270";"Vascular smooth muscle contraction";"7/211";"134/8567";0,0473865639728329;0,365553493504711;"ENSG00000061918/ENSG00000101333/ENSG00000116711/ENSG00000135643/ENSG00000151617/ENSG00000156113/ENSG00000159899";"GUCY1B1/PLCB4/PLA2G4A/KCNMB4/EDNRA/KCNMA1/NPR2";"hsa:2983/hsa:5332/hsa:5321/hsa:27345/hsa:1909/hsa:3778/hsa:4882";7
"hsa00480";"Glutathione metabolism";"4/211";"57/8567";0,0513050050113325;0,384787537584994;"ENSG00000008394/ENSG00000134202/ENSG00000166825/ENSG00000213366";"MGST1/GSTM3/ANPEP/GSTM2";"hsa:4257/hsa:2947/hsa:290/hsa:2946";4
"hsa00360";"Phenylalanine metabolism";"2/211";"16/8567";0,0577651984854741;0,40425933582542;"ENSG00000108602/ENSG00000189221";"ALDH3A1/MAOA";"hsa:218/hsa:4128";2
"hsa00350";"Tyrosine metabolism";"3/211";"36/8567";0,0580303745119691;0,40425933582542;"ENSG00000108602/ENSG00000180176/ENSG00000189221";"ALDH3A1/TH/MAOA";"hsa:218/hsa:7054/hsa:4128";3
"hsa05418";"Fluid shear stress and atherosclerosis";"7/211";"141/8567";0,0592603932019887;0,40425933582542;"ENSG00000008394/ENSG00000108984/ENSG00000128052/ENSG00000134202/ENSG00000162409/ENSG00000213366/ENSG00000261371";"MGST1/MAP2K6/KDR/GSTM3/PRKAA2/GSTM2/PECAM1";"hsa:4257/hsa:5608/hsa:3791/hsa:2947/hsa:5563/hsa:2946/hsa:5175";7
"hsa04730";"Long-term depression";"4/211";"60/8567";0,0598902719741363;0,40425933582542;"ENSG00000061918/ENSG00000089250/ENSG00000101333/ENSG00000116711";"GUCY1B1/NOS1/PLCB4/PLA2G4A";"hsa:2983/hsa:4842/hsa:5332/hsa:5321";4
"hsa04510";"Focal adhesion";"9/211";"202/8567";0,061771166266733;0,406785729073608;"ENSG00000077264/ENSG00000128052/ENSG00000134215/ENSG00000134853/ENSG00000142156/ENSG00000163359/ENSG00000164692/ENSG00000168477/ENSG00000189056";"PAK3/KDR/VAV3/PDGFRA/COL6A1/COL6A3/COL1A2/TNXB/RELN";"hsa:5063/hsa:3791/hsa:10451/hsa:5156/hsa:1291/hsa:1293/hsa:1278/hsa:7148/hsa:5649";9
"hsa03273";"Virion - Lassa virus and SFTS virus";"2/211";"17/8567";0,0644324607237284;0,414208676081111;"ENSG00000169851/ENSG00000184226";"PCDH7/PCDH9";"hsa:5099/hsa:5101";2
"hsa04540";"Gap junction";"5/211";"89/8567";0,0681952825817658;0,41847105220629;"ENSG00000061918/ENSG00000101333/ENSG00000104833/ENSG00000134853/ENSG00000152661";"GUCY1B1/PLCB4/TUBB4A/PDGFRA/GJA1";"hsa:2983/hsa:5332/hsa:10382/hsa:5156/hsa:2697";5
"hsa04727";"GABAergic synapse";"5/211";"89/8567";0,0681952825817658;0,41847105220629;"ENSG00000011677/ENSG00000157542/ENSG00000166206/ENSG00000182256/ENSG00000186469";"GABRA3/KCNJ6/GABRB3/GABRG3/GNG2";"hsa:2556/hsa:3763/hsa:2562/hsa:2567/hsa:54331";5
"hsa05033";"Nicotine addiction";"3/211";"41/8567";0,0793491838638865;0,476095103183319;"ENSG00000011677/ENSG00000166206/ENSG00000182256";"GABRA3/GABRB3/GABRG3";"hsa:2556/hsa:2562/hsa:2567";3
"hsa05416";"Viral myocarditis";"4/211";"67/8567";0,082674472982039;0,485263210981533;"ENSG00000089250/ENSG00000134769/ENSG00000172164/ENSG00000198947";"NOS1/DTNA/SNTB1/DMD";"hsa:4842/hsa:1837/hsa:6641/hsa:1756";4
"hsa04261";"Adrenergic signaling in cardiomyocytes";"7/211";"154/8567";0,0857950594114236;0,492865234916689;"ENSG00000058404/ENSG00000101333/ENSG00000105409/ENSG00000105711/ENSG00000142408/ENSG00000146592/ENSG00000153956";"CAMK2B/PLCB4/ATP1A3/SCN1B/CACNG8/CREB5/CACNA2D1";"hsa:816/hsa:5332/hsa:478/hsa:6324/hsa:59283/hsa:9586/hsa:781";7
"hsa05031";"Amphetamine addiction";"4/211";"69/8567";0,0898668279187177;0,49407625375836;"ENSG00000058404/ENSG00000146592/ENSG00000180176/ENSG00000189221";"CAMK2B/CREB5/TH/MAOA";"hsa:816/hsa:9586/hsa:7054/hsa:4128";4
"hsa04666";"Fc gamma R-mediated phagocytosis";"5/211";"97/8567";0,0908369967694538;0,49407625375836;"ENSG00000006747/ENSG00000116711/ENSG00000132970/ENSG00000134215/ENSG00000143226";"SCIN/PLA2G4A/WASF3/VAV3/FCGR2A";"hsa:85477/hsa:5321/hsa:10810/hsa:10451/hsa:2212";5
"hsa04081";"Hormone signaling";"9/211";"219/8567";0,0914956025478444;0,49407625375836;"ENSG00000089250/ENSG00000101333/ENSG00000113389/ENSG00000120693/ENSG00000138449/ENSG00000156049/ENSG00000159899/ENSG00000162009/ENSG00000186469";"NOS1/PLCB4/NPR3/SMAD9/SLC40A1/GNA14/NPR2/SSTR5/GNG2";"hsa:4842/hsa:5332/hsa:4883/hsa:4093/hsa:30061/hsa:9630/hsa:4882/hsa:6755/hsa:54331";9
"hsa00340";"Histidine metabolism";"2/211";"22/8567";0,101112967331613;0,535303944696773;"ENSG00000108602/ENSG00000189221";"ALDH3A1/MAOA";"hsa:218/hsa:4128";2
