"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000107643";"MAPK8";"mitogen-activated protein kinase 8";5328;0,422766417264938;"No"
"row_1";"ENSG00000055208";"TAB2";"TGF-beta activated kinase 1 (MAP3K7) binding protein 2";5949;0,234971538186073;"No"
"row_2";"ENSG00000175104";"TRAF6";"TNF receptor associated factor 6";6137;0,191519901156425;"No"
"row_3";"ENSG00000170345";"FOS";"Fos proto-oncogene, AP-1 transcription factor subunit";6294;0,165559604763985;"No"
"row_4";"ENSG00000115594";"IL1R1";"interleukin 1 receptor type 1";7114;0,0926561132073402;"No"
"row_5";"ENSG00000100324";"TAB1";"TGF-beta activated kinase 1 (MAP3K7) binding protein 1";8964;0,00569430273026228;"No"
"row_6";"ENSG00000196083";"IL1RAP";"interleukin 1 receptor accessory protein";9547;0,000245860748691484;"No"
"row_7";"ENSG00000135341";"MAP3K7";"mitogen-activated protein kinase kinase kinase 7";28248;-0,00194440840277821;"No"
"row_8";"ENSG00000050748";"MAPK9";"mitogen-activated protein kinase 9";28250;-0,00195777020417154;"No"
"row_9";"ENSG00000177606";"JUN";"Jun proto-oncogene, AP-1 transcription factor subunit";28903;-0,0107438610866666;"No"
"row_10";"ENSG00000065559";"MAP2K4";"mitogen-activated protein kinase kinase 4";30866;-0,0959751456975937;"No"
"row_11";"ENSG00000076984";"MAP2K7";"mitogen-activated protein kinase kinase 7";31898;-0,198653101921082;"No"
"row_12";"ENSG00000184216";"IRAK1";"interleukin 1 receptor associated kinase 1";33130;-0,493987560272217;"Yes"
"row_13";"ENSG00000198001";"IRAK4";"interleukin 1 receptor associated kinase 4";33837;-0,875354111194611;"Yes"
"row_14";"ENSG00000172936";"MYD88";"MYD88 innate immune signal transduction adaptor";34055;-1,01158797740936;"Yes"
"row_15";"ENSG00000157625";"TAB3";"TGF-beta activated kinase 1 (MAP3K7) binding protein 3";34108;-1,05012667179108;"Yes"
"row_16";"ENSG00000109339";"MAPK10";"mitogen-activated protein kinase 10";34637;-1,95536732673645;"Yes"
"row_17";"ENSG00000115008";"IL1A";"interleukin 1 alpha";35750;-8,38853359222412;"Yes"
"row_18";"ENSG00000125538";"IL1B";"interleukin 1 beta";35974;-14,6341981887817;"Yes"
