"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000092969";"TGFB2";"transforming growth factor beta 2";1817;7,77977752685547;"No"
"row_1";"ENSG00000105851";"PIK3CG";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma";2108;6,02192974090576;"No"
"row_2";"ENSG00000138798";"EGF";"epidermal growth factor";2118;5,98305177688599;"No"
"row_3";"ENSG00000119630";"PGF";"placental growth factor";2778;3,22870278358459;"No"
"row_4";"ENSG00000105810";"CDK6";"cyclin dependent kinase 6";4431;1,04908466339111;"No"
"row_5";"ENSG00000150630";"VEGFC";"vascular endothelial growth factor C";5052;0,569745600223541;"No"
"row_6";"ENSG00000007968";"E2F2";"E2F transcription factor 2";5215;0,46582493185997;"No"
"row_7";"ENSG00000163513";"TGFBR2";"transforming growth factor beta receptor 2";5259;0,445214360952377;"No"
"row_8";"ENSG00000107643";"MAPK8";"mitogen-activated protein kinase 8";5328;0,422766417264938;"No"
"row_9";"ENSG00000119699";"TGFB3";"transforming growth factor beta 3";5513;0,352083802223206;"No"
"row_10";"ENSG00000139618";"BRCA2";"BRCA2 DNA repair associated";5680;0,299917876720428;"No"
"row_11";"ENSG00000145675";"PIK3R1";"phosphoinositide-3-kinase regulatory subunit 1";6001;0,220554277300835;"No"
"row_12";"ENSG00000106799";"TGFBR1";"transforming growth factor beta receptor 1";6080;0,203760713338852;"No"
"row_13";"ENSG00000117020";"AKT3";"AKT serine/threonine kinase 3";6912;0,109116896986961;"No"
"row_14";"ENSG00000017797";"RALBP1";"ralA binding protein 1";7000;0,101957403123379;"No"
"row_15";"ENSG00000112242";"E2F3";"E2F transcription factor 3";7076;0,0957970917224884;"No"
"row_16";"ENSG00000132155";"RAF1";"Raf-1 proto-oncogene, serine/threonine kinase";7147;0,0880450382828712;"No"
"row_17";"ENSG00000133703";"KRAS";"KRAS proto-oncogene, GTPase";7194;0,0818722322583199;"No"
"row_18";"ENSG00000115415";"STAT1";"signal transducer and activator of transcription 1";8353;0,0194498635828495;"No"
"row_19";"ENSG00000173511";"VEGFB";"vascular endothelial growth factor B";8481;0,0156869105994701;"No"
"row_20";"ENSG00000105329";"TGFB1";"transforming growth factor beta 1";8993;0,00509712472558022;"No"
"row_21";"ENSG00000171608";"PIK3CD";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta";9139;0,00317097292281687;"No"
"row_22";"ENSG00000135446";"CDK4";"cyclin dependent kinase 4";9306;0,00155635760165751;"No"
"row_23";"ENSG00000213341";"CHUK";"component of inhibitor of nuclear factor kappa B kinase complex";9310;0,0015237923944369;"No"
"row_24";"ENSG00000100030";"MAPK1";"mitogen-activated protein kinase 1";9681;3,02304965771327e-06;"No"
"row_25";"ENSG00000117461";"PIK3R3";"phosphoinositide-3-kinase regulatory subunit 3";10208;0;"No"
"row_26";"ENSG00000141506";"PIK3R5";"phosphoinositide-3-kinase regulatory subunit 5";10706;0;"No"
"row_27";"ENSG00000165197";"VEGFD";"vascular endothelial growth factor D";11203;0;"No"
"row_28";"ENSG00000050748";"MAPK9";"mitogen-activated protein kinase 9";28250;-0,00195777020417154;"No"
"row_29";"ENSG00000139687";"RB1";"RB transcriptional corepressor 1";28469;-0,00423827208578587;"No"
"row_30";"ENSG00000166949";"SMAD3";"SMAD family member 3";28532;-0,00498585216701031;"No"
"row_31";"ENSG00000075651";"PLD1";"phospholipase D1";28760;-0,00826666131615639;"No"
"row_32";"ENSG00000129675";"ARHGEF6";"Rac/Cdc42 guanine nucleotide exchange factor 6";28991;-0,0123857231810689;"No"
"row_33";"ENSG00000173039";"RELA";"RELA proto-oncogene, NF-kB subunit";29095;-0,0146233038976789;"No"
"row_34";"ENSG00000169032";"MAP2K1";"mitogen-activated protein kinase kinase 1";29235;-0,0181469935923815;"No"
