"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000160201";"U2AF1";"U2 small nuclear RNA auxiliary factor 1";4602;0,927197933197021;"No"
"row_1";"ENSG00000111196";"MAGOHB";"mago homolog B, exon junction complex subunit";5149;0,503078699111938;"No"
"row_2";"ENSG00000084072";"PPIE";"peptidylprolyl isomerase E";5363;0,413286566734314;"No"
"row_3";"ENSG00000124380";"SNRNP27";"small nuclear ribonucleoprotein U4/U6.U5 subunit 27";5863;0,259725779294968;"No"
"row_4";"ENSG00000204392";"LSM2";"LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated";5945;0,237593576312065;"No"
"row_5";"ENSG00000141759";"TXNL4A";"thioredoxin like 4A";6047;0,210781216621399;"No"
"row_6";"ENSG00000263465";"SRSF8";"serine and arginine rich splicing factor 8";6077;0,204306438565254;"No"
"row_7";"ENSG00000110844";"PRPF40B";"pre-mRNA processing factor 40 homolog B";6221;0,178820788860321;"No"
"row_8";"ENSG00000167088";"SNRPD1";"small nuclear ribonucleoprotein D1 polypeptide";6415;0,152388289570808;"No"
"row_9";"ENSG00000105618";"PRPF31";"pre-mRNA processing factor 31";6755;0,127047479152679;"No"
"row_10";"ENSG00000171960";"PPIH";"peptidylprolyl isomerase H";6789;0,124261192977428;"No"
"row_11";"ENSG00000150316";"CWC15";"CWC15 spliceosome associated protein homolog";6812;0,121200896799564;"No"
"row_12";"ENSG00000100410";"PHF5A";"PHD finger protein 5A";7168;0,0857222080230713;"No"
"row_13";"ENSG00000079134";"THOC1";"THO complex subunit 1";7188;0,0824595168232918;"No"
"row_14";"ENSG00000144028";"SNRNP200";"small nuclear ribonucleoprotein U5 subunit 200";7392;0,0643621236085892;"No"
"row_15";"ENSG00000124193";"SRSF6";"serine and arginine rich splicing factor 6";7628;0,0480449423193932;"No"
"row_16";"ENSG00000169976";"SF3B5";"splicing factor 3b subunit 5";7635;0,0477902255952358;"No"
"row_17";"ENSG00000106245";"BUD31";"BUD31 homolog";7681;0,0448950752615929;"No"
"row_18";"ENSG00000143977";"SNRPG";"small nuclear ribonucleoprotein polypeptide G";7750;0,0412019938230515;"No"
"row_19";"ENSG00000060688";"SNRNP40";"small nuclear ribonucleoprotein U5 subunit 40";7875;0,0354492664337158;"No"
"row_20";"ENSG00000108883";"EFTUD2";"elongation factor Tu GTP binding domain containing 2";7969;0,0320798456668854;"No"
"row_21";"ENSG00000164548";"TRA2A";"transformer 2 alpha homolog";8001;0,030998794361949;"No"
"row_22";"ENSG00000139675";"HNRNPA1L2";"heterogeneous nuclear ribonucleoprotein A1 like 2";8022;0,0300352144986391;"No"
"row_23";"ENSG00000106355";"LSM5";"LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated";8063;0,0287579260766506;"No"
"row_24";"ENSG00000136875";"PRPF4";"pre-mRNA splicing tri-snRNP complex factor PRPF4";8345;0,0198386926203966;"No"
"row_25";"ENSG00000131876";"SNRPA1";"small nuclear ribonucleoprotein polypeptide A'";8348;0,0197488367557526;"No"
"row_26";"ENSG00000171566";"PLRG1";"pleiotropic regulator 1";8398;0,0179305151104927;"No"
"row_27";"ENSG00000119707";"RBM25";"RNA binding motif protein 25";8528;0,0147144114598632;"No"
"row_28";"ENSG00000179950";"PUF60";"poly(U) binding splicing factor 60";8636;0,0123250372707844;"No"
"row_29";"ENSG00000086589";"RBM22";"RNA binding motif protein 22";8678;0,0116157401353121;"No"
"row_30";"ENSG00000183431";"SF3A3";"splicing factor 3a subunit 3";8779;0,00955795124173164;"No"
"row_31";"ENSG00000021776";"AQR";"aquarius intron-binding spliceosomal factor";8800;0,0089116171002388;"No"
"row_32";"ENSG00000196504";"PRPF40A";"pre-mRNA processing factor 40 homolog A";8822;0,00841331668198109;"No"
"row_33";"ENSG00000134748";"PRPF38A";"pre-mRNA processing factor 38A";8825;0,00838369783014059;"No"
"row_34";"ENSG00000188529";"SRSF10";"serine and arginine rich splicing factor 10";8886;0,00695478683337569;"No"
"row_35";"ENSG00000143368";"SF3B4";"splicing factor 3b subunit 4";8916;0,00641548214480281;"No"
"row_36";"ENSG00000108654";"DDX5";"DEAD-box helicase 5";8932;0,00619380176067352;"No"
"row_37";"ENSG00000160799";"CCDC12";"coiled-coil domain containing 12";9129;0,00328985904343426;"No"
"row_38";"ENSG00000170860";"LSM3";"LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated";9163;0,00285991001874208;"No"
"row_39";"ENSG00000100028";"SNRPD3";"small nuclear ribonucleoprotein D3 polypeptide";9165;0,00281358254142106;"No"
"row_40";"ENSG00000125870";"SNRPB2";"small nuclear ribonucleoprotein polypeptide B2";9198;0,00252515939064324;"No"
"row_41";"ENSG00000168883";"USP39";"ubiquitin specific peptidase 39";9226;0,00227491627447307;"No"
"row_42";"ENSG00000109971";"HSPA8";"heat shock protein family A (Hsp70) member 8";9290;0,00169350486248732;"No"
"row_43";"ENSG00000183684";"ALYREF";"Aly/REF export factor";9314;0,00147471320815384;"No"
"row_44";"ENSG00000102103";"PQBP1";"polyglutamine binding protein 1";9323;0,0014335298910737;"No"
"row_45";"ENSG00000119953";"SMNDC1";"survival motor neuron domain containing 1";9405;0,000871055410243571;"No"
"row_46";"ENSG00000136450";"SRSF1";"serine and arginine rich splicing factor 1";9470;0,000505583535414189;"No"
"row_47";"ENSG00000189091";"SF3B3";"splicing factor 3b subunit 3";9575;0,000160188559675589;"No"
"row_48";"ENSG00000165630";"PRPF18";"pre-mRNA processing factor 18";9602;9,92335408227518e-05;"No"
"row_49";"ENSG00000099995";"SF3A1";"splicing factor 3a subunit 1";9677;4,08896130466019e-06;"No"
"row_50";"ENSG00000084463";"WBP11";"WW domain binding protein 11";9846;0;"No"
"row_51";"ENSG00000137168";"PPIL1";"peptidylprolyl isomerase like 1";10618;0;"No"
"row_52";"ENSG00000198563";"DDX39B";"DExD-box helicase 39B";12772;0;"No"
"row_53";"ENSG00000204390";"HSPA1L";"heat shock protein family A (Hsp70) member 1 like";13881;0;"No"
"row_54";"ENSG00000240682";"ISY1";"ISY1 splicing factor homolog";20235;0;"No"
"row_55";"ENSG00000168438";"CDC40";"cell division cycle 40";27884;-3,11788935505319e-05;"No"
"row_56";"ENSG00000175467";"SART1";"spliceosome associated factor 1, recruiter of U4/U6.U5 tri-snRNP";27897;-4,59357506770175e-05;"No"
"row_57";"ENSG00000265241";"RBM8A";"RNA binding motif protein 8A";27921;-8,07379401521757e-05;"No"
"row_58";"ENSG00000162385";"MAGOH";"mago homolog, exon junction complex subunit";27975;-0,000261394219705835;"No"
"row_59";"ENSG00000113649";"TCERG1";"transcription elongation regulator 1";27986;-0,00028708201716654;"No"
"row_60";"ENSG00000140829";"DHX38";"DEAH-box helicase 38";28086;-0,000725338933989406;"No"
"row_61";"ENSG00000132792";"CTNNBL1";"catenin beta like 1";28104;-0,000823395210318267;"No"
"row_62";"ENSG00000116752";"BCAS2";"BCAS2 pre-mRNA processing factor";28135;-0,00103525083977729;"No"
"row_63";"ENSG00000100813";"ACIN1";"apoptotic chromatin condensation inducer 1";28166;-0,00118842616211623;"No"
"row_64";"ENSG00000104852";"SNRNP70";"small nuclear ribonucleoprotein U1 subunit 70";28256;-0,00202798889949918;"No"
"row_65";"ENSG00000124562";"SNRPC";"small nuclear ribonucleoprotein polypeptide C";28390;-0,0032695506233722;"No"
"row_66";"ENSG00000067596";"DHX8";"DEAH-box helicase 8";28398;-0,00337872933596373;"No"
"row_67";"ENSG00000161547";"SRSF2";"serine and arginine rich splicing factor 2";28458;-0,00410079630091786;"No"
"row_68";"ENSG00000198231";"DDX42";"DEAD-box helicase 42";28645;-0,00658974656835198;"No"
"row_69";"ENSG00000100603";"SNW1";"SNW domain containing 1";28668;-0,00705392565578222;"No"
"row_70";"ENSG00000153187";"HNRNPU";"heterogeneous nuclear ribonucleoprotein U";28670;-0,00705529376864433;"No"
"row_71";"ENSG00000135486";"HNRNPA1";"heterogeneous nuclear ribonucleoprotein A1";28731;-0,00791987031698227;"No"
"row_72";"ENSG00000115524";"SF3B1";"splicing factor 3b subunit 1";28773;-0,00850712228566408;"No"
"row_73";"ENSG00000063244";"U2AF2";"U2 small nuclear RNA auxiliary factor 2";28806;-0,00912700034677982;"No"
"row_74";"ENSG00000100138";"SNU13";"small nuclear ribonucleoprotein 13";28891;-0,0105827730149031;"No"
"row_75";"ENSG00000134453";"RBM17";"RNA binding motif protein 17";29170;-0,0166823491454124;"No"
"row_76";"ENSG00000096401";"CDC5L";"cell division cycle 5 like";29172;-0,0167582705616951;"No"
"row_77";"ENSG00000164609";"SLU7";"SLU7 homolog, splicing factor";29190;-0,0172252245247364;"No"
"row_78";"ENSG00000110107";"PRPF19";"pre-mRNA processing factor 19";29222;-0,0177945885807276;"No"
"row_79";"ENSG00000174243";"DDX23";"DEAD-box helicase 23";29243;-0,0182974953204393;"No"
"row_80";"ENSG00000182004";"SNRPE";"small nuclear ribonucleoprotein polypeptide E";29372;-0,0223389565944672;"No"
