"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000089250";"NOS1";"nitric oxide synthase 1";167;51,3513412475586;"Yes"
"row_1";"ENSG00000116711";"PLA2G4A";"phospholipase A2 group IVA";501;30,958984375;"Yes"
"row_2";"ENSG00000061918";"GUCY1B1";"guanylate cyclase 1 soluble subunit beta 1";525;29,8679943084717;"Yes"
"row_3";"ENSG00000196218";"RYR1";"ryanodine receptor 1";699;24,2708625793457;"Yes"
"row_4";"ENSG00000152402";"GUCY1A2";"guanylate cyclase 1 soluble subunit alpha 2";873;20,2789611816406;"Yes"
"row_5";"ENSG00000182621";"PLCB1";"phospholipase C beta 1";1071;16,5350074768066;"Yes"
"row_6";"ENSG00000152208";"GRID2";"glutamate ionotropic receptor delta type subunit 2";1200;14,7471218109131;"Yes"
"row_7";"ENSG00000141837";"CACNA1A";"calcium voltage-gated channel subunit alpha1 A";1224;14,052544593811;"Yes"
"row_8";"ENSG00000101333";"PLCB4";"phospholipase C beta 4";1365;12,1634292602539;"Yes"
"row_9";"ENSG00000150995";"ITPR1";"inositol 1,4,5-trisphosphate receptor type 1";1518;10,5428495407104;"Yes"
"row_10";"ENSG00000137841";"PLCB2";"phospholipase C beta 2";1527;10,3475074768066;"Yes"
"row_11";"ENSG00000166501";"PRKCB";"protein kinase C beta";1954;6,69312286376953;"Yes"
"row_12";"ENSG00000168959";"GRM5";"glutamate metabotropic receptor 5";2222;5,33043575286865;"Yes"
"row_13";"ENSG00000120251";"GRIA2";"glutamate ionotropic receptor AMPA type subunit 2";2298;4,8639235496521;"Yes"
"row_14";"ENSG00000125675";"GRIA3";"glutamate ionotropic receptor AMPA type subunit 3";2302;4,8639235496521;"Yes"
"row_15";"ENSG00000087460";"GNAS";"GNAS complex locus";2750;3,32543778419495;"Yes"
