"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000196557";"CACNA1H";"calcium voltage-gated channel subunit alpha1 H";53;70,6425094604492;"Yes"
"row_1";"ENSG00000157388";"CACNA1D";"calcium voltage-gated channel subunit alpha1 D";339;38,057861328125;"Yes"
"row_2";"ENSG00000006283";"CACNA1G";"calcium voltage-gated channel subunit alpha1 G";481;31,4817905426025;"Yes"
"row_3";"ENSG00000100346";"CACNA1I";"calcium voltage-gated channel subunit alpha1 I";845;20,7535591125488;"Yes"
"row_4";"ENSG00000141837";"CACNA1A";"calcium voltage-gated channel subunit alpha1 A";1224;14,052544593811;"Yes"
"row_5";"ENSG00000151067";"CACNA1C";"calcium voltage-gated channel subunit alpha1 C";1238;13,8910245895386;"Yes"
"row_6";"ENSG00000148408";"CACNA1B";"calcium voltage-gated channel subunit alpha1 B";1539;10,0593957901001;"Yes"
"row_7";"ENSG00000151475";"SLC25A31";"solute carrier family 25 member 31";3348;2,00918221473694;"No"
"row_8";"ENSG00000198216";"CACNA1E";"calcium voltage-gated channel subunit alpha1 E";3531;2,00918221473694;"No"
"row_9";"ENSG00000151729";"SLC25A4";"solute carrier family 25 member 4";4050;1,71982383728027;"No"
"row_10";"ENSG00000172115";"CYCS";"cytochrome c, somatic";7181;0,0831831246614456;"No"
"row_11";"ENSG00000165637";"VDAC2";"voltage dependent anion channel 2";8769;0,00972220674157143;"No"
"row_12";"ENSG00000164305";"CASP3";"caspase 3";9209;0,00244291848503053;"No"
"row_13";"ENSG00000081248";"CACNA1S";"calcium voltage-gated channel subunit alpha1 S";9834;0;"No"
"row_14";"ENSG00000102001";"CACNA1F";"calcium voltage-gated channel subunit alpha1 F";9962;0;"No"
"row_15";"ENSG00000165806";"CASP7";"caspase 7";28631;-0,00641345931217074;"No"
"row_16";"ENSG00000120868";"APAF1";"apoptotic peptidase activating factor 1";28843;-0,00987098924815655;"No"
"row_17";"ENSG00000213585";"VDAC1";"voltage dependent anion channel 1";30403;-0,0651230663061142;"No"
"row_18";"ENSG00000078668";"VDAC3";"voltage dependent anion channel 3";30520;-0,0697457566857338;"No"
"row_19";"ENSG00000132906";"CASP9";"caspase 9";31342;-0,136909484863281;"No"
"row_20";"ENSG00000005022";"SLC25A5";"solute carrier family 25 member 5";31788;-0,183718428015709;"No"
"row_21";"ENSG00000156026";"MCU";"mitochondrial calcium uniporter";33228;-0,533932209014893;"No"
"row_22";"ENSG00000292334";"SLC25A6";"solute carrier family 25 member 6";33919;-0,952391803264618;"No"
