"KEGG_ID";"Description";"Gene_Ratio";"BgRatio";"pvalue";"padj";"gene_id";"gene_name";"kegg_id";"count"
"hsa04820";"Cytoskeleton in muscle cells";"28/313";"233/8567";2,32319932216403e-08;6,31910215628616e-06;"ENSG00000006788/ENSG00000022267/ENSG00000026025/ENSG00000060718/ENSG00000080573/ENSG00000101680/ENSG00000105409/ENSG00000108821/ENSG00000111245/ENSG00000114854/ENSG00000115414/ENSG00000116962/ENSG00000118194/ENSG00000128591/ENSG00000130635/ENSG00000131018/ENSG00000134769/ENSG00000135424/ENSG00000138829/ENSG00000145362/ENSG00000146122/ENSG00000147202/ENSG00000154553/ENSG00000163359/ENSG00000166147/ENSG00000168542/ENSG00000169439/ENSG00000204262";"MYH13/FHL1/VIM/COL11A1/COL5A3/LAMA1/ATP1A3/COL1A1/MYL2/TNNC1/FN1/NID1/TNNT2/FLNC/COL5A1/SYNE1/DTNA/ITGA7/FBN2/ANK2/DAAM2/DIAPH2/PDLIM3/COL6A3/FBN1/COL3A1/SDC2/COL5A2";"hsa:8735/hsa:2273/hsa:7431/hsa:1301/hsa:50509/hsa:284217/hsa:478/hsa:1277/hsa:4633/hsa:7134/hsa:2335/hsa:4811/hsa:7139/hsa:2318/hsa:1289/hsa:23345/hsa:1837/hsa:3679/hsa:2201/hsa:287/hsa:23500/hsa:1730/hsa:27295/hsa:1293/hsa:2200/hsa:1281/hsa:6383/hsa:1290";28
"hsa04517";"IgSF CAM signaling";"31/313";"298/8567";1,18706097076038e-07;1,58617576103678e-05;"ENSG00000018236/ENSG00000065320/ENSG00000065675/ENSG00000077264/ENSG00000082397/ENSG00000104833/ENSG00000107731/ENSG00000111262/ENSG00000131409/ENSG00000137285/ENSG00000145147/ENSG00000145362/ENSG00000146938/ENSG00000148948/ENSG00000149294/ENSG00000151079/ENSG00000154654/ENSG00000162706/ENSG00000163531/ENSG00000169760/ENSG00000169855/ENSG00000170558/ENSG00000177301/ENSG00000177707/ENSG00000179542/ENSG00000182168/ENSG00000182985/ENSG00000184156/ENSG00000184347/ENSG00000187391/ENSG00000198033";"CNTN1/NTN1/PRKCQ/PAK3/EPB41L3/TUBB4A/UNC5B/KCNA1/LRRC4B/TUBB2B/SLIT2/ANK2/NLGN4X/LRRC4C/NCAM1/KCNA6/NCAM2/CADM3/NFASC/NLGN1/ROBO1/CDH2/KCNA2/NECTIN3/SLITRK4/UNC5C/CADM1/KCNQ3/SLIT3/MAGI2/TUBA3C";"hsa:1272/hsa:9423/hsa:5588/hsa:5063/hsa:23136/hsa:10382/hsa:219699/hsa:3736/hsa:94030/hsa:347733/hsa:9353/hsa:287/hsa:57502/hsa:57689/hsa:4684/hsa:3742/hsa:4685/hsa:57863/hsa:23114/hsa:22871/hsa:6091/hsa:1000/hsa:3737/hsa:25945/hsa:139065/hsa:8633/hsa:23705/hsa:3786/hsa:6586/hsa:9863/hsa:7278";31
"hsa04360";"Axon guidance";"23/313";"182/8567";1,74945855996704e-07;1,58617576103678e-05;"ENSG00000065320/ENSG00000077264/ENSG00000092421/ENSG00000101144/ENSG00000106123/ENSG00000107731/ENSG00000108947/ENSG00000114251/ENSG00000138696/ENSG00000138741/ENSG00000144857/ENSG00000145147/ENSG00000145242/ENSG00000148948/ENSG00000153993/ENSG00000154928/ENSG00000157851/ENSG00000162631/ENSG00000169855/ENSG00000182168/ENSG00000182511/ENSG00000184347/ENSG00000196358";"NTN1/PAK3/SEMA6A/BMP7/EPHB6/UNC5B/EFNB3/WNT5A/BMPR1B/TRPC3/BOC/SLIT2/EPHA5/LRRC4C/SEMA3D/EPHB1/DPYSL5/NTNG1/ROBO1/UNC5C/FES/SLIT3/NTNG2";"hsa:9423/hsa:5063/hsa:57556/hsa:655/hsa:2051/hsa:219699/hsa:1949/hsa:7474/hsa:658/hsa:7222/hsa:91653/hsa:9353/hsa:2044/hsa:57689/hsa:223117/hsa:2047/hsa:56896/hsa:22854/hsa:6091/hsa:8633/hsa:2242/hsa:6586/hsa:84628";23
"hsa04514";"Cell adhesion molecule (CAM) interaction";"20/313";"158/8567";1,10685442413197e-06;7,5266100840974e-05;"ENSG00000018236/ENSG00000021645/ENSG00000110076/ENSG00000131409/ENSG00000146938/ENSG00000148948/ENSG00000149294/ENSG00000154654/ENSG00000162631/ENSG00000162706/ENSG00000163531/ENSG00000169439/ENSG00000169760/ENSG00000170558/ENSG00000172260/ENSG00000177707/ENSG00000179242/ENSG00000179542/ENSG00000182985/ENSG00000196358";"CNTN1/NRXN3/NRXN2/LRRC4B/NLGN4X/LRRC4C/NCAM1/NCAM2/NTNG1/CADM3/NFASC/SDC2/NLGN1/CDH2/NEGR1/NECTIN3/CDH4/SLITRK4/CADM1/NTNG2";"hsa:1272/hsa:9369/hsa:9379/hsa:94030/hsa:57502/hsa:57689/hsa:4684/hsa:4685/hsa:22854/hsa:57863/hsa:23114/hsa:6383/hsa:22871/hsa:1000/hsa:257194/hsa:25945/hsa:1002/hsa:139065/hsa:23705/hsa:84628";20
"hsa04310";"Wnt signaling pathway";"20/313";"174/8567";5,0466246867869e-06;0,000274536382961207;"ENSG00000076716/ENSG00000101282/ENSG00000101849/ENSG00000104332/ENSG00000114251/ENSG00000118971/ENSG00000131196/ENSG00000138795/ENSG00000139292/ENSG00000140807/ENSG00000146122/ENSG00000154342/ENSG00000163637/ENSG00000168646/ENSG00000168772/ENSG00000169071/ENSG00000169862/ENSG00000177283/ENSG00000182621/ENSG00000185269";"GPC4/RSPO4/TBL1X/SFRP1/WNT5A/CCND2/NFATC1/LEF1/LGR5/NKD1/DAAM2/WNT3A/PRICKLE2/AXIN2/CXXC4/ROR2/CTNND2/FZD8/PLCB1/NOTUM";"hsa:2239/hsa:343637/hsa:6907/hsa:6422/hsa:7474/hsa:894/hsa:4772/hsa:51176/hsa:8549/hsa:85407/hsa:23500/hsa:89780/hsa:166336/hsa:8313/hsa:80319/hsa:4920/hsa:1501/hsa:8325/hsa:23236/hsa:147111";20
"hsa05412";"Arrhythmogenic right ventricular cardiomyopathy";"13/313";"86/8567";1,26713093305516e-05;0,00050395907970557;"ENSG00000089250/ENSG00000101680/ENSG00000105605/ENSG00000118160/ENSG00000134769/ENSG00000135424/ENSG00000138795/ENSG00000142408/ENSG00000152661/ENSG00000153956/ENSG00000157388/ENSG00000170558/ENSG00000182389";"NOS1/LAMA1/CACNG7/SLC8A2/DTNA/ITGA7/LEF1/CACNG8/GJA1/CACNA2D1/CACNA1D/CDH2/CACNB4";"hsa:4842/hsa:284217/hsa:59284/hsa:6543/hsa:1837/hsa:3679/hsa:51176/hsa:59283/hsa:2697/hsa:781/hsa:776/hsa:1000/hsa:785";13
"hsa05410";"Hypertrophic cardiomyopathy";"14/313";"99/8567";1,29695351394816e-05;0,00050395907970557;"ENSG00000089250/ENSG00000101680/ENSG00000105605/ENSG00000111245/ENSG00000114854/ENSG00000118160/ENSG00000118194/ENSG00000134769/ENSG00000135424/ENSG00000142408/ENSG00000153956/ENSG00000157388/ENSG00000162409/ENSG00000182389";"NOS1/LAMA1/CACNG7/MYL2/TNNC1/SLC8A2/TNNT2/DTNA/ITGA7/CACNG8/CACNA2D1/CACNA1D/PRKAA2/CACNB4";"hsa:4842/hsa:284217/hsa:59284/hsa:4633/hsa:7134/hsa:6543/hsa:7139/hsa:1837/hsa:3679/hsa:59283/hsa:781/hsa:776/hsa:5563/hsa:785";14
"hsa04974";"Protein digestion and absorption";"13/313";"103/8567";8,91699974288528e-05;0,0029805362901792;"ENSG00000060718/ENSG00000080573/ENSG00000084636/ENSG00000105409/ENSG00000108821/ENSG00000111799/ENSG00000118160/ENSG00000130635/ENSG00000144810/ENSG00000163359/ENSG00000168542/ENSG00000169436/ENSG00000204262";"COL11A1/COL5A3/COL16A1/ATP1A3/COL1A1/COL12A1/SLC8A2/COL5A1/COL8A1/COL6A3/COL3A1/COL22A1/COL5A2";"hsa:1301/hsa:50509/hsa:1307/hsa:478/hsa:1277/hsa:1303/hsa:6543/hsa:1289/hsa:1295/hsa:1293/hsa:1281/hsa:169044/hsa:1290";13
"hsa05414";"Dilated cardiomyopathy";"13/313";"104/8567";9,86206860721057e-05;0,0029805362901792;"ENSG00000089250/ENSG00000101680/ENSG00000105605/ENSG00000111245/ENSG00000114854/ENSG00000118160/ENSG00000118194/ENSG00000134769/ENSG00000135424/ENSG00000142408/ENSG00000153956/ENSG00000157388/ENSG00000182389";"NOS1/LAMA1/CACNG7/MYL2/TNNC1/SLC8A2/TNNT2/DTNA/ITGA7/CACNG8/CACNA2D1/CACNA1D/CACNB4";"hsa:4842/hsa:284217/hsa:59284/hsa:4633/hsa:7134/hsa:6543/hsa:7139/hsa:1837/hsa:3679/hsa:59283/hsa:781/hsa:776/hsa:785";13
"hsa05217";"Basal cell carcinoma";"9/313";"63/8567";0,00042990631166848;0,0111770160758663;"ENSG00000074047/ENSG00000106571/ENSG00000111087/ENSG00000114251/ENSG00000138795/ENSG00000154342/ENSG00000164161/ENSG00000168646/ENSG00000177283";"GLI2/GLI3/GLI1/WNT5A/LEF1/WNT3A/HHIP/AXIN2/FZD8";"hsa:2736/hsa:2737/hsa:2735/hsa:7474/hsa:51176/hsa:89780/hsa:64399/hsa:8313/hsa:8325";9
