"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000005884";"ITGA3";"integrin subunit alpha 3";103;479,167724609375;"No"
"row_1";"ENSG00000142208";"AKT1";"AKT serine/threonine kinase 1";105;477,367523193359;"No"
"row_2";"ENSG00000134215";"VAV3";"vav guanine nucleotide exchange factor 3";209;271,070556640625;"No"
"row_3";"ENSG00000105974";"CAV1";"caveolin 1";211;264,889587402344;"No"
"row_4";"ENSG00000132470";"ITGB4";"integrin subunit beta 4";267;211,534957885742;"No"
"row_5";"ENSG00000102882";"MAPK3";"mitogen-activated protein kinase 3";439;120,958923339844;"No"
"row_6";"ENSG00000140443";"IGF1R";"insulin like growth factor 1 receptor";465;115,65991973877;"No"
"row_7";"ENSG00000115221";"ITGB6";"integrin subunit beta 6";503;108,59211730957;"No"
"row_8";"ENSG00000037280";"FLT4";"fms related receptor tyrosine kinase 4";504;108,582382202148;"No"
"row_9";"ENSG00000141968";"VAV1";"vav guanine nucleotide exchange factor 1";597;92,8721160888672;"No"
"row_10";"ENSG00000169231";"THBS3";"thrombospondin 3";605;91,7589721679688;"No"
"row_11";"ENSG00000105647";"PIK3R2";"phosphoinositide-3-kinase regulatory subunit 2";646;85,1841583251953;"No"
"row_12";"ENSG00000082781";"ITGB5";"integrin subunit beta 5";847;60,4519348144531;"No"
"row_13";"ENSG00000185634";"SHC4";"SHC adaptor protein 4";903;55,8104972839355;"No"
"row_14";"ENSG00000101966";"XIAP";"X-linked inhibitor of apoptosis";1118;42,4019889831543;"No"
"row_15";"ENSG00000029559";"IBSP";"integrin binding sialoprotein";1454;28,4718551635742;"No"
"row_16";"ENSG00000150630";"VEGFC";"vascular endothelial growth factor C";1511;26,769136428833;"No"
"row_17";"ENSG00000169398";"PTK2";"protein tyrosine kinase 2";1514;26,7133102416992;"No"
"row_18";"ENSG00000118680";"MYL12B";"myosin light chain 12B";1566;25,083625793457;"No"
"row_19";"ENSG00000136238";"RAC1";"Rac family small GTPase 1";1785;20,4344730377197;"No"
"row_20";"ENSG00000126767";"ELK1";"ETS transcription factor ELK1";1837;19,4793891906738;"No"
"row_21";"ENSG00000100485";"SOS2";"SOS Ras/Rho guanine nucleotide exchange factor 2";1868;18,9251518249512;"No"
"row_22";"ENSG00000130635";"COL5A1";"collagen type V alpha 1 chain";1888;18,3659801483154;"No"
"row_23";"ENSG00000177885";"GRB2";"growth factor receptor bound protein 2";1908;18,0560569763184;"No"
"row_24";"ENSG00000132155";"RAF1";"Raf-1 proto-oncogene, serine/threonine kinase";2002;16,7641658782959;"No"
"row_25";"ENSG00000110799";"VWF";"von Willebrand factor";2055;16,0488014221191;"No"
"row_26";"ENSG00000160293";"VAV2";"vav guanine nucleotide exchange factor 2";2091;15,4313917160034;"No"
"row_27";"ENSG00000173511";"VEGFB";"vascular endothelial growth factor B";2103;15,2519035339355;"No"
"row_28";"ENSG00000112576";"CCND3";"cyclin D3";2224;13,6531391143799;"No"
"row_29";"ENSG00000050555";"LAMC3";"laminin subunit gamma 3";2526;10,4033842086792;"No"
"row_30";"ENSG00000141506";"PIK3R5";"phosphoinositide-3-kinase regulatory subunit 5";2684;9,02888011932373;"No"
"row_31";"ENSG00000109339";"MAPK10";"mitogen-activated protein kinase 10";2734;8,590895652771;"No"
"row_32";"ENSG00000130669";"PAK4";"p21 (RAC1) activated kinase 4";2979;7,09527635574341;"No"
"row_33";"ENSG00000101608";"MYL12A";"myosin light chain 12A";3078;6,58781433105469;"No"
"row_34";"ENSG00000140992";"PDPK1";"3-phosphoinositide dependent protein kinase 1";3080;6,5853853225708;"No"
"row_35";"ENSG00000102755";"FLT1";"fms related receptor tyrosine kinase 1";3126;6,36531114578247;"No"
"row_36";"ENSG00000172037";"LAMB2";"laminin subunit beta 2";3178;6,13528966903687;"No"
"row_37";"ENSG00000139626";"ITGB7";"integrin subunit beta 7";3321;5,43885707855225;"No"
"row_38";"ENSG00000172531";"PPP1CA";"protein phosphatase 1 catalytic subunit alpha";3347;5,31471681594849;"No"
"row_39";"ENSG00000141736";"ERBB2";"erb-b2 receptor tyrosine kinase 2";3372;5,21705150604248;"No"
"row_40";"ENSG00000125753";"VASP";"vasodilator stimulated phosphoprotein";3389;5,16247653961182;"No"
"row_41";"ENSG00000077264";"PAK3";"p21 (RAC1) activated kinase 3";3401;5,12235355377197;"No"
"row_42";"ENSG00000080573";"COL5A3";"collagen type V alpha 3 chain";3442;4,98875188827515;"No"
"row_43";"ENSG00000005961";"ITGA2B";"integrin subunit alpha 2b";3507;4,71206903457642;"No"
"row_44";"ENSG00000121879";"PIK3CA";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha";3558;4,47507572174072;"No"
"row_45";"ENSG00000180370";"PAK2";"p21 (RAC1) activated kinase 2";3711;3,91347932815552;"No"
"row_46";"ENSG00000163359";"COL6A3";"collagen type VI alpha 3 chain";3919;3,39970946311951;"No"
"row_47";"ENSG00000142173";"COL6A2";"collagen type VI alpha 2 chain";4518;2,17911100387573;"No"
"row_48";"ENSG00000204248";"COL11A2";"collagen type XI alpha 2 chain";4702;1,91688108444214;"No"
"row_49";"ENSG00000060718";"COL11A1";"collagen type XI alpha 1 chain";4903;1,63651978969574;"No"
"row_50";"ENSG00000150760";"DOCK1";"dedicator of cytokinesis 1";5414;1,14851546287537;"No"
"row_51";"ENSG00000126583";"PRKCG";"protein kinase C gamma";5419;1,14633631706238;"No"
"row_52";"ENSG00000101306";"MYLK2";"myosin light chain kinase 2";5449;1,11022555828094;"No"
"row_53";"ENSG00000002330";"BAD";"BCL2 associated agonist of cell death";5528;1,03026831150055;"No"
"row_54";"ENSG00000081052";"COL4A4";"collagen type IV alpha 4 chain";5566;0,99010843038559;"No"
"row_55";"ENSG00000010810";"FYN";"FYN proto-oncogene, Src family tyrosine kinase";5762;0,885488867759705;"No"
"row_56";"ENSG00000143127";"ITGA10";"integrin subunit alpha 10";5764;0,883596658706665;"No"
"row_57";"ENSG00000113296";"THBS4";"thrombospondin 4";5765;0,881938517093658;"No"
"row_58";"ENSG00000171862";"PTEN";"phosphatase and tensin homolog";5879;0,791997075080872;"No"
"row_59";"ENSG00000160691";"SHC1";"SHC adaptor protein 1";5939;0,762194752693176;"No"
"row_60";"ENSG00000072110";"ACTN1";"actinin alpha 1";6061;0,650697350502014;"No"
"row_61";"ENSG00000215375";"MYL5";"myosin light chain 5";6500;0,50762814283371;"No"
"row_62";"ENSG00000105971";"CAV2";"caveolin 2";6574;0,4634650349617;"No"
"row_63";"ENSG00000197461";"PDGFA";"platelet derived growth factor subunit A";6739;0,388000696897507;"No"
"row_64";"ENSG00000051382";"PIK3CB";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta";6752;0,382609635591507;"No"
"row_65";"ENSG00000128052";"KDR";"kinase insert domain receptor";6886;0,340251594781876;"No"
"row_66";"ENSG00000166501";"PRKCB";"protein kinase C beta";6919;0,340251594781876;"No"
"row_67";"ENSG00000168036";"CTNNB1";"catenin beta 1";7325;0,269091457128525;"No"
"row_68";"ENSG00000050748";"MAPK9";"mitogen-activated protein kinase 9";7447;0,227171763777733;"No"
"row_69";"ENSG00000100311";"PDGFB";"platelet derived growth factor subunit B";7497;0,211136043071747;"No"
"row_70";"ENSG00000050820";"BCAR1";"BCAR1 scaffold protein, Cas family member";7795;0,160505384206772;"No"
"row_71";"ENSG00000189056";"RELN";"reelin";7806;0,157405227422714;"No"
"row_72";"ENSG00000171608";"PIK3CD";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta";7918;0,132489264011383;"No"
"row_73";"ENSG00000105851";"PIK3CG";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma";8039;0,108561798930168;"No"
"row_74";"ENSG00000117020";"AKT3";"AKT serine/threonine kinase 3";8237;0,106542125344276;"No"
"row_75";"ENSG00000101349";"PAK5";"p21 (RAC1) activated kinase 5";8517;0,0641272515058517;"No"
"row_76";"ENSG00000186111";"PIP5K1C";"phosphatidylinositol-4-phosphate 5-kinase type 1 gamma";8536;0,0619844123721123;"No"
"row_77";"ENSG00000128340";"RAC2";"Rac family small GTPase 2";8889;0,0270431078970432;"No"
"row_78";"ENSG00000058335";"RASGRF1";"Ras protein specific guanine nucleotide releasing factor 1";8906;0,0255033429712057;"No"
"row_79";"ENSG00000170962";"PDGFD";"platelet derived growth factor D";8965;0,0209866333752871;"No"
"row_80";"ENSG00000206384";"COL6A6";"collagen type VI alpha 6 chain";9049;0,0171240940690041;"No"
"row_81";"ENSG00000105221";"AKT2";"AKT serine/threonine kinase 2";9263;0,00670525059103966;"No"
"row_82";"ENSG00000107643";"MAPK8";"mitogen-activated protein kinase 8";9265;0,00666091777384281;"No"
"row_83";"ENSG00000082701";"GSK3B";"glycogen synthase kinase 3 beta";9641;9,05949054867961e-05;"No"
"row_84";"ENSG00000160007";"ARHGAP35";"Rho GTPase activating protein 35";10206;-0,0112592224031687;"No"
"row_85";"ENSG00000129946";"SHC2";"SHC adaptor protein 2";10220;-0,0123397745192051;"No"
"row_86";"ENSG00000089159";"PXN";"paxillin";10241;-0,0138532873243093;"No"
"row_87";"ENSG00000166333";"ILK";"integrin linked kinase";10410;-0,0249977093189955;"No"
"row_88";"ENSG00000186340";"THBS2";"thrombospondin 2";10439;-0,0275367293506861;"No"
"row_89";"ENSG00000099942";"CRKL";"CRK like proto-oncogene, adaptor protein";10504;-0,0306678451597691;"No"
"row_90";"ENSG00000115904";"SOS1";"SOS Ras/Rac guanine nucleotide exchange factor 1";10615;-0,0394093208014965;"No"
"row_91";"ENSG00000138798";"EGF";"epidermal growth factor";10843;-0,0687476620078087;"No"
"row_92";"ENSG00000248746";"ACTN3";"actinin alpha 3";11004;-0,0929427444934845;"No"
"row_93";"ENSG00000110092";"CCND1";"cyclin D1";11118;-0,11097577214241;"No"
"row_94";"ENSG00000168477";"TNXB";"tenascin XB";11231;-0,13667243719101;"No"
"row_95";"ENSG00000213639";"PPP1CB";"protein phosphatase 1 catalytic subunit beta";11647;-0,208303287625313;"No"
"row_96";"ENSG00000196569";"LAMA2";"laminin subunit alpha 2";11989;-0,275853008031845;"No"
"row_97";"ENSG00000075624";"ACTB";"actin beta";12025;-0,287516623735428;"No"
"row_98";"ENSG00000100030";"MAPK1";"mitogen-activated protein kinase 1";12131;-0,334817439317703;"No"
"row_99";"ENSG00000138964";"PARVG";"parvin gamma";12323;-0,4184809923172;"No"
"row_100";"ENSG00000058272";"PPP1R12A";"protein phosphatase 1 regulatory subunit 12A";12870;-0,530448019504547;"No"
"row_101";"ENSG00000118785";"SPP1";"secreted phosphoprotein 1";12924;-0,56141996383667;"No"
"row_102";"ENSG00000070831";"CDC42";"cell division cycle 42";13135;-0,670770406723022;"No"
"row_103";"ENSG00000077522";"ACTN2";"actinin alpha 2";13165;-0,687631547451019;"No"
"row_104";"ENSG00000174775";"HRAS";"HRas proto-oncogene, GTPase";13242;-0,687631547451019;"No"
"row_105";"ENSG00000177606";"JUN";"Jun proto-oncogene, AP-1 transcription factor subunit";13942;-1,10667085647583;"No"
"row_106";"ENSG00000105664";"COMP";"cartilage oligomeric matrix protein";13992;-1,17513513565063;"No"
"row_107";"ENSG00000116147";"TNR";"tenascin R";14033;-1,22941517829895;"No"
"row_108";"ENSG00000116473";"RAP1A";"RAP1A, member of RAS oncogene family";14455;-1,65611791610718;"No"
"row_109";"ENSG00000164692";"COL1A2";"collagen type I alpha 2 chain";14585;-1,80398154258728;"No"
"row_110";"ENSG00000112715";"VEGFA";"vascular endothelial growth factor A";14793;-1,94434940814972;"No"
"row_111";"ENSG00000197702";"PARVA";"parvin alpha";14859;-2,05147266387939;"No"
"row_112";"ENSG00000105855";"ITGB8";"integrin subunit beta 8";14956;-2,23320722579956;"No"
"row_113";"ENSG00000107263";"RAPGEF1";"Rap guanine nucleotide exchange factor 1";14968;-2,26607179641724;"No"
"row_114";"ENSG00000259207";"ITGB3";"integrin subunit beta 3";14974;-2,27102875709534;"No"
"row_115";"ENSG00000130402";"ACTN4";"actinin alpha 4";15012;-2,33211445808411;"No"
"row_116";"ENSG00000091409";"ITGA6";"integrin subunit alpha 6";15062;-2,41989946365356;"No"
"row_117";"ENSG00000127314";"RAP1B";"RAP1B, member of RAS oncogene family";15364;-3,02229285240173;"No"
"row_118";"ENSG00000157764";"BRAF";"B-Raf proto-oncogene, serine/threonine kinase";15494;-3,37642884254456;"No"
"row_119";"ENSG00000180209";"MYL11";"myosin light chain 11";15518;-3,42290091514587;"No"
"row_120";"ENSG00000137809";"ITGA11";"integrin subunit alpha 11";15521;-3,43568325042725;"No"
"row_121";"ENSG00000067560";"RHOA";"ras homolog family member A";15608;-3,68158388137817;"No"
"row_122";"ENSG00000188677";"PARVB";"parvin beta";15769;-4,17804431915283;"No"
"row_123";"ENSG00000148082";"SHC3";"SHC adaptor protein 3";15862;-4,50053119659424;"No"
"row_124";"ENSG00000154229";"PRKCA";"protein kinase C alpha";16311;-6,25930833816528;"No"
"row_125";"ENSG00000184009";"ACTG1";"actin gamma 1";16403;-6,66621589660645;"No"
"row_126";"ENSG00000171791";"BCL2";"BCL2 apoptosis regulator";16426;-6,80142307281494;"No"
"row_127";"ENSG00000196924";"FLNA";"filamin A";16567;-7,65003442764282;"No"
"row_128";"ENSG00000106436";"MYL10";"myosin light chain 10";16598;-7,83883953094482;"No"
"row_129";"ENSG00000067900";"ROCK1";"Rho associated coiled-coil containing protein kinase 1";16678;-8,28233623504639;"No"
"row_130";"ENSG00000145675";"PIK3R1";"phosphoinositide-3-kinase regulatory subunit 1";16723;-8,61858081817627;"No"
"row_131";"ENSG00000135424";"ITGA7";"integrin subunit alpha 7";16819;-9,296555519104;"No"
"row_132";"ENSG00000065534";"MYLK";"myosin light chain kinase";16942;-10,4936923980713;"No"
"row_133";"ENSG00000169032";"MAP2K1";"mitogen-activated protein kinase kinase 1";17434;-16,5266075134277;"No"
"row_134";"ENSG00000159840";"ZYX";"zyxin";17460;-16,9771308898926;"No"
"row_135";"ENSG00000041982";"TNC";"tenascin C";17568;-18,967357635498;"No"
"row_136";"ENSG00000100852";"ARHGAP5";"Rho GTPase activating protein 5";17661;-21,2218647003174;"No"
"row_137";"ENSG00000167193";"CRK";"CRK proto-oncogene, adaptor protein";17788;-24,2125244140625;"No"
"row_138";"ENSG00000091128";"LAMB4";"laminin subunit beta 4";17804;-24,665641784668;"No"
"row_139";"ENSG00000171914";"TLN2";"talin 2";18090;-33,5229568481445;"No"
"row_140";"ENSG00000138448";"ITGAV";"integrin subunit alpha V";18107;-34,1326637268066;"No"
"row_141";"ENSG00000110330";"BIRC2";"baculoviral IAP repeat containing 2";18120;-34,8720970153809;"No"
"row_142";"ENSG00000150093";"ITGB1";"integrin subunit beta 1";18150;-36,6693115234375;"No"
"row_143";"ENSG00000119630";"PGF";"placental growth factor";18154;-36,9106597900391;"No"
"row_144";"ENSG00000197122";"SRC";"SRC proto-oncogene, non-receptor tyrosine kinase";18175;-37,8208198547363;"No"
"row_145";"ENSG00000134318";"ROCK2";"Rho associated coiled-coil containing protein kinase 2";18304;-44,0112953186035;"No"
"row_146";"ENSG00000120332";"TNN";"tenascin N";18380;-48,8259696960449;"No"
"row_147";"ENSG00000140795";"MYLK3";"myosin light chain kinase 3";18451;-53,55810546875;"No"
"row_148";"ENSG00000146648";"EGFR";"epidermal growth factor receptor";18499;-57,8455238342285;"No"
"row_149";"ENSG00000186298";"PPP1CC";"protein phosphatase 1 catalytic subunit gamma";18572;-64,0703201293945;"No"
"row_150";"ENSG00000164171";"ITGA2";"integrin subunit alpha 2";18584;-64,9495391845703;"No"
"row_151";"ENSG00000145431";"PDGFC";"platelet derived growth factor C";18877;-96,6267242431641;"Yes"
"row_152";"ENSG00000131504";"DIAPH1";"diaphanous related formin 1";18878;-96,7901077270508;"Yes"
"row_153";"ENSG00000023445";"BIRC3";"baculoviral IAP repeat containing 3";18891;-98,9669799804688;"Yes"
"row_154";"ENSG00000113721";"PDGFRB";"platelet derived growth factor receptor beta";18937;-107,933898925781;"Yes"
"row_155";"ENSG00000137076";"TLN1";"talin 1";19009;-123,020843505859;"Yes"
"row_156";"ENSG00000134871";"COL4A2";"collagen type IV alpha 2 chain";19048;-130,653686523438;"Yes"
"row_157";"ENSG00000144668";"ITGA9";"integrin subunit alpha 9";19055;-133,088821411133;"Yes"
