"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000141510";"TP53";"tumor protein p53";44;884,574890136719;"No"
"row_1";"ENSG00000188064";"WNT7B";"Wnt family member 7B";70;613,320495605469;"No"
"row_2";"ENSG00000131759";"RARA";"retinoic acid receptor alpha";97;502,276458740234;"No"
"row_3";"ENSG00000005884";"ITGA3";"integrin subunit alpha 3";103;479,167724609375;"No"
"row_4";"ENSG00000142208";"AKT1";"AKT serine/threonine kinase 1";105;477,367523193359;"No"
"row_5";"ENSG00000172379";"ARNT2";"aryl hydrocarbon receptor nuclear translocator 2";111;450,522155761719;"No"
"row_6";"ENSG00000213281";"NRAS";"NRAS proto-oncogene, GTPase";131;416,475921630859;"No"
"row_7";"ENSG00000106571";"GLI3";"GLI family zinc finger 3";327;167,890274047852;"No"
"row_8";"ENSG00000116016";"EPAS1";"endothelial PAS domain protein 1";419;126,911415100098;"No"
"row_9";"ENSG00000015475";"BID";"BH3 interacting domain death agonist";423;125,205833435059;"No"
"row_10";"ENSG00000124762";"CDKN1A";"cyclin dependent kinase inhibitor 1A";425;124,575607299805;"No"
"row_11";"ENSG00000102882";"MAPK3";"mitogen-activated protein kinase 3";439;120,958923339844;"No"
"row_12";"ENSG00000140443";"IGF1R";"insulin like growth factor 1 receptor";465;115,65991973877;"No"
"row_13";"ENSG00000169083";"AR";"androgen receptor";636;86,2562942504883;"No"
"row_14";"ENSG00000165731";"RET";"ret proto-oncogene";637;86,1288452148438;"No"
"row_15";"ENSG00000105647";"PIK3R2";"phosphoinositide-3-kinase regulatory subunit 2";646;85,1841583251953;"No"
"row_16";"ENSG00000124181";"PLCG1";"phospholipase C gamma 1";651;83,9112930297852;"No"
"row_17";"ENSG00000103363";"ELOB";"elongin B";669;81,3904342651367;"No"
"row_18";"ENSG00000186350";"RXRA";"retinoid X receptor alpha";682;80,1351318359375;"No"
"row_19";"ENSG00000159216";"RUNX1";"RUNX family transcription factor 1";695;78,5537872314453;"No"
"row_20";"ENSG00000133101";"CCNA1";"cyclin A1";767;68,0671920776367;"No"
"row_21";"ENSG00000100906";"NFKBIA";"NFKB inhibitor alpha";771;67,4662399291992;"No"
"row_22";"ENSG00000157240";"FZD1";"frizzled class receptor 1";890;56,8414878845215;"No"
"row_23";"ENSG00000170345";"FOS";"Fos proto-oncogene, AP-1 transcription factor subunit";961;52,0791816711426;"No"
"row_24";"ENSG00000164930";"FZD6";"frizzled class receptor 6";1031;47,5649261474609;"No"
"row_25";"ENSG00000100985";"MMP9";"matrix metallopeptidase 9";1058;45,8255844116211;"No"
"row_26";"ENSG00000119699";"TGFB3";"transforming growth factor beta 3";1061;45,7460327148438;"No"
"row_27";"ENSG00000101966";"XIAP";"X-linked inhibitor of apoptosis";1118;42,4019889831543;"No"
"row_28";"ENSG00000131788";"PIAS3";"protein inhibitor of activated STAT 3";1170;39,5594940185547;"No"
"row_29";"ENSG00000026103";"FAS";"Fas cell surface death receptor";1206;37,4406433105469;"No"
"row_30";"ENSG00000197943";"PLCG2";"phospholipase C gamma 2";1208;37,3327407836914;"No"
