"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000165140";"FBP1";"fructose-bisphosphatase 1";33;997,021240234375;"Yes"
"row_1";"ENSG00000156515";"HK1";"hexokinase 1";57;764,818115234375;"Yes"
"row_2";"ENSG00000149925";"ALDOA";"aldolase, fructose-bisphosphate A";338;159,432434082031;"Yes"
"row_3";"ENSG00000054148";"PHPT1";"phosphohistidine phosphatase 1";1358;31,4462089538574;"No"
"row_4";"ENSG00000141959";"PFKL";"phosphofructokinase, liver type";1699;22,1920642852783;"No"
"row_5";"ENSG00000170525";"PFKFB3";"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3";1721;21,7252521514893;"No"
"row_6";"ENSG00000157353";"FCSK";"fucose kinase";2329;12,4894819259644;"No"
"row_7";"ENSG00000104522";"GFUS";"GDP-L-fucose synthase";2982;7,08717727661133;"No"
"row_8";"ENSG00000140650";"PMM2";"phosphomannomutase 2";3308;5,50062608718872;"No"
"row_9";"ENSG00000100417";"PMM1";"phosphomannomutase 1";3921;3,39650201797485;"No"
"row_10";"ENSG00000063601";"MTMR1";"myotubularin related protein 1";4093;2,93651580810547;"No"
"row_11";"ENSG00000138030";"KHK";"ketohexokinase";5364;1,20177268981934;"No"
"row_12";"ENSG00000173540";"GMPPB";"GDP-mannose pyrophosphorylase B";5946;0,751513600349426;"No"
"row_13";"ENSG00000158571";"PFKFB1";"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1";7479;0,215627923607826;"No"
"row_14";"ENSG00000003987";"MTMR7";"myotubularin related protein 7";7648;0,166564792394638;"No"
"row_15";"ENSG00000112699";"GMDS";"GDP-mannose 4,6-dehydratase";8494;0,068530410528183;"No"
"row_16";"ENSG00000139505";"MTMR6";"myotubularin related protein 6";9485;0,00183661701157689;"No"
"row_17";"ENSG00000130957";"FBP2";"fructose-bisphosphatase 2";9791;-0,000580736144911498;"No"
"row_18";"ENSG00000198074";"AKR1B10";"aldo-keto reductase family 1 member B10";10731;-0,0544014014303684;"No"
"row_19";"ENSG00000109107";"ALDOC";"aldolase, fructose-bisphosphate C";10901;-0,0770874992012978;"No"
"row_20";"ENSG00000159399";"HK2";"hexokinase 2";11164;-0,123549275100231;"No"
"row_21";"ENSG00000114268";"PFKFB4";"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4";11612;-0,194818213582039;"No"
"row_22";"ENSG00000160883";"HK3";"hexokinase 3";13908;-1,09413886070251;"No"
"row_23";"ENSG00000111669";"TPI1";"triosephosphate isomerase 1";14440;-1,63508474826813;"No"
"row_24";"ENSG00000140263";"SORD";"sorbitol dehydrogenase";14822;-1,98658895492554;"No"
"row_25";"ENSG00000178802";"MPI";"mannose phosphate isomerase";15954;-4,74910497665405;"No"
"row_26";"ENSG00000085662";"AKR1B1";"aldo-keto reductase family 1 member B";16718;-8,57965278625488;"No"
"row_27";"ENSG00000136872";"ALDOB";"aldolase, fructose-bisphosphate B";17453;-16,9142322540283;"No"
"row_28";"ENSG00000067057";"PFKP";"phosphofructokinase, platelet";18111;-34,2963371276855;"No"
"row_29";"ENSG00000123836";"PFKFB2";"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2";18170;-37,6173553466797;"No"
"row_30";"ENSG00000087053";"MTMR2";"myotubularin related protein 2";18834;-90,9004821777344;"No"
"row_31";"ENSG00000152556";"PFKM";"phosphofructokinase, muscle";18852;-93,7109146118164;"No"
