"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000134215";"VAV3";"vav guanine nucleotide exchange factor 3";209;271,070556640625;"Yes"
"row_1";"ENSG00000123104";"ITPR2";"inositol 1,4,5-trisphosphate receptor type 2";335;162,491851806641;"Yes"
"row_2";"ENSG00000141968";"VAV1";"vav guanine nucleotide exchange factor 1";597;92,8721160888672;"Yes"
"row_3";"ENSG00000124181";"PLCG1";"phospholipase C gamma 1";651;83,9112930297852;"Yes"
"row_4";"ENSG00000197943";"PLCG2";"phospholipase C gamma 2";1208;37,3327407836914;"Yes"
"row_5";"ENSG00000160293";"VAV2";"vav guanine nucleotide exchange factor 2";2091;15,4313917160034;"No"
"row_6";"ENSG00000213658";"LAT";"linker for activation of T cells";2835;7,97116565704346;"No"
"row_7";"ENSG00000010810";"FYN";"FYN proto-oncogene, Src family tyrosine kinase";5762;0,885488867759705;"No"
"row_8";"ENSG00000150995";"ITPR1";"inositol 1,4,5-trisphosphate receptor type 1";7898;0,136741012334824;"No"
"row_9";"ENSG00000100351";"GRAP2";"GRB2 related adaptor protein 2";8038;0,108561798930168;"No"
"row_10";"ENSG00000198821";"CD247";"CD247 molecule";10486;-0,030536487698555;"No"
"row_11";"ENSG00000010610";"CD4";"CD4 molecule";11222;-0,136052221059799;"No"
"row_12";"ENSG00000198851";"CD3E";"CD3 epsilon subunit of T-cell receptor complex";14603;-1,80398154258728;"No"
"row_13";"ENSG00000096433";"ITPR3";"inositol 1,4,5-trisphosphate receptor type 3";14803;-1,95938456058502;"No"
"row_14";"ENSG00000182866";"LCK";"LCK proto-oncogene, Src family tyrosine kinase";17098;-12,079891204834;"No"
"row_15";"ENSG00000115085";"ZAP70";"zeta chain of T cell receptor associated protein kinase 70";18116;-34,6690444946289;"No"
