"KEGG_ID";"Description";"Gene_Ratio";"BgRatio";"pvalue";"padj";"gene_id";"gene_name";"kegg_id";"count"
"hsa04360";"Axon guidance";"53/1156";"182/8567";1,94630387451489e-08;6,75367444456667e-06;"ENSG00000012171/ENSG00000058404/ENSG00000065320/ENSG00000066248/ENSG00000067141/ENSG00000075223/ENSG00000076356/ENSG00000099250/ENSG00000101144/ENSG00000102882/ENSG00000105647/ENSG00000107562/ENSG00000108947/ENSG00000112902/ENSG00000113763/ENSG00000114353/ENSG00000124181/ENSG00000126458/ENSG00000127955/ENSG00000137872/ENSG00000138696/ENSG00000138814/ENSG00000143590/ENSG00000144857/ENSG00000154134/ENSG00000162552/ENSG00000163995/ENSG00000164885/ENSG00000167680/ENSG00000168758/ENSG00000169242/ENSG00000169398/ENSG00000169855/ENSG00000170381/ENSG00000172602/ENSG00000172757/ENSG00000172830/ENSG00000173156/ENSG00000173210/ENSG00000182168/ENSG00000182511/ENSG00000182580/ENSG00000184349/ENSG00000185033/ENSG00000187764/ENSG00000196189/ENSG00000196220/ENSG00000196411/ENSG00000197943/ENSG00000198753/ENSG00000198910/ENSG00000204217/ENSG00000213281";"SEMA3B/CAMK2B/NTN1/NGEF/NEO1/SEMA3C/PLXNA2/NRP1/BMP7/MAPK3/PIK3R2/CXCL12/EFNB3/SEMA5A/UNC5A/GNAI2/PLCG1/RRAS/GNAI1/SEMA6D/BMPR1B/PPP3CA/EFNA3/BOC/ROBO3/WNT4/ABLIM2/CDK5/SEMA6B/SEMA4C/EFNA1/PTK2/ROBO1/SEMA3E/RND1/CFL1/SSH3/RHOD/ABLIM3/UNC5C/FES/EPHB3/EFNA5/SEMA4B/SEMA4D/SEMA4A/SRGAP3/EPHB4/PLCG2/PLXNB3/L1CAM/BMPR2/NRAS";"hsa:7869/hsa:816/hsa:9423/hsa:25791/hsa:4756/hsa:10512/hsa:5362/hsa:8829/hsa:655/hsa:5595/hsa:5296/hsa:6387/hsa:1949/hsa:9037/hsa:90249/hsa:2771/hsa:5335/hsa:6237/hsa:2770/hsa:80031/hsa:658/hsa:5530/hsa:1944/hsa:91653/hsa:64221/hsa:54361/hsa:84448/hsa:1020/hsa:10501/hsa:54910/hsa:1942/hsa:5747/hsa:6091/hsa:9723/hsa:27289/hsa:1072/hsa:54961/hsa:29984/hsa:22885/hsa:8633/hsa:2242/hsa:2049/hsa:1946/hsa:10509/hsa:10507/hsa:64218/hsa:9901/hsa:2050/hsa:5336/hsa:5365/hsa:3897/hsa:659/hsa:4893";53
"hsa04713";"Circadian entrainment";"28/1156";"97/8567";5,16233422514696e-05;0,00895664988062998;"ENSG00000058404/ENSG00000061918/ENSG00000069966/ENSG00000072062/ENSG00000100346/ENSG00000100784/ENSG00000102882/ENSG00000105464/ENSG00000108551/ENSG00000114353/ENSG00000127955/ENSG00000132326/ENSG00000149782/ENSG00000152402/ENSG00000156052/ENSG00000161509/ENSG00000162989/ENSG00000164742/ENSG00000169885/ENSG00000170345/ENSG00000172354/ENSG00000173175/ENSG00000176533/ENSG00000176884/ENSG00000178372/ENSG00000196557/ENSG00000198668/ENSG00000198929";"CAMK2B/GUCY1B1/GNB5/PRKACA/CACNA1I/RPS6KA5/MAPK3/GRIN2D/RASD1/GNAI2/GNAI1/PER2/PLCB3/GUCY1A2/GNAQ/GRIN2C/KCNJ3/ADCY1/CALML6/FOS/GNB2/ADCY5/GNG7/GRIN1/CALML5/CACNA1H/CALM1/NOS1AP";"hsa:816/hsa:2983/hsa:10681/hsa:5566/hsa:8911/hsa:9252/hsa:5595/hsa:2906/hsa:51655/hsa:2771/hsa:2770/hsa:8864/hsa:5331/hsa:2977/hsa:2776/hsa:2905/hsa:3760/hsa:107/hsa:163688/hsa:2353/hsa:2783/hsa:111/hsa:2788/hsa:2902/hsa:51806/hsa:8912/hsa:801/hsa:9722";28
"hsa04915";"Estrogen signaling pathway";"35/1156";"138/8567";0,000122844094644794;0,0142089669472478;"ENSG00000072062/ENSG00000091831/ENSG00000100485/ENSG00000100985/ENSG00000102882/ENSG00000105647/ENSG00000108759/ENSG00000114353/ENSG00000117984/ENSG00000123104/ENSG00000124151/ENSG00000127955/ENSG00000131759/ENSG00000136928/ENSG00000140009/ENSG00000142208/ENSG00000143578/ENSG00000147654/ENSG00000149782/ENSG00000156052/ENSG00000160182/ENSG00000162989/ENSG00000163235/ENSG00000163932/ENSG00000164742/ENSG00000169885/ENSG00000170345/ENSG00000171345/ENSG00000173175/ENSG00000178372/ENSG00000185634/ENSG00000196208/ENSG00000198668/ENSG00000213281/ENSG00000213676";"PRKACA/ESR1/SOS2/MMP9/MAPK3/PIK3R2/KRT32/GNAI2/CTSD/ITPR2/NCOA3/GNAI1/RARA/GABBR2/ESR2/AKT1/CREB3L4/EBAG9/PLCB3/GNAQ/TFF1/KCNJ3/TGFA/PRKCD/ADCY1/CALML6/FOS/KRT19/ADCY5/CALML5/SHC4/GREB1/CALM1/NRAS/ATF6B";"hsa:5566/hsa:2099/hsa:6655/hsa:4318/hsa:5595/hsa:5296/hsa:3882/hsa:2771/hsa:1509/hsa:3709/hsa:8202/hsa:2770/hsa:5914/hsa:9568/hsa:2100/hsa:207/hsa:148327/hsa:9166/hsa:5331/hsa:2776/hsa:7031/hsa:3760/hsa:7039/hsa:5580/hsa:107/hsa:163688/hsa:2353/hsa:3880/hsa:111/hsa:51806/hsa:399694/hsa:9687/hsa:801/hsa:4893/hsa:1388";35
"hsa00130";"Ubiquinone and other terpenoid-quinone biosynthesis";"7/1156";"12/8567";0,000340937426115989;0,0295763217155621;"ENSG00000110871/ENSG00000119723/ENSG00000158104/ENSG00000167113/ENSG00000167397/ENSG00000173085/ENSG00000181019";"COQ5/COQ6/HPD/COQ4/VKORC1/COQ2/NQO1";"hsa:84274/hsa:51004/hsa:3242/hsa:51117/hsa:79001/hsa:27235/hsa:1728";7
"hsa04750";"Inflammatory mediator regulation of TRP channels";"26/1156";"99/8567";0,000496137862737363;0,034431967673973;"ENSG00000027075/ENSG00000058404/ENSG00000072062/ENSG00000100739/ENSG00000105499/ENSG00000105647/ENSG00000109339/ENSG00000111199/ENSG00000123104/ENSG00000124181/ENSG00000125384/ENSG00000134716/ENSG00000149782/ENSG00000156052/ENSG00000163932/ENSG00000164742/ENSG00000168398/ENSG00000169885/ENSG00000171132/ENSG00000173175/ENSG00000175591/ENSG00000178372/ENSG00000185386/ENSG00000197943/ENSG00000198668/ENSG00000213199";"PRKCH/CAMK2B/PRKACA/BDKRB1/PLA2G4C/PIK3R2/MAPK10/TRPV4/ITPR2/PLCG1/PTGER2/CYP2J2/PLCB3/GNAQ/PRKCD/ADCY1/BDKRB2/CALML6/PRKCE/ADCY5/P2RY2/CALML5/MAPK11/PLCG2/CALM1/ASIC3";"hsa:5583/hsa:816/hsa:5566/hsa:623/hsa:8605/hsa:5296/hsa:5602/hsa:59341/hsa:3709/hsa:5335/hsa:5732/hsa:1573/hsa:5331/hsa:2776/hsa:5580/hsa:107/hsa:624/hsa:163688/hsa:5581/hsa:111/hsa:5029/hsa:51806/hsa:5600/hsa:5336/hsa:801/hsa:9311";26
"hsa01522";"Endocrine resistance";"25/1156";"96/8567";0,000723023514038595;0,040249483873249;"ENSG00000072062/ENSG00000074181/ENSG00000091831/ENSG00000100485/ENSG00000100985/ENSG00000102882/ENSG00000105647/ENSG00000108443/ENSG00000109339/ENSG00000123080/ENSG00000124151/ENSG00000124762/ENSG00000134250/ENSG00000140009/ENSG00000140443/ENSG00000141510/ENSG00000142208/ENSG00000148400/ENSG00000164742/ENSG00000169398/ENSG00000170345/ENSG00000173175/ENSG00000185386/ENSG00000185634/ENSG00000213281";"PRKACA/NOTCH3/ESR1/SOS2/MMP9/MAPK3/PIK3R2/RPS6KB1/MAPK10/CDKN2C/NCOA3/CDKN1A/NOTCH2/ESR2/IGF1R/TP53/AKT1/NOTCH1/ADCY1/PTK2/FOS/ADCY5/MAPK11/SHC4/NRAS";"hsa:5566/hsa:4854/hsa:2099/hsa:6655/hsa:4318/hsa:5595/hsa:5296/hsa:6198/hsa:5602/hsa:1031/hsa:8202/hsa:1026/hsa:4853/hsa:2100/hsa:3480/hsa:7157/hsa:207/hsa:4851/hsa:107/hsa:5747/hsa:2353/hsa:111/hsa:5600/hsa:399694/hsa:4893";25
"hsa04666";"Fc gamma R-mediated phagocytosis";"25/1156";"97/8567";0,000851996006135046;0,040249483873249;"ENSG00000006747/ENSG00000015285/ENSG00000078053/ENSG00000088280/ENSG00000102882/ENSG00000105499/ENSG00000105647/ENSG00000106526/ENSG00000108443/ENSG00000124181/ENSG00000130429/ENSG00000132970/ENSG00000134215/ENSG00000141934/ENSG00000141968/ENSG00000142208/ENSG00000163932/ENSG00000165025/ENSG00000165527/ENSG00000171132/ENSG00000172757/ENSG00000176170/ENSG00000197943/ENSG00000213658/ENSG00000241685";"SCIN/WAS/AMPH/ASAP3/MAPK3/PLA2G4C/PIK3R2/ACTR3C/RPS6KB1/PLCG1/ARPC1B/WASF3/VAV3/PLPP2/VAV1/AKT1/PRKCD/SYK/ARF6/PRKCE/CFL1/SPHK1/PLCG2/LAT/ARPC1A";"hsa:85477/hsa:7454/hsa:273/hsa:55616/hsa:5595/hsa:8605/hsa:5296/hsa:653857/hsa:6198/hsa:5335/hsa:10095/hsa:10810/hsa:10451/hsa:8612/hsa:7409/hsa:207/hsa:5580/hsa:6850/hsa:382/hsa:5581/hsa:1072/hsa:8877/hsa:5336/hsa:27040/hsa:10552";25
"hsa05010";"Alzheimer disease";"74/1156";"387/8567";0,000951042072190825;0,040249483873249;"ENSG00000004779/ENSG00000005022/ENSG00000015475/ENSG00000026103/ENSG00000066739/ENSG00000072506/ENSG00000074370/ENSG00000083290/ENSG00000090266/ENSG00000099624/ENSG00000100219/ENSG00000100764/ENSG00000102882/ENSG00000105464/ENSG00000105647/ENSG00000109339/ENSG00000117362/ENSG00000123104/ENSG00000125356/ENSG00000127922/ENSG00000133019/ENSG00000135390/ENSG00000138814/ENSG00000138821/ENSG00000141424/ENSG00000142208/ENSG00000143816/ENSG00000147684/ENSG00000147804/ENSG00000149782/ENSG00000156052/ENSG00000157240/ENSG00000161509/ENSG00000162552/ENSG00000163636/ENSG00000164885/ENSG00000164919/ENSG00000164930/ENSG00000165879/ENSG00000165915/ENSG00000165916/ENSG00000167552/ENSG00000168280/ENSG00000168539/ENSG00000169885/ENSG00000173039/ENSG00000174996/ENSG00000176340/ENSG00000176884/ENSG00000177169/ENSG00000177283/ENSG00000178372/ENSG00000179091/ENSG00000181274/ENSG00000182240/ENSG00000183648/ENSG00000183785/ENSG00000184076/ENSG00000185633/ENSG00000185950/ENSG00000186318/ENSG00000186868/ENSG00000188064/ENSG00000188763/ENSG00000196296/ENSG00000196549/ENSG00000197442/ENSG00000198668/ENSG00000198727/ENSG00000204435/ENSG00000205155/ENSG00000213281/ENSG00000258947/ENSG00000261456";"NDUFAB1/SLC25A5/BID/FAS/ATG2B/HSD17B10/ATP2A3/ULK2/NDUFB2/ATP5F1D/XBP1/PSMC1/MAPK3/GRIN2D/PIK3R2/MAPK10/APH1A/ITPR2/NDUFA1/SEM1/CHRM3/ATP5MC2/PPP3CA/SLC39A8/SLC39A6/AKT1/WNT9A/NDUFB9/SLC39A4/PLCB3/GNAQ/FZD1/GRIN2C/WNT4/PSMD6/CDK5/COX6C/FZD6/FRAT1/SLC39A13/PSMC3/TUBA1A/KIF5C/CHRM1/CALML6/RELA/KLC2/COX8A/GRIN1/ULK1/FZD8/CALML5/CYC1/FRAT2/BACE2/NDUFB1/TUBA8/UQCR10/NDUFA4L2/IRS2/BACE1/MAPT/WNT7B/FZD9/ATP2A1/MME/MAP3K5/CALM1/CYTB/CSNK2B/PSENEN/NRAS/TUBB3/TUBB8";"hsa:4706/hsa:292/hsa:637/hsa:355/hsa:55102/hsa:3028/hsa:489/hsa:9706/hsa:4708/hsa:513/hsa:7494/hsa:5700/hsa:5595/hsa:2906/hsa:5296/hsa:5602/hsa:51107/hsa:3709/hsa:4694/hsa:7979/hsa:1131/hsa:517/hsa:5530/hsa:64116/hsa:25800/hsa:207/hsa:7483/hsa:4715/hsa:55630/hsa:5331/hsa:2776/hsa:8321/hsa:2905/hsa:54361/hsa:9861/hsa:1020/hsa:1345/hsa:8323/hsa:10023/hsa:91252/hsa:5702/hsa:7846/hsa:3800/hsa:1128/hsa:163688/hsa:5970/hsa:64837/hsa:1351/hsa:2902/hsa:8408/hsa:8325/hsa:51806/hsa:1537/hsa:23401/hsa:25825/hsa:4707/hsa:51807/hsa:29796/hsa:56901/hsa:8660/hsa:23621/hsa:4137/hsa:7477/hsa:8326/hsa:487/hsa:4311/hsa:4217/hsa:801/hsa:4519/hsa:1460/hsa:55851/hsa:4893/hsa:10381/hsa:347688";74
"hsa04020";"Calcium signaling pathway";"52/1156";"253/8567";0,00104393474022836;0,040249483873249;"ENSG00000005022/ENSG00000037280/ENSG00000058404/ENSG00000065361/ENSG00000072062/ENSG00000074370/ENSG00000100346/ENSG00000100739/ENSG00000102755/ENSG00000105464/ENSG00000113578/ENSG00000113749/ENSG00000118729/ENSG00000123104/ENSG00000124181/ENSG00000131196/ENSG00000133019/ENSG00000135124/ENSG00000138814/ENSG00000141837/ENSG00000143772/ENSG00000149782/ENSG00000150630/ENSG00000151617/ENSG00000153898/ENSG00000156049/ENSG00000156052/ENSG00000156873/ENSG00000158748/ENSG00000160991/ENSG00000161509/ENSG00000161714/ENSG00000163235/ENSG00000164096/ENSG00000164742/ENSG00000165731/ENSG00000168398/ENSG00000168539/ENSG00000169403/ENSG00000169885/ENSG00000173511/ENSG00000175938/ENSG00000176170/ENSG00000176884/ENSG00000178372/ENSG00000178568/ENSG00000186439/ENSG00000187848/ENSG00000196296/ENSG00000196557/ENSG00000197943/ENSG00000198668";"SLC25A5/FLT4/CAMK2B/ERBB3/PRKACA/ATP2A3/CACNA1I/BDKRB1/FLT1/GRIN2D/FGF1/HRH2/CASQ2/ITPR2/PLCG1/NFATC1/CHRM3/P2RX4/PPP3CA/CACNA1A/ITPKB/PLCB3/VEGFC/EDNRA/MCOLN2/GNA14/GNAQ/PHKG2/HTR6/ORAI2/GRIN2C/PLCD3/TGFA/C4orf3/ADCY1/RET/BDKRB2/CHRM1/PTAFR/CALML6/VEGFB/ORAI3/SPHK1/GRIN1/CALML5/ERBB4/TRDN/P2RX2/ATP2A1/CACNA1H/PLCG2/CALM1";"hsa:292/hsa:2324/hsa:816/hsa:2065/hsa:5566/hsa:489/hsa:8911/hsa:623/hsa:2321/hsa:2906/hsa:2246/hsa:3274/hsa:845/hsa:3709/hsa:5335/hsa:4772/hsa:1131/hsa:5025/hsa:5530/hsa:773/hsa:3707/hsa:5331/hsa:7424/hsa:1909/hsa:255231/hsa:9630/hsa:2776/hsa:5261/hsa:3362/hsa:80228/hsa:2905/hsa:113026/hsa:7039/hsa:401152/hsa:107/hsa:5979/hsa:624/hsa:1128/hsa:5724/hsa:163688/hsa:7423/hsa:93129/hsa:8877/hsa:2902/hsa:51806/hsa:2066/hsa:10345/hsa:22953/hsa:487/hsa:8912/hsa:5336/hsa:801";52
"hsa04725";"Cholinergic synapse";"27/1156";"115/8567";0,00241749377876529;0,0762609401119596;"ENSG00000053918/ENSG00000058404/ENSG00000069966/ENSG00000072062/ENSG00000075043/ENSG00000102882/ENSG00000105647/ENSG00000114353/ENSG00000117013/ENSG00000117971/ENSG00000123104/ENSG00000127955/ENSG00000133019/ENSG00000141506/ENSG00000141837/ENSG00000142208/ENSG00000143578/ENSG00000149782/ENSG00000156052/ENSG00000162989/ENSG00000164742/ENSG00000168539/ENSG00000170345/ENSG00000172354/ENSG00000173175/ENSG00000176533/ENSG00000213281";"KCNQ1/CAMK2B/GNB5/PRKACA/KCNQ2/MAPK3/PIK3R2/GNAI2/KCNQ4/CHRNB4/ITPR2/GNAI1/CHRM3/PIK3R5/CACNA1A/AKT1/CREB3L4/PLCB3/GNAQ/KCNJ3/ADCY1/CHRM1/FOS/GNB2/ADCY5/GNG7/NRAS";"hsa:3784/hsa:816/hsa:10681/hsa:5566/hsa:3785/hsa:5595/hsa:5296/hsa:2771/hsa:9132/hsa:1143/hsa:3709/hsa:2770/hsa:1131/hsa:23533/hsa:773/hsa:207/hsa:148327/hsa:5331/hsa:2776/hsa:3760/hsa:107/hsa:1128/hsa:2353/hsa:2783/hsa:111/hsa:2788/hsa:4893";27
